Average Estimates for Betas: 
0.04439575 0.08217315 0.1343185 0.2093852 0.001899418
-0.01713112 0.0008816832 0.00448822 -0.005529569 0.006928359
-0.008924962 -0.001665772 -0.004743044 0.007132232 -0.0007847851
-0.001310636 -0.004976135 0.006733758 -0.009042887 -0.01353311
0.008414986 -0.003958108 0.007718169 -0.01472282 0.002450559
-0.0150043 0.006573792 0.002134838 -0.002254209 -0.006349837
0.002538294 0.0005779398 -0.004647112 0.001242715 -0.002820483
-0.0004178985 -0.003974665 -0.001867974 0.006132075 -0.01501174
-0.002561914 -0.01452538 -0.005915983 -0.007826382 -0.005217024
-0.007964559 0.009179969 -0.0001655946 0.00638208 -0.004610816
0.004064221 0.006228945 0.003787231 0.004929572 0.01281113
-0.006820736 -0.000600565 -0.004165183 -0.01448845 0.007277214
-0.008168614 -0.01478709 0.004728244 -0.008060172 0.007470014
-0.0003658746 0.00421411 0.002584798 0.001677288 -0.002424554
0.0009172693 0.002634073 0.001626031 -0.004341213 -0.01155122
-0.005873236 0.002063075 -0.007323586 -0.006538307 0.00187586
0.01097256 -0.0002277422 0.01740208 -0.001518651 -0.0002435132
0.006276341 0.002829318 -0.003209864 0.001842731 0.01009622
0.007761531 -0.008672646 -0.01340978 -0.004313201 -0.002026364
0.0009094797 0.007260794 0.004289637 0.001865667 -0.008147455
Positive rate for exposures: 
0.06 0.28 0.45 0.74 0.04
0.13 0.08 0.09 0.06 0.02
0.05 0.06 0.03 0.06 0.06
0.04 0.03 0.06 0.07 0.03
0.06 0.04 0.09 0.07 0.06
0.02 0.03 0.03 0.05 0.07
0.04 0.1 0.1 0.02 0.03
0.07 0.06 0.02 0.04 0.09
0.1 0.07 0.03 0.06 0.06
0.05 0.05 0.05 0.07 0.03
0.05 0.09 0.03 0.03 0.02
0.07 0.09 0.05 0.05 0.05
0.05 0.09 0.03 0.06 0.07
0.08 0.03 0.06 0.06 0.05
0.07 0.05 0.02 0.03 0.09
0.06 0.03 0.05 0.04 0.05
0.06 0.03 0.04 0.04 0.07
0.03 0.06 0.05 0.12 0.13
0.05 0.05 0.04 0.06 0.06
0.05 0.06 0.02 0.07 0.02
Standard Deviations of Betas: 
0.06621104 0.08866726 0.06721365 0.08089865 0.07306239
0.08603889 0.08639275 0.08814783 0.07620549 0.06213222
0.07575676 0.072099 0.0739876 0.08209407 0.0784329
0.07108692 0.08317816 0.08241175 0.08161586 0.07577718
0.07955799 0.08198575 0.08497648 0.07711024 0.08710162
0.0684737 0.07166855 0.06985604 0.07794579 0.08192746
0.0734618 0.08599312 0.08880829 0.07257108 0.06377569
0.0764988 0.0784007 0.06975756 0.07145754 0.08171401
0.07799188 0.07787148 0.07455007 0.0735694 0.0864614
0.07413054 0.06973367 0.07472439 0.09113013 0.07413313
0.07371754 0.08815826 0.07956877 0.06935748 0.06419028
0.08604673 0.07624303 0.07699932 0.07698786 0.07917988
0.08193897 0.0865761 0.06754561 0.0796904 0.07872671
0.0721452 0.0719241 0.08059551 0.07470515 0.0721004
0.08672212 0.07699446 0.06684927 0.06207933 0.08229912
0.08293875 0.07305971 0.07171502 0.07846968 0.07449607
0.0780483 0.07166388 0.0707277 0.07916407 0.07754493
0.06916767 0.07691352 0.09036099 0.09310569 0.09233989
0.08185961 0.07869425 0.07404054 0.08277681 0.08017728
0.08387754 0.07976955 0.07493217 0.08413254 0.06887445
Average StdErrors for Betas: 
0.07349404 0.07382153 0.07399757 0.07429444 0.07584401
0.07399236 0.07479147 0.07397988 0.07748247 0.07050468
0.07493067 0.07431513 0.07438201 0.07300354 0.07415273
0.07408538 0.07477419 0.07362851 0.07583122 0.07675737
0.07419628 0.0786891 0.07664662 0.07337824 0.07351817
0.07159848 0.07673233 0.07435525 0.07239004 0.07516036
0.07320353 0.07635627 0.07597176 0.07439832 0.07065836
0.07330552 0.07644304 0.07588686 0.0763129 0.07504238
0.07450263 0.07627745 0.07501409 0.07249852 0.07420435
0.07516488 0.07552845 0.07432355 0.07452928 0.07499496
0.07442472 0.07577286 0.0758757 0.07640612 0.07213351
0.07954364 0.07411256 0.0741165 0.07610271 0.07410039
0.07724933 0.07572936 0.07666485 0.07399503 0.07321436
0.07414801 0.07603594 0.07636277 0.0752154 0.07251015
0.07379141 0.07588496 0.07490938 0.0728957 0.07326559
0.07654803 0.0739422 0.07643487 0.07772537 0.07566169
0.07502316 0.07386559 0.07575237 0.07806072 0.07358409
0.0692697 0.07512208 0.07509799 0.07325607 0.07438155
0.07688876 0.07727132 0.07359492 0.07589543 0.07616112
0.07621709 0.07569119 0.07720144 0.07451454 0.07902593
Q-value positive rate for exposures: 
0 0.02 0.12 0.31 0
0.01 0 0.01 0.01 0
0 0 0 0.01 0
0 0 0.01 0 0
0 0.01 0.01 0.01 0.01
0 0 0 0.03 0
0 0 0 0 0
0 0 0 0 0.01
0 0.01 0 0.01 0.01
0 0 0 0 0
0 0.02 0.01 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0.01 0 0 0 0.01
0 0.01 0 0 0
0 0 0 0.01 0
0 0 0.01 0.01 0
0 0 0 0 0.01
0 0 0 0.01 0
Precision/Recall/F1 based on p-values:
0.2246696 0.3825 0.2830712
Precision/Recall/F1 based on Q-values:
0.6164384 0.1125 0.1902748
Power at FPR threshold of 0.05: 
0.05 0.26 0.45 0.74
