Average Estimates for Betas: 
0.04491556 0.0771239 0.1254644 0.1709 -1.1989e-05
-0.02274376 0.005786255 0.00695589 -0.01140424 0.001561525
-0.01530894 -0.002611317 -0.006046359 0.01507765 -0.001496695
-0.003949033 0.0019706 0.006843761 -0.01164582 -0.00504671
0.01191249 -0.001725925 0.00290769 -0.01282559 0.008570479
-0.0102437 0.001972995 0.01196525 -0.005196142 -0.008697068
0.004042824 -0.002449317 -0.007160909 -0.00530031 -0.00768745
-0.004194852 0.00568537 0.0008219326 -0.0003111532 -0.008399831
-0.01472782 -0.02555883 -0.005097235 -0.01296919 -0.01409689
-0.004394264 0.01787629 -0.001438875 0.001164295 -0.001901454
0.006190246 -0.004020186 0.007219916 0.008407914 0.0117469
-0.01762449 0.00301479 0.0007120634 -0.02278654 0.003096854
-0.01232831 -0.0134936 0.007154296 -0.002977301 0.009357559
0.003126622 0.01019553 0.0103922 0.001159097 -0.009427332
0.001911643 0.003952581 -0.004080397 -0.009824981 -0.01213259
0.002985524 -0.008356392 -0.006551468 0.001662226 0.004046502
0.007589824 -0.0006293595 0.0103263 -0.001769971 0.00503451
0.006339819 0.01245505 0.006839739 0.002364109 0.006008822
0.00602284 -0.004754472 -0.01008291 -0.003964871 8.595877e-05
0.0005962377 0.002564068 0.005994201 0.00640186 -0.00736787
Positive rate for exposures: 
0.07 0.22 0.41 0.55 0.06
0.1 0.07 0.09 0.07 0.03
0.06 0.05 0.02 0.09 0.03
0.03 0.08 0.05 0.07 0.03
0.07 0.02 0.03 0.08 0.1
0.03 0.05 0.03 0.06 0.08
0.06 0.1 0.08 0.06 0.03
0.04 0.07 0.02 0.03 0.04
0.05 0.06 0.04 0.07 0.07
0.05 0.05 0.03 0.05 0.02
0.07 0.11 0.02 0.05 0.03
0.08 0.06 0.05 0.04 0.04
0.06 0.1 0.04 0.06 0.05
0.06 0.03 0.06 0.04 0.04
0.06 0.04 0.03 0.03 0.05
0.03 0.04 0.03 0.03 0.03
0.07 0.03 0.06 0.03 0.05
0.03 0.06 0.05 0.11 0.08
0.05 0.06 0.03 0.05 0.03
0.04 0.05 0.03 0.07 0
Standard Deviations of Betas: 
0.07583878 0.1012098 0.08593185 0.1068185 0.09481807
0.09815815 0.09307073 0.09454793 0.09197988 0.06977781
0.0901139 0.07977754 0.08175306 0.103356 0.09044221
0.08370176 0.09837801 0.09092892 0.09168629 0.09271165
0.08890251 0.08947615 0.0918114 0.08078819 0.1000115
0.08343932 0.08120196 0.08695443 0.09644506 0.1038801
0.08857176 0.1027712 0.1004368 0.08933003 0.07517341
0.08980006 0.09760423 0.07182379 0.07843934 0.08853814
0.08988136 0.08682725 0.09520816 0.08821542 0.08885337
0.07946256 0.0822844 0.08434016 0.09468434 0.08848797
0.08336601 0.1004177 0.08860086 0.08565449 0.08038791
0.1032916 0.09284476 0.08745588 0.09294068 0.08684053
0.09354289 0.1015585 0.08194737 0.0956098 0.09297701
0.08409185 0.0788002 0.09092181 0.08480661 0.08787509
0.09843266 0.08216136 0.08217602 0.08820434 0.08999942
0.08355828 0.09104023 0.08456087 0.09220245 0.08161018
0.1071204 0.08116036 0.08673212 0.08977633 0.0911853
0.07997058 0.08722531 0.1061695 0.09527195 0.1050578
0.09257249 0.09786794 0.0813804 0.09200268 0.0863082
0.08749633 0.09245626 0.08072598 0.09738307 0.0877683
Average StdErrors for Betas: 
0.08473628 0.08506157 0.08336844 0.09053271 0.08881661
0.08607701 0.08782053 0.08459708 0.08711477 0.08060722
0.08638162 0.08267492 0.08454867 0.08481768 0.08707004
0.08525996 0.08504008 0.08300174 0.08992879 0.0897834
0.08668119 0.0894292 0.09170784 0.08258133 0.08787635
0.08227651 0.08753226 0.0885117 0.08440683 0.09014087
0.08381661 0.08945106 0.08806077 0.08537534 0.08044248
0.08631397 0.08757578 0.08597283 0.08689939 0.09066018
0.08779648 0.09007379 0.08840698 0.08270376 0.08638481
0.08444645 0.08818966 0.08193557 0.08532493 0.08576073
0.08501151 0.08646238 0.09133126 0.08441737 0.07970109
0.09156832 0.0860399 0.08714694 0.08690884 0.08595114
0.09091582 0.08552672 0.08961666 0.0859207 0.08393222
0.08346496 0.08396446 0.08875454 0.08834875 0.08301074
0.08591582 0.08682454 0.08773873 0.09112549 0.08896427
0.08734043 0.08791537 0.09266989 0.0876124 0.08295887
0.08670544 0.08390101 0.08716653 0.08739988 0.08377373
0.08179065 0.08643302 0.08761022 0.08137816 0.08598158
0.08781026 0.09033154 0.0837131 0.08391581 0.08650104
0.08405427 0.08614424 0.08646565 0.08641354 0.09236796
Q-value positive rate for exposures: 
0 0.01 0.08 0.2 0
0 0 0.01 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0.01 0.01
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0 0.01 0
0 0 0.01 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0.01 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0.01 0 0 0.01 0
0 0 0 0.02 0
0 0 0 0 0.01
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2019386 0.3125 0.2453386
Precision/Recall/F1 based on Q-values:
0.6304348 0.0725 0.1300448
Power at FPR threshold of 0.05: 
0.06 0.22 0.4 0.55
