Average Estimates for Betas: 
0.04002411 0.06612752 0.145785 0.2129469 0.002969353
-0.01111523 0.007251191 -0.006588051 0.002562656 -0.008930718
-0.006777499 -0.004156207 -0.0003533757 -0.0006890938 -0.004900047
-0.007291908 -0.001004847 0.01063688 0.005480671 -0.0045955
0.00366551 -0.002355742 -0.01055933 0.0008181503 0.005130063
0.009053835 0.004921579 -0.008821915 -0.00623848 -0.004687003
0.002806047 -0.009758352 0.001070561 0.007081663 0.0006174355
-0.001578975 0.006085712 -0.001348707 0.002585328 -0.007649072
0.004621776 -0.01089956 -0.003313678 -0.001680182 0.001105656
-0.002363564 -0.0019852 0.0006157607 -0.01114956 -0.003168325
-0.002373507 0.002735399 0.006625843 -0.003353228 0.006615234
-0.001266718 -0.006052866 -0.007063368 -0.003022978 -0.02053405
-0.002725337 -0.003223137 -0.000297393 0.004912434 0.0007388358
0.006963335 0.0001758574 -0.002206353 0.004779991 -0.009860656
-0.01065446 -0.01389928 0.008513421 0.003260756 -0.000911965
-0.01332504 0.005018197 -0.01030743 0.001071332 0.0005185819
-0.002846677 -0.002667112 -0.002511243 -0.002710822 -0.003386471
-0.01144174 0.001703675 -0.003975158 -0.00368807 -0.001829062
-0.001706443 -0.002862813 0.001131553 -0.0005639167 3.907229e-05
-0.007797994 0.002356798 -0.004279057 0.005011474 -0.003986097
Positive rate for exposures: 
0.18 0.29 0.67 0.89 0.04
0.06 0.07 0.06 0.02 0.03
0.06 0.03 0.06 0.05 0.03
0.06 0.04 0.08 0.02 0.06
0.05 0.07 0.02 0.05 0.03
0.07 0.04 0.06 0.03 0.04
0.04 0.05 0.07 0.08 0.08
0.01 0.02 0.09 0.05 0.06
0.06 0.03 0.02 0.01 0.06
0.01 0.07 0.03 0.05 0.05
0.06 0.02 0.09 0.06 0.04
0.09 0.03 0.04 0.06 0.07
0.01 0.02 0.04 0.05 0.07
0.03 0.04 0.04 0.05 0.09
0.04 0.04 0.05 0.09 0.07
0.07 0.05 0.03 0.04 0.02
0.08 0.03 0.03 0.03 0.04
0.06 0.07 0.1 0.04 0.04
0.06 0.07 0.03 0.04 0.07
0.06 0.05 0.08 0.05 0.08
Standard Deviations of Betas: 
0.06106417 0.06463974 0.05381804 0.07315951 0.05777811
0.05311643 0.06174976 0.06146789 0.05680194 0.05820501
0.06451771 0.05363901 0.05923855 0.06062256 0.05596879
0.05988 0.05264155 0.06752891 0.0556298 0.05714663
0.0652089 0.06588606 0.05946898 0.05832941 0.0519359
0.05479318 0.06323303 0.06038184 0.05670174 0.05954189
0.05858691 0.06214976 0.05995434 0.05945761 0.06521238
0.04737796 0.05305698 0.06702932 0.05872084 0.06944944
0.06067265 0.05431153 0.06045578 0.05601009 0.06613505
0.05269929 0.06524878 0.05809738 0.066077 0.05508165
0.05235506 0.05644687 0.06219068 0.05939317 0.05539368
0.06864897 0.05258784 0.05521446 0.06767455 0.06650469
0.04998958 0.05846413 0.06427145 0.05450154 0.0623623
0.05523379 0.05204073 0.05877425 0.05912101 0.05817938
0.05972298 0.05339988 0.05006342 0.06217117 0.05968411
0.06565281 0.05539532 0.05761144 0.05485372 0.05318691
0.06751821 0.05319235 0.05525165 0.0557013 0.05965021
0.06214756 0.0567769 0.06507053 0.06044461 0.05532988
0.0642453 0.06235653 0.05415255 0.06057883 0.06717324
0.06010886 0.06093079 0.05963519 0.0496193 0.068619
Average StdErrors for Betas: 
0.05487002 0.05701602 0.05786661 0.05687664 0.05706531
0.05662688 0.05634836 0.05782073 0.05772792 0.05911313
0.05870639 0.0576843 0.05820336 0.05769691 0.05704834
0.05943081 0.05703189 0.05914584 0.05653256 0.05697869
0.05736838 0.05713335 0.05894682 0.05653943 0.0579802
0.05619708 0.05552458 0.05562025 0.05846842 0.05802818
0.05721999 0.05947249 0.05801096 0.05698364 0.05831635
0.05677532 0.05489331 0.0577289 0.05729446 0.0580367
0.05755853 0.05668645 0.05629714 0.0579285 0.05848689
0.05706366 0.0564772 0.05733075 0.05743739 0.05580351
0.05601313 0.0577277 0.05776992 0.05618515 0.05806084
0.06018057 0.05617068 0.05586683 0.05812567 0.05717571
0.05681019 0.05765488 0.058323 0.05846794 0.05801048
0.05743312 0.0563893 0.05722481 0.05759164 0.05864819
0.05902561 0.05842748 0.05690876 0.05665662 0.05885034
0.05786941 0.05712553 0.05559479 0.05624016 0.05911308
0.05870344 0.05672235 0.05719416 0.05627629 0.05747924
0.05571716 0.05825615 0.0561933 0.05667243 0.055996
0.05755535 0.05731661 0.05614416 0.05769542 0.05726521
0.05822835 0.05660301 0.05826365 0.05523635 0.05653395
Q-value positive rate for exposures: 
0 0.01 0.23 0.64 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0 0 0.01
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.02
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
Precision/Recall/F1 based on p-values:
0.298091 0.5075 0.3755782
Precision/Recall/F1 based on Q-values:
0.9462366 0.22 0.356998
Power at FPR threshold of 0.05: 
0.18 0.29 0.67 0.89
