Average Estimates for Betas: 
0.007499621 0.01850766 0.03315669 0.05386357 -0.003368095
-0.001303678 -0.002388376 -0.001196794 -0.001229213 -0.002085928
-0.0001981516 -0.001996911 -0.003460642 0.0004688069 -0.002770606
0.003094078 0.002688855 0.001162481 -0.00371311 0.007613908
-0.002660659 -0.002912706 -0.0003743735 -0.0008594072 0.000898029
0.007556901 0.0004090833 -0.003541344 0.005100571 0.002144984
-0.0007510464 -0.00126598 0.001664614 0.0001357348 -0.00115583
-1.647989e-05 0.0005803956 -0.002042812 -0.0008086589 0.004188848
0.004456676 0.003631978 0.007274279 0.0001268211 0.0007885943
0.002065765 -0.004263887 -0.00327261 0.003188414 0.003054465
-0.000507929 0.0005249921 0.005635006 0.003720747 0.002652767
-0.001424124 0.0001000675 -0.001613152 0.004973459 -0.0005515718
-0.0009174346 -0.0003495588 -0.001275944 0.004730593 0.001468614
0.004526728 -0.002324024 -0.005641831 -0.003431706 0.001268963
0.002090448 0.003781718 0.0008507482 0.002794373 -0.001884448
0.003381438 -0.0009711865 0.003108129 0.002397992 -0.005161161
0.0006607915 -0.001456446 -9.433144e-05 0.001606283 0.003608713
-0.001028582 0.004734784 0.006175178 -0.002131536 0.002662689
0.0009146102 0.005339483 -0.002140774 0.000720025 0.003441771
0.0001009846 -0.000307815 -0.004387579 0.002352382 0.001483898
Positive rate for exposures: 
0.11 0.21 0.31 0.68 0.07
0.11 0.07 0.09 0.13 0.18
0.08 0.12 0.09 0.09 0.11
0.14 0.17 0.15 0.12 0.1
0.07 0.09 0.11 0.11 0.06
0.12 0.16 0.12 0.09 0.16
0.09 0.13 0.18 0.16 0.16
0.1 0.1 0.1 0.13 0.08
0.12 0.11 0.04 0.09 0.07
0.09 0.13 0.17 0.09 0.09
0.12 0.14 0.15 0.09 0.09
0.12 0.17 0.1 0.14 0.11
0.1 0.1 0.14 0.13 0.06
0.16 0.11 0.12 0.11 0.11
0.15 0.09 0.11 0.09 0.09
0.07 0.11 0.08 0.11 0.11
0.16 0.12 0.16 0.14 0.1
0.11 0.08 0.16 0.08 0.11
0.06 0.18 0.16 0.1 0.1
0.12 0.1 0.17 0.14 0.13
Standard Deviations of Betas: 
0.02665686 0.02772543 0.0246391 0.03294181 0.02426345
0.027612 0.02671132 0.02588007 0.02982012 0.03068744
0.0251823 0.02752255 0.0237651 0.02780712 0.0282904
0.02940365 0.03108092 0.03023496 0.02751705 0.02768493
0.02576411 0.02687216 0.02635407 0.02694634 0.02590983
0.02649606 0.02894374 0.02640709 0.02749122 0.02921476
0.02596664 0.02904817 0.03060525 0.02736853 0.02722011
0.02619268 0.02665155 0.02657467 0.02751423 0.02530531
0.02960076 0.02575653 0.02295869 0.02472059 0.02373922
0.02703849 0.02670227 0.03055686 0.02632837 0.02400797
0.027162 0.02886512 0.02864497 0.02708017 0.02432834
0.02799391 0.03069178 0.02681244 0.02875527 0.02745379
0.02778883 0.02617264 0.03059276 0.02821721 0.02460699
0.03010722 0.02812039 0.02811062 0.02685477 0.02614294
0.02700692 0.02743331 0.02741226 0.02472877 0.02637264
0.02550008 0.02844836 0.02407104 0.02589185 0.02737894
0.0286778 0.02868565 0.02987194 0.02700651 0.02575721
0.02629321 0.02485489 0.02969785 0.0237453 0.02716145
0.0254724 0.03122553 0.0282322 0.02744486 0.02632301
0.02672194 0.0279865 0.03078696 0.02797971 0.02842236
Average StdErrors for Betas: 
0.02215626 0.02205162 0.02214178 0.0220533 0.0219099
0.0221592 0.02235904 0.0222748 0.02215515 0.0221511
0.02220462 0.02216017 0.02206087 0.02217698 0.0222386
0.02196491 0.02203214 0.02205191 0.02226788 0.02217967
0.022219 0.02212206 0.0220662 0.02214632 0.02220487
0.02220097 0.02207453 0.02213646 0.02226432 0.02197729
0.02210428 0.02212923 0.02215278 0.02205587 0.02200926
0.02208091 0.02209204 0.02218731 0.02208069 0.02221346
0.02221609 0.02214807 0.02211562 0.02204567 0.02227387
0.02220965 0.02214501 0.022131 0.02207706 0.02212866
0.02210438 0.0219993 0.02210498 0.02229929 0.02218427
0.02216973 0.02214061 0.02206177 0.02226388 0.02200385
0.02212561 0.02223802 0.02221129 0.02224597 0.02209533
0.02233601 0.02218118 0.02205104 0.02206551 0.02199708
0.02200889 0.02222289 0.02210553 0.02212459 0.02194806
0.02201376 0.0222504 0.02215157 0.02227516 0.02234144
0.02216772 0.02204195 0.02225582 0.02208272 0.02207168
0.02215272 0.0221471 0.02220545 0.02216006 0.02195924
0.02217374 0.02206283 0.02206088 0.02191894 0.02196847
0.02211746 0.02216006 0.02207159 0.02204735 0.02219651
Q-value positive rate for exposures: 
0.01 0.02 0.08 0.27 0.01
0 0.02 0 0.01 0.02
0 0.01 0 0.01 0.02
0.03 0.02 0.02 0.01 0.02
0.01 0.02 0.01 0.02 0
0.01 0 0 0.01 0.01
0.01 0.02 0.01 0 0
0.01 0 0.01 0 0
0.01 0.01 0 0.01 0.01
0 0 0.02 0 0
0.01 0 0.01 0 0.02
0.01 0.03 0.01 0.02 0.01
0.02 0 0.02 0 0
0 0.01 0.01 0.01 0
0 0.02 0 0 0
0 0.01 0 0 0.01
0 0.02 0.01 0.02 0
0.01 0 0.01 0 0.01
0.01 0.02 0 0.02 0.01
0.01 0.01 0.04 0.01 0.01
Precision/Recall/F1 based on p-values:
0.1064175 0.3275 0.1606376
Precision/Recall/F1 based on Q-values:
0.3064516 0.095 0.1450382
Power at FPR threshold of 0.05: 
0.02 0.07 0.2 0.53
