Average Estimates for Betas: 
0.03273969 0.06184587 0.1410132 0.1905012 -0.002288131
-0.01479788 0.005925791 -0.003885055 0.002506323 -0.01283581
-0.01194794 -0.003538673 -0.001099301 0.001544716 -0.005040289
-0.005221581 0.00103545 0.007264507 0.00240647 -0.004509655
0.001970432 -0.007589452 -0.004299344 0.002202351 0.005878199
0.003622681 0.002270161 -0.008169531 -0.009728582 -0.007240538
0.001424812 -0.01169429 0.001049067 0.004389003 0.003897263
0.003441766 0.00439104 -0.004156732 0.002285668 -0.006481071
0.005313999 -0.01112458 -0.006283039 -0.01151671 0.006155168
-0.005496763 -0.0002253031 0.00318285 -0.006717627 -0.005673651
-0.0004977984 0.002908938 0.002999126 -0.0003725218 0.006373057
0.006247447 -0.008576948 -0.006341262 -0.002058923 -0.02149203
-0.003428974 -0.002701376 -0.005809375 0.006763581 0.006747038
0.006484684 -0.006737677 -0.005579306 -0.001205637 -0.01178345
-0.01713181 -0.01248001 0.01241239 0.0008107457 0.006633464
-0.01786905 0.007274035 -0.00862713 0.005995576 0.004704907
5.63225e-05 -0.003559209 -0.004794856 -0.001304361 -0.002176614
-0.006586418 0.001436102 0.004151357 -0.0028296 0.001004647
0.003671426 -0.006624133 0.003593596 -0.0008848704 0.003518585
-0.01113161 0.004787665 -0.004361845 0.006590456 -0.0002726302
Positive rate for exposures: 
0.12 0.23 0.6 0.78 0.05
0.05 0.04 0.04 0 0.04
0.02 0.04 0.06 0.05 0.02
0.09 0.02 0.04 0.04 0.06
0.05 0.05 0.03 0.05 0.02
0.04 0.07 0.08 0.03 0.04
0.03 0.03 0.06 0.05 0.08
0.01 0.03 0.07 0.05 0.09
0.08 0.05 0.01 0.01 0.07
0 0.08 0.05 0.06 0.06
0.04 0.04 0.06 0.05 0.03
0.06 0.03 0.07 0.05 0.06
0.02 0.05 0.08 0.03 0.06
0.03 0.05 0.08 0.08 0.08
0.03 0.02 0.05 0.05 0.04
0.05 0.06 0.02 0.03 0.01
0.06 0.05 0.05 0.02 0.04
0.07 0.07 0.11 0.01 0.05
0.07 0.05 0.03 0.04 0.05
0.07 0.04 0.05 0.04 0.06
Standard Deviations of Betas: 
0.06628169 0.07840218 0.06430199 0.1030552 0.06276692
0.06622135 0.0638613 0.06981689 0.06280024 0.07366199
0.06681574 0.0639614 0.06528136 0.06490502 0.06135158
0.07108287 0.0636623 0.08331584 0.06413131 0.06633451
0.0816495 0.07245013 0.05906199 0.07590543 0.05807497
0.0644312 0.06951649 0.06825389 0.05998233 0.07397345
0.06655779 0.06762322 0.07062972 0.06700725 0.08029672
0.05665709 0.07556632 0.07207593 0.07023908 0.07744341
0.06503181 0.06817504 0.06485891 0.06191543 0.08756159
0.05182919 0.0743691 0.06478903 0.07472502 0.06358837
0.06270908 0.06318742 0.07462272 0.06633565 0.06622709
0.07437402 0.06812483 0.06247456 0.07744266 0.06648224
0.05550549 0.06534334 0.07834194 0.05848106 0.07509998
0.06184294 0.06660273 0.07082384 0.07237842 0.06858881
0.07419873 0.06671055 0.07054343 0.07240567 0.06640999
0.07388482 0.06069197 0.06295399 0.06215058 0.05316058
0.08044554 0.07644021 0.05867747 0.05925513 0.07145217
0.07161757 0.06466347 0.07944873 0.0622215 0.07275125
0.07031782 0.06462664 0.06087749 0.07228329 0.06606953
0.0701652 0.06601372 0.06467499 0.05430682 0.0740464
Average StdErrors for Betas: 
0.06221802 0.0644556 0.06479166 0.06581075 0.06186056
0.06589593 0.06298398 0.0678283 0.06676816 0.06745859
0.06593326 0.06342739 0.06605608 0.06635318 0.06419977
0.06811877 0.06659224 0.06796414 0.06520713 0.06557492
0.06959662 0.06557568 0.06745472 0.06622254 0.06693228
0.06725881 0.0651568 0.06338804 0.06740748 0.06729844
0.06558313 0.06919653 0.06859507 0.06675553 0.06633426
0.06531585 0.06117658 0.06481968 0.06523331 0.06558303
0.06619534 0.06589501 0.06446353 0.06647193 0.06892363
0.06613851 0.06289903 0.06599039 0.06832501 0.06397246
0.06598812 0.06450558 0.06839474 0.06450666 0.06754432
0.06787644 0.0634354 0.06435025 0.06683201 0.06492079
0.06410662 0.06443119 0.06573827 0.06558887 0.0688693
0.06702648 0.06652208 0.06388958 0.06963226 0.06675714
0.06763667 0.06634928 0.06484819 0.06463635 0.06911116
0.06425623 0.06494694 0.06459693 0.06464293 0.06464461
0.06872838 0.06371054 0.06643699 0.06630241 0.06813951
0.06459652 0.06305968 0.06575242 0.06475113 0.06386105
0.06451224 0.06326649 0.06377206 0.0661413 0.06358753
0.0665776 0.06315626 0.06558115 0.0618603 0.0642065
Q-value positive rate for exposures: 
0 0.01 0.17 0.53 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.01 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2763578 0.4325 0.337232
Precision/Recall/F1 based on Q-values:
0.9726027 0.1775 0.3002114
Power at FPR threshold of 0.05: 
0.13 0.25 0.61 0.78
