Average Estimates for Betas: 
0.05123006 0.08432544 0.02014881 0.1912084 0.07822371
-0.06400101 0.01883924 0.0430837 -0.2437344 -0.1641222
0.09906452 -0.1648065 -0.1455298 -0.06237431 0.1382975
-0.1339903 -0.1282784 0.002673909 0.1891141 0.1135524
0.02414887 -0.007458734 0.01134235 0.3605232 -0.1904346
0.1861773 -0.3421909 0.073829 -0.1740097 0.5137072
-0.06055631 0.2026453 0.1728527 -0.2216681 0.5258205
0.3128569 0.2905381 0.2544774 0.09007739 0.1340297
-0.03917487 0.1006766 0.03793631 -0.1021101 0.2419601
-0.01245285 0.4260922 -0.2450574 -0.2441672 -0.05362904
0.765922 0.02294533 -0.01236736 -0.6126369 0.2059208
0.1942681 0.04395586 0.1935973 -0.3861732 0.237292
0.154862 -0.210223 0.1824061 -0.101553 -0.06266338
-0.174017 -0.3492713 -0.1334835 -0.2514771 0.04141993
0.02841066 0.1557473 0.1187975 0.1957397 0.1809864
0.212333 -0.03582401 0.5981808 -0.03522703 -0.1084548
-0.1489915 -0.2234716 0.5111967 0.143963 -0.1346302
-0.01782235 -0.1823697 0.118115 0.1132637 -0.04076908
-0.1348581 0.3552614 -0.4046309 0.2793607 0.2848415
0.3022998 0.06798699 -0.5631059 -0.217633 0.06317673
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
0.5782569 0.3971141 0.7387315 0.7217975 0.7324192
1.361129 0.3140607 0.5906121 0.9564121 0.4716905
0.4106631 0.8088841 0.8290049 0.4593363 0.7868066
1.69848 0.6894183 0.6305118 0.840763 0.3956176
0.9782295 0.778984 1.324647 1.289454 0.8126261
1.047757 1.407631 0.6446756 0.9213823 1.995721
0.8881541 1.022231 0.7492131 2.041206 1.913272
1.664012 1.612411 1.177374 0.5471458 0.5135463
1.256243 1.382789 1.518574 0.6210257 0.9093592
0.5474738 2.086801 0.7214316 1.009682 1.397919
4.575891 0.8825401 0.3193773 2.49476 1.493974
0.9415905 0.7822547 1.131552 1.803231 1.320545
1.033278 0.900057 1.338778 0.5639187 0.8738314
0.8903496 1.713081 0.8439465 1.131162 0.3737633
1.007317 0.5767821 1.040316 1.153743 0.8948392
0.8969527 0.9112298 3.136004 1.949604 0.9437469
1.368757 0.8780049 2.39753 0.5977374 1.371615
0.6477462 1.026179 0.8082819 0.7067927 0.6813483
1.742017 1.205769 2.336382 1.678246 1.497276
1.077439 1.262529 2.149892 1.223867 1.108335
Average StdErrors for Betas: 
257.8583 29.99633 345.8878 312.0452 213.5678
660.2112 14.36277 229.3666 59.36709 34.60959
154.3015 252.8456 394.5204 131.858 302.8461
878.1403 164.2577 239.1291 359.9574 135.4462
289.7785 375.8242 320.6346 641.5969 446.0237
517.1971 146.723 326.2653 392.0232 176.827
410.8368 343.2762 409.8486 362.9821 853.9906
722.7547 899.5309 608.0878 247.1383 33.11465
45.3335 405.2675 583.5053 167.8809 255.0422
99.99618 725.8725 369.1536 282.8585 727.2815
2581.483 229.6725 129.6143 760.2498 159.6433
431.9672 62.87205 637.3058 175.7081 724.4596
568.0213 325.9552 425.0586 149.5359 54.76955
495.3301 916.4197 390.2127 592.6233 15.1654
377.8129 223.9753 468.1667 551.4899 337.4816
465.1757 404.1448 465.6397 584.1378 51.26299
244.9058 167.19 368.4385 67.20001 511.2741
283.3896 36.2691 353.854 302.7717 252.7177
890.9208 602.3315 411.2855 152.0637 111.4593
576.948 93.8101 730.9843 225.8537 44.28469
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0.1212121 0.1515152 0.1515152 0.2121212
