Average Estimates for Betas: 
0.04763042 0.07141395 0.1432504 0.2035657 0.002442879
-7.025761e-05 0.002047827 -0.006196586 -0.007814851 -0.002765302
-0.001827126 -0.0001378825 -0.007972663 0.003136568 0.0006672248
0.001652198 0.006117024 0.004521977 0.002897318 0.005431637
0.0002800513 0.003105941 0.002854961 0.004431818 -0.009418966
-0.001230761 -0.009261401 -0.006412146 -0.004120806 0.003903351
-0.008080213 0.003639952 -0.008461974 0.006105432 0.002053638
-0.01919439 -0.00925859 -0.0001211198 0.007761375 -0.0132551
-0.0009711095 0.00103357 0.01355392 -0.006045378 -0.002140687
-0.005158431 -0.0005831366 -0.004302722 0.006005795 0.002929484
-0.00755027 -0.003949808 -0.008285287 0.00641137 0.008279677
0.0004522097 -0.005600147 -0.005683712 -0.001431282 -0.002250888
-0.005788257 -0.006514746 0.003961037 0.004302917 0.01572838
-0.0003770702 0.006807616 -0.003104852 -0.001238267 -0.008225256
0.003852601 0.001781078 -0.003367006 -0.003569858 -0.005114796
0.002761553 -0.01590082 -0.003863847 -0.004017946 0.003770655
0.001448738 0.001534643 0.006850567 0.007025242 0.003606687
0.007127845 -0.002413891 -0.003197043 0.006779446 -0.002720643
0.006724701 -0.002045398 0.004925328 -0.0001429154 -0.006131886
-0.01134304 0.0002010104 0.004577656 0.009743337 -0.005649005
Positive rate for exposures: 
0.15 0.26 0.71 0.85 0.05
0.08 0.1 0.04 0.05 0.04
0.06 0.06 0.05 0.06 0.04
0.08 0.07 0.09 0.06 0.03
0.09 0.04 0.04 0.06 0.07
0.04 0.05 0.04 0.05 0.07
0.07 0.02 0.03 0.08 0.07
0.11 0.11 0.08 0.03 0.06
0.05 0.04 0.06 0.03 0.07
0.03 0.09 0.06 0 0.05
0.06 0.08 0.04 0.05 0.06
0.06 0.06 0.05 0.04 0.08
0.04 0.05 0.03 0.06 0.01
0.06 0.05 0.06 0.02 0.03
0.06 0.04 0.07 0.08 0.04
0.06 0.04 0.06 0.05 0.09
0.03 0.04 0.04 0.04 0.06
0.07 0.03 0.07 0.03 0.05
0.03 0.04 0.05 0.09 0.04
0.05 0.04 0.06 0.04 0.04
Standard Deviations of Betas: 
0.06500058 0.06573191 0.06616002 0.06691378 0.05788906
0.06364644 0.06434174 0.05945685 0.05453409 0.05235779
0.05700207 0.05508695 0.06292569 0.05467991 0.06052792
0.06151755 0.05591983 0.06008201 0.06013456 0.05243147
0.0576953 0.0517462 0.05487568 0.06602566 0.05924634
0.05721367 0.05121766 0.06002534 0.05764136 0.06862325
0.05802103 0.04868554 0.05869895 0.06921064 0.06403274
0.06670477 0.07204296 0.06142982 0.05804803 0.05871824
0.05932511 0.06793204 0.05433285 0.05853604 0.05874334
0.05588083 0.0617546 0.05442303 0.05250641 0.05755853
0.06360225 0.0571412 0.05926593 0.05642849 0.06364529
0.05810832 0.06103217 0.05569402 0.054979 0.06351563
0.05399314 0.05452613 0.05519097 0.06250062 0.05176344
0.06202763 0.04628561 0.06170854 0.05861115 0.06285782
0.06728373 0.05625014 0.06095984 0.06806903 0.05612057
0.05832086 0.06354663 0.05878114 0.06170185 0.06747714
0.05694536 0.07010949 0.0583964 0.05775927 0.05859159
0.05879239 0.05535797 0.05807315 0.0581991 0.05693494
0.05574601 0.05652557 0.05804909 0.06037707 0.05864222
0.06722037 0.05543715 0.05972928 0.05660291 0.05888991
Average StdErrors for Betas: 
0.05706667 0.06016951 0.05766967 0.05703583 0.05742293
0.05727108 0.05604074 0.05580185 0.05600945 0.0572199
0.05577288 0.05757017 0.05688567 0.05743631 0.05645352
0.05737597 0.05752303 0.05820497 0.05604273 0.05754425
0.05560077 0.05550015 0.05567579 0.05715101 0.05697029
0.05819702 0.05557021 0.05699673 0.0563317 0.05810695
0.05702635 0.05416878 0.05734693 0.05751439 0.05606806
0.05533323 0.0573883 0.05775824 0.05784971 0.05759736
0.058263 0.05974642 0.05630847 0.05561678 0.05502566
0.05614945 0.05516026 0.05442 0.05609027 0.0571155
0.05752131 0.05637036 0.05738528 0.05575254 0.05711932
0.05456705 0.0573875 0.05671323 0.05780242 0.05740393
0.05671319 0.05942011 0.05859024 0.05879306 0.05761192
0.05698356 0.05568589 0.05705861 0.0590686 0.05704839
0.05652039 0.05693204 0.05536024 0.05651424 0.0552922
0.05724767 0.05836872 0.0565995 0.05878549 0.05755328
0.0550294 0.05720762 0.05659548 0.05777851 0.05848887
0.05665397 0.05752993 0.05818893 0.0554106 0.05552912
0.05729857 0.05906225 0.05696601 0.05663189 0.05635789
0.05654867 0.0580794 0.05793067 0.05623237 0.05740827
Q-value positive rate for exposures: 
0.01 0.04 0.28 0.54 0
0.01 0 0 0 0
0.01 0 0.01 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0.01 0.01 0
0 0 0 0 0
0.01 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0.01 0 0
0 0 0 0 0.01
0 0 0.01 0.01 0
0 0 0 0 0.01
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2759104 0.4925 0.3536804
Precision/Recall/F1 based on Q-values:
0.8613861 0.2175 0.3473054
Power at FPR threshold of 0.05: 
0.14 0.25 0.7 0.85
