Average Estimates for Betas: 
0.03860314 0.08741426 0.1686929 0.2440891 -0.008507273
0.005414447 0.001328897 0.0001587504 -9.915096e-05 -0.004340665
-0.000995892 0.0127937 -0.003076747 0.009993962 -0.0006548853
0.003131342 0.0009990122 -1.943397e-05 -0.002760631 -0.002141496
0.00653317 -0.00662213 -0.0007305932 0.0001827294 -0.006204712
-0.006245192 0.001374575 0.000702253 0.004418218 -0.001378084
0.008008867 0.006061512 0.005443166 -0.004193533 -0.003148425
-0.001124548 -0.004320107 -0.007049405 -0.004498864 -0.004183013
-0.002970071 0.000347777 -0.001899359 0.00225629 0.007893794
0.002585831 -0.01021058 -0.004924257 -0.007788755 -0.009227013
0.001724518 0.00592617 5.079794e-05 -0.002709592 -0.004424496
-0.008623287 0.001478388 -0.00663131 0.005652121 -0.004568838
-0.000756296 0.0006221434 0.00762365 0.01284017 0.006462656
-0.006452868 -0.002150832 0.0002223829 0.007527944 0.002648578
-0.01075333 -0.006232606 -0.007881672 0.001048306 0.001091106
-0.005947054 0.004522993 -0.0006240783 0.01174424 0.007070817
0.01027419 0.0007829676 0.0116057 0.005289212 -0.009189259
-0.005912863 0.002241648 -0.0001511104 0.002210262 -0.009419997
0.00909778 0.01188198 -0.004313515 0.005362224 0.01175202
-0.009235124 -0.0006251059 0.004410402 0.005025236 0.006682633
Positive rate for exposures: 
0.21875 0.78125 0.9375 1 0.0625
0.0625 0 0.09375 0.0625 0.09375
0 0 0.0625 0.09375 0.09375
0.03125 0.125 0.03125 0.03125 0.0625
0.0625 0.0625 0.09375 0.0625 0.0625
0.03125 0.03125 0.125 0.0625 0.09375
0.125 0.0625 0.03125 0.03125 0.0625
0.0625 0.0625 0.0625 0.03125 0.03125
0.25 0.0625 0.0625 0.03125 0.1875
0.03125 0.125 0.03125 0.09375 0.0625
0.03125 0.15625 0.0625 0.0625 0.03125
0.03125 0.03125 0.15625 0.03125 0.0625
0 0 0.0625 0.0625 0.03125
0.0625 0.09375 0.09375 0.03125 0.03125
0.03125 0.09375 0.09375 0.0625 0.0625
0.03125 0.125 0.09375 0.0625 0.0625
0.09375 0.0625 0.09375 0.0625 0.09375
0.0625 0.09375 0.125 0.0625 0.03125
0.09375 0.125 0.03125 0.09375 0.09375
0.125 0.0625 0.0625 0 0.09375
Standard Deviations of Betas: 
0.03705462 0.02785017 0.0496881 0.03859927 0.03297731
0.03399582 0.03332823 0.03780807 0.0345818 0.03317827
0.02789666 0.02420072 0.0328813 0.03546907 0.03440057
0.03328347 0.03706238 0.03064598 0.03461601 0.03686661
0.03925821 0.03134313 0.03452077 0.03676372 0.03372586
0.03291158 0.02851786 0.04715198 0.03369389 0.04343662
0.04058799 0.03350411 0.03922242 0.03117199 0.03450474
0.02934862 0.0348853 0.03785515 0.03453135 0.03208451
0.04804005 0.04072497 0.03659627 0.03490877 0.04159095
0.03889213 0.04229663 0.02833972 0.04141925 0.03300937
0.0312965 0.0355145 0.03773259 0.03633945 0.03568203
0.03298397 0.0351674 0.03628626 0.02339143 0.03796447
0.02822259 0.03608077 0.04013987 0.03169509 0.0299305
0.03478996 0.03211616 0.03623897 0.0354952 0.03478783
0.03218246 0.04063712 0.03570176 0.03566771 0.04210521
0.02861169 0.04327896 0.03610817 0.03162995 0.03863835
0.03614633 0.03651592 0.0317082 0.02817938 0.03528731
0.03533148 0.03582357 0.03959882 0.03723888 0.02711734
0.0431354 0.04592138 0.0363563 0.04130405 0.03599533
0.03776583 0.04010857 0.03612518 0.03064093 0.03839328
Average StdErrors for Betas: 
0.03344532 0.03419963 0.03313119 0.03274718 0.03304809
0.03369185 0.03024959 0.03264944 0.03371126 0.03155244
0.03380901 0.03254706 0.03269377 0.03349223 0.03408315
0.03351863 0.03369807 0.03325204 0.03242828 0.03248563
0.03300353 0.03305193 0.03318484 0.03411881 0.03358826
0.03325394 0.03209636 0.0331595 0.03169715 0.03180994
0.03438668 0.03150536 0.03331654 0.03304483 0.03173032
0.03338756 0.03311853 0.03291418 0.03200431 0.03268406
0.03287934 0.0365584 0.0329168 0.03336863 0.03299817
0.03443467 0.03279131 0.03188034 0.03376192 0.03430566
0.0330798 0.03445349 0.03298251 0.03215547 0.03368306
0.03369751 0.03427035 0.032475 0.03375023 0.03497014
0.03368037 0.0351702 0.03347749 0.03546957 0.03416923
0.03314103 0.03341161 0.03467383 0.03499469 0.03345346
0.03299167 0.03423685 0.03230746 0.03377791 0.03318441
0.03313463 0.03256704 0.03368258 0.03355223 0.03295162
0.03156146 0.03339255 0.03370927 0.03293187 0.03360555
0.0342954 0.03449704 0.03293032 0.03424269 0.03244918
0.03319459 0.03499437 0.03280082 0.03265821 0.03334582
0.03204554 0.03526424 0.03262871 0.03265061 0.03414071
Q-value positive rate for exposures: 
0.03125 0.25 0.875 0.96875 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.03125 0 0
0 0 0.03125 0 0.03125
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.03125 0 0
0 0 0 0 0.03125
0 0 0 0 0
0 0 0 0 0
0 0 0 0.03125 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.3112583 0.734375 0.4372093
Precision/Recall/F1 based on Q-values:
0.9189189 0.53125 0.6732673
Power at FPR threshold of 0.05: 
0.21875 0.78125 0.9375 1
