Average Estimates for Betas: 
0.04270036 0.06631998 0.1353879 0.1707001 0.004860893
-0.003390097 0.003595102 -0.004525786 -0.01588562 -0.009795123
0.007834367 0.0007013508 -0.00791628 0.00863405 0.003559401
0.007047659 -0.002884638 0.004332184 -0.001998041 0.001074258
-0.0002122524 -0.01109656 0.006068124 0.004457915 -0.01306031
0.0005402931 -0.006324798 -0.0001010837 -0.005842428 0.0134645
-0.004303875 0.009682362 -0.01217983 0.006156814 -0.0009430532
-0.01552955 -0.01263837 -0.0005940937 0.009954289 -0.0158019
0.001484525 -0.00594959 0.01497718 -0.009426334 -0.005351595
-0.003232941 0.004668848 -0.006573054 0.003099848 0.008332406
-0.008486909 -0.0007856178 -0.003524846 0.003695999 0.005721493
-0.001403174 -0.001882398 -0.002031738 -0.00447411 -0.005484968
-0.01514822 0.0001850467 -0.002287656 0.001445629 0.01643303
-0.008522544 0.01008271 -0.003516284 -0.002548816 -0.009717117
-0.003836287 0.00218837 -0.005820879 -0.003175879 -0.002357266
0.002213132 -0.01992269 -0.004828083 -0.01316703 0.001005189
0.005040083 -7.389243e-05 0.003061405 -1.151109e-05 0.001310368
0.005743649 -0.005208715 -0.003651867 0.007747654 -0.006178132
0.008658069 -0.004536239 0.008581601 -0.002076645 -0.008994778
-0.008926529 -0.001149011 -0.004674605 0.0111091 -0.002736749
Positive rate for exposures: 
0.16 0.23 0.62 0.68 0.06
0.09 0.12 0.07 0.05 0.06
0.05 0.08 0.06 0.05 0.06
0.05 0.05 0.05 0.04 0.05
0.05 0.02 0.03 0.06 0.06
0.08 0.05 0.04 0.02 0.08
0.09 0.05 0.06 0.08 0.09
0.08 0.08 0.07 0.05 0.03
0.04 0.05 0.06 0.02 0.07
0.03 0.04 0.05 0.03 0.05
0.08 0.07 0.04 0.03 0.09
0.08 0.06 0.05 0.03 0.05
0.05 0.04 0.04 0.05 0.03
0.06 0.04 0.09 0.06 0.03
0.07 0.04 0.07 0.08 0.02
0.03 0.05 0.04 0.05 0.03
0.04 0.08 0.02 0.06 0.03
0.06 0.03 0.07 0.05 0.05
0.05 0.03 0.04 0.05 0.06
0.08 0.02 0.04 0.07 0.05
Standard Deviations of Betas: 
0.08802177 0.07369314 0.08408192 0.1109039 0.07139157
0.07378838 0.07678841 0.07532319 0.06932236 0.06613562
0.06777113 0.07430643 0.07765965 0.06045238 0.07340423
0.07075349 0.05928875 0.07927854 0.0719426 0.06709904
0.07063133 0.06406693 0.06944697 0.07331853 0.06461512
0.08232247 0.06223071 0.07512407 0.06866997 0.08506128
0.07253795 0.06357223 0.07788707 0.08010015 0.06731941
0.07661043 0.08190479 0.06931686 0.0671612 0.06463553
0.06802559 0.07246991 0.07457001 0.06418532 0.07358562
0.05778576 0.06813046 0.06304985 0.06124313 0.0733565
0.07977051 0.07384431 0.07352975 0.06384276 0.07592579
0.07227258 0.06955961 0.06896464 0.06487756 0.07523835
0.07606181 0.06675804 0.06331977 0.07294073 0.06204182
0.08298319 0.05829126 0.08412223 0.06863505 0.07297304
0.07947583 0.06475392 0.06875295 0.07607244 0.06436117
0.0629117 0.07948781 0.06245069 0.07785075 0.07128863
0.07137034 0.08630281 0.07243951 0.07695921 0.07548015
0.07280305 0.06281955 0.07166674 0.06725326 0.07528892
0.06646186 0.06817751 0.0779374 0.06761612 0.06752091
0.07960549 0.06961451 0.06678678 0.07852403 0.06931808
Average StdErrors for Betas: 
0.06785553 0.07017516 0.06642234 0.07014249 0.06955645
0.06728166 0.06617768 0.06564003 0.0672354 0.06695769
0.06738567 0.07004793 0.06549313 0.0682205 0.0662015
0.06806435 0.06513969 0.07163225 0.06712975 0.07116973
0.06539291 0.06478014 0.0685966 0.0659378 0.06646525
0.06921198 0.06164046 0.07124036 0.06586232 0.07125292
0.06788115 0.06413658 0.06812508 0.06694766 0.06157097
0.06834555 0.06686219 0.06777349 0.06636298 0.06710038
0.06804504 0.06944639 0.06642597 0.06496481 0.06639855
0.06621602 0.06433297 0.06395581 0.06574527 0.06691276
0.06799166 0.06688095 0.06981615 0.06811835 0.06464222
0.06515875 0.06630875 0.06407981 0.06805313 0.07022047
0.07082142 0.06981788 0.06739024 0.07031217 0.06729934
0.06788625 0.06708051 0.06780503 0.07034921 0.06980993
0.06963317 0.06418322 0.06368399 0.06632464 0.0648513
0.06767432 0.06589808 0.06511816 0.06975569 0.06938878
0.06402031 0.06663597 0.06996906 0.06945622 0.06948436
0.06546796 0.06851391 0.06832263 0.06813286 0.06710538
0.06894243 0.06962907 0.07106605 0.06638158 0.06370213
0.06868984 0.07107558 0.06796474 0.06741679 0.06782528
Q-value positive rate for exposures: 
0 0.02 0.22 0.41 0
0 0 0 0 0
0 0 0.01 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0.01 0
0 0.01 0 0 0.01
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2478006 0.4225 0.3123845
Precision/Recall/F1 based on Q-values:
0.9027778 0.1625 0.2754237
Power at FPR threshold of 0.05: 
0.15 0.22 0.62 0.65
