Average Estimates for Betas: 
0.05006522 0.06528281 0.1529892 0.1892655 -0.001910876
0.01228472 0.01048134 -0.002537513 -0.008669938 -0.001631295
-0.001992556 -0.00970276 -0.01728151 0.007134372 -0.00486077
-0.001387889 0.007918619 -0.01769539 0.007765371 0.01516424
-0.008185993 -0.003477328 -0.02610046 -0.006208792 -0.01716981
-0.00736623 -0.01479552 0.002917611 0.0006883946 0.01410161
0.003214657 -0.003094943 -0.003418554 0.007988251 -0.01077658
-0.01197347 -0.01427507 -0.01087584 0.01330821 -0.01056673
-0.005578859 -0.00290941 0.004157367 -0.01477929 -0.0008874976
0.01362225 -0.01257829 0.0004639936 0.01236406 0.003847658
-0.02042634 -0.005065642 -0.007814641 0.006738442 0.006209256
0.007555218 0.009197084 0.006530729 0.01208008 -0.005756224
-0.006831913 -0.01301315 -0.01034136 0.002937805 0.01438787
0.01041786 0.003277722 -0.009743549 -0.01433268 -0.008292489
-0.002713458 -0.01158748 -0.01483395 0.01583421 -0.005493891
-0.00307118 -0.01273696 -0.02415147 -0.01103918 0.02017575
-0.001607736 0.006862516 0.0009403997 0.007829297 -0.008363733
0.01734326 0.002895043 -0.01579684 0.0004633921 -0.006365491
6.330059e-05 0.0002228176 0.01608495 -0.004591069 -0.002684066
0.01547139 -0.003894598 -0.002766273 0.01449113 0.004684159
Positive rate for exposures: 
0.09090909 0.06060606 0.5757576 0.6969697 0
0.03030303 0.03030303 0 0.03030303 0.03030303
0.03030303 0.03030303 0 0 0.06060606
0 0 0.03030303 0 0
0 0 0 0.06060606 0.03030303
0 0.03030303 0 0.03030303 0
0.06060606 0.03030303 0 0.06060606 0
0 0.09090909 0.03030303 0.03030303 0
0 0.03030303 0.03030303 0.03030303 0.03030303
0 0.03030303 0.03030303 0 0.03030303
0.09090909 0 0.03030303 0 0.03030303
0.03030303 0.03030303 0 0.03030303 0.06060606
0 0.03030303 0.03030303 0 0.03030303
0 0 0.09090909 0.03030303 0
0.03030303 0 0 0.03030303 0.03030303
0.03030303 0 0 0.03030303 0.03030303
0.03030303 0.06060606 0 0.03030303 0.09090909
0.03030303 0 0.03030303 0.09090909 0.03030303
0 0.06060606 0 0.06060606 0
0.03030303 0 0 0.03030303 0.03030303
Standard Deviations of Betas: 
0.07160445 0.06587761 0.07122623 0.08270409 0.06267091
0.06929701 0.0651729 0.07075239 0.05727811 0.05758549
0.06279238 0.06599593 0.06494569 0.05853317 0.07342145
0.068672 0.07132637 0.06068216 0.05206429 0.06594879
0.07084263 0.05466444 0.05709731 0.09901798 0.07680189
0.07061604 0.06755322 0.06070264 0.06441179 0.0730633
0.07970696 0.07292356 0.06811889 0.06927757 0.05620557
0.06645201 0.1049966 0.06165131 0.07447285 0.06314135
0.06338036 0.07426717 0.06559998 0.07012686 0.07016781
0.05422674 0.06533436 0.07365117 0.0644391 0.06649165
0.06936343 0.05803221 0.07006856 0.05402664 0.07136464
0.0591514 0.06762213 0.06221254 0.07376958 0.08557322
0.06877816 0.06146164 0.07916004 0.08034398 0.07221851
0.06098349 0.05475791 0.09083486 0.07545023 0.06821983
0.08153055 0.06872046 0.05892738 0.08867098 0.0714458
0.06929964 0.04264 0.07297794 0.06738701 0.07941779
0.06887433 0.08440588 0.07621763 0.06360738 0.08093008
0.07190132 0.0546992 0.05870747 0.08230514 0.07779749
0.06439068 0.09007339 0.06590127 0.07481929 0.0680179
0.07164368 0.07365037 0.06517453 0.06695827 0.08075328
Average StdErrors for Betas: 
0.07390145 0.07863851 0.07738663 0.07892044 0.07365457
0.07520878 0.06934932 0.07600563 0.07472096 0.07564528
0.07534249 0.07457298 0.07287217 0.0762743 0.07357002
0.07591037 0.07445554 0.07553445 0.07290115 0.07537744
0.07483108 0.07429295 0.07337243 0.07637498 0.07640283
0.07655131 0.07198678 0.07331371 0.07402868 0.07509741
0.0783177 0.07415487 0.07593831 0.07331202 0.07257146
0.07441712 0.07627307 0.07515909 0.07293 0.07371592
0.07648204 0.08200611 0.07636071 0.07511978 0.07482289
0.07443164 0.07542808 0.07299527 0.07384438 0.07655052
0.07392622 0.07548996 0.07442724 0.07320633 0.07525543
0.07323015 0.07720735 0.07274738 0.07767702 0.07841826
0.07777661 0.0802341 0.07813796 0.07808316 0.07337857
0.07220247 0.07270794 0.07714235 0.07960391 0.07398668
0.07522524 0.07519967 0.07489438 0.07781399 0.0752059
0.07572767 0.07331269 0.07562424 0.07682643 0.07443537
0.07189177 0.07549887 0.07737549 0.07336481 0.07909184
0.07603844 0.0769015 0.07529308 0.07552628 0.07471082
0.0759573 0.07830668 0.07289157 0.07381357 0.07281947
0.0737343 0.07686457 0.07470205 0.07301667 0.07628306
Q-value positive rate for exposures: 
0 0 0.09090909 0.2121212 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.03030303 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.3884298 0.3560606 0.3715415
Precision/Recall/F1 based on Q-values:
0.9090909 0.07575758 0.1398601
Power at FPR threshold of 0.05: 
0.1818182 0.06060606 0.5757576 0.7575758
