Average Estimates for Betas: 
0.04476325 0.0749747 0.1515424 0.1659083 0.007015917
0.01725278 0.0057413 -0.02801904 -0.01606471 -0.00883805
0.003483682 -0.01433878 -0.02769862 0.01268417 -0.01596827
0.0007502714 -0.003663947 -0.000179978 0.001560936 0.01817534
-0.01591371 -0.01797832 -0.02520809 -0.006829301 -0.0250204
-0.005241477 -0.01479189 0.02168392 -0.003426637 0.01337942
-0.0113525 0.000620211 -0.02020855 0.0006155243 -0.006996296
-0.02692708 -0.01650528 -0.008652262 -0.006196327 -0.01098617
0.01232543 0.0004197129 -0.0115725 -0.02340182 0.001439968
0.001693699 -0.01499416 0.004162261 -0.0026781 0.0109904
0.004411202 0.008573202 0.005408496 0.003635996 0.01213192
-0.009589667 0.001684382 0.01339488 0.01141402 -0.01159538
-0.02058554 -0.0122377 -0.01197965 -0.004334135 0.03320326
-0.001634966 0.01404703 -0.01894728 -0.006332196 -0.02276196
-0.01737452 0.003630632 -0.01744745 0.01845077 -0.0156224
-0.01211721 -0.0128092 -0.02354762 -0.0131394 0.0151538
-0.00711663 -0.0007069801 -0.00599596 0.003314789 0.006019505
0.01336857 -0.002399992 -0.01881627 0.0001613209 0.0008218741
0.008567277 0.007621451 0.01381106 0.006051755 0.005021338
0.004457447 -0.008729147 -0.007306605 0.01154917 0.007490273
Positive rate for exposures: 
0.06060606 0.1818182 0.4545455 0.5151515 0.06060606
0 0 0 0.03030303 0
0 0.06060606 0.03030303 0 0.09090909
0 0 0.03030303 0 0
0.03030303 0 0 0.06060606 0
0.03030303 0.03030303 0 0 0
0 0 0.06060606 0.03030303 0.06060606
0.06060606 0.09090909 0 0 0
0 0 0.03030303 0 0.03030303
0 0 0.03030303 0 0.03030303
0.09090909 0 0.03030303 0 0.03030303
0.06060606 0.06060606 0.03030303 0.03030303 0.03030303
0 0.06060606 0.03030303 0.06060606 0.06060606
0.03030303 0.06060606 0.1212121 0.03030303 0.03030303
0.06060606 0 0 0.06060606 0.03030303
0.03030303 0.03030303 0.03030303 0 0.09090909
0 0.06060606 0 0.03030303 0.06060606
0.06060606 0.03030303 0 0.03030303 0.03030303
0.03030303 0 0.03030303 0 0.06060606
0.03030303 0 0 0.06060606 0
Standard Deviations of Betas: 
0.07853711 0.09504413 0.08316607 0.1197728 0.08548476
0.07362595 0.08436658 0.07688243 0.0916685 0.06888143
0.06606199 0.08183576 0.07662252 0.07961348 0.08418967
0.0660385 0.07384384 0.06358082 0.06834102 0.06984503
0.09197529 0.07370232 0.07795778 0.09992544 0.06855417
0.09693862 0.06087634 0.09277838 0.0853178 0.09560689
0.06698987 0.07532397 0.09000833 0.07027044 0.07386133
0.09897564 0.09650043 0.07200605 0.06222964 0.06846401
0.07932758 0.07790027 0.1034586 0.07839912 0.08810178
0.06103632 0.08696504 0.07810726 0.06145636 0.0941237
0.1089982 0.05233181 0.08208492 0.08793675 0.0921732
0.1173815 0.08420191 0.09400963 0.08295918 0.09126956
0.07358104 0.08812668 0.08271478 0.1094676 0.0925016
0.0834576 0.06571969 0.1065769 0.09091378 0.08186884
0.09309891 0.06684463 0.06309943 0.09523632 0.0839856
0.08123134 0.07731546 0.07929158 0.07792999 0.09744308
0.06114956 0.09861939 0.09355668 0.07486178 0.1129072
0.08872422 0.06811022 0.04886543 0.08217792 0.08716366
0.07357964 0.08374391 0.09129793 0.07932073 0.09561864
0.08356098 0.07135792 0.06944085 0.09932345 0.06908393
Average StdErrors for Betas: 
0.08143778 0.08713201 0.08610424 0.08992681 0.08432881
0.08905239 0.0806525 0.08623485 0.0861456 0.08133496
0.08282425 0.08286489 0.08063606 0.08652565 0.08011721
0.08273208 0.08224774 0.08723043 0.08047956 0.08366368
0.08615209 0.08413776 0.08099585 0.08216637 0.0850088
0.08814035 0.07744151 0.08984819 0.08337385 0.08987719
0.09227493 0.08485346 0.08276092 0.07845416 0.0771828
0.08552885 0.08407313 0.08336775 0.07735164 0.08186458
0.08714763 0.09092397 0.09146493 0.0850714 0.08324262
0.08345514 0.08535858 0.0819197 0.08488856 0.08541189
0.08673861 0.08500231 0.08759799 0.08497454 0.0833394
0.08260757 0.08324856 0.0815093 0.08762643 0.09047235
0.08771833 0.08886349 0.08713384 0.09449039 0.0856247
0.0815795 0.08275 0.08518756 0.08802074 0.08101045
0.08618396 0.07985179 0.08369688 0.08994821 0.08445231
0.08425397 0.08134481 0.08165141 0.08712516 0.08416482
0.07747982 0.0846488 0.09018283 0.08284116 0.0965384
0.08066632 0.08283557 0.08518877 0.08493209 0.08664107
0.08391833 0.08653193 0.08636023 0.08026535 0.08181281
0.08213854 0.08271416 0.0841347 0.08853405 0.08325534
Q-value positive rate for exposures: 
0 0 0.06060606 0.1515152 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.03030303 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.32 0.3030303 0.311284
Precision/Recall/F1 based on Q-values:
0.875 0.0530303 0.1
Power at FPR threshold of 0.05: 
0.09090909 0.2121212 0.5151515 0.5757576
