Average Estimates for Betas: 
0.04928084 0.0653534 0.1373845 0.2063226 -0.001322787
-0.010531 0.001195459 -0.009842699 0.000521211 -0.01416427
-0.0007038864 0.008102328 -0.03161293 -0.006300754 -0.01399713
-0.001112037 0.01482863 0.008127538 0.004769348 0.01727177
0.01175305 0.008802504 0.007893456 -0.005774284 -0.02013762
0.005162373 -0.006980782 -0.01672218 -0.01761868 -0.0008393973
0.0005599821 4.999105e-05 -0.0030883 0.002646606 0.004436266
-0.03301564 -0.005681886 -0.0005776028 0.01660864 -0.01407889
-0.009808628 -0.009836943 0.01330397 0.0009566957 0.004197725
0.002086427 0.01290012 0.004975264 0.02209295 0.003854509
-0.003337529 -0.01322847 -0.008615826 0.0129333 0.02792412
0.006118134 0.003638441 -0.009411513 0.008143882 -0.02901452
0.0003661741 -0.008685864 0.003313536 0.01543983 0.0170232
0.00645385 0.007192182 -0.0004553908 -0.001801457 -0.01071109
-0.007376935 0.004789397 -0.01939055 0.0164615 0.00272354
0.00532934 -0.01337115 -0.008529217 0.00684216 0.01851864
-0.01060077 -0.008688298 0.001649084 0.01378479 0.001640918
0.01257365 0.01252282 -0.01418466 0.01113023 -0.001556883
-0.001813229 0.006782974 -0.01001509 -0.02312331 -0.02874953
-0.002718885 -0.007126271 0.001714629 0.006923935 0.004192054
Positive rate for exposures: 
0.255814 0.3023256 0.6046512 0.9302326 0.09302326
0.2093023 0.1627907 0.1395349 0.1395349 0.04651163
0.06976744 0.1162791 0.1162791 0.1162791 0.255814
0.09302326 0.1627907 0.1627907 0.2325581 0.1162791
0.1860465 0.1162791 0.1395349 0.1395349 0.1395349
0.2093023 0.1395349 0.1627907 0.09302326 0.1627907
0.06976744 0.1162791 0.1162791 0.2325581 0.1627907
0.1860465 0.1627907 0.06976744 0.09302326 0.1395349
0.09302326 0.09302326 0.1162791 0.06976744 0.1860465
0.09302326 0.09302326 0.2325581 0.06976744 0.1627907
0.2093023 0.1395349 0.06976744 0.1627907 0.1860465
0.1395349 0.2093023 0.1162791 0.1162791 0.1395349
0.1395349 0.1395349 0.04651163 0.1395349 0.1395349
0.1627907 0.255814 0.2093023 0.04651163 0.1395349
0.1627907 0.04651163 0.2093023 0.1627907 0.04651163
0.1162791 0.09302326 0.2325581 0.1627907 0.06976744
0.1162791 0.09302326 0.09302326 0.1627907 0.1395349
0.2325581 0.1162791 0.1162791 0.2093023 0.1627907
0.04651163 0.1860465 0.06976744 0.1860465 0.1395349
0.1860465 0.1162791 0.1627907 0.1860465 0.04651163
Standard Deviations of Betas: 
0.09246335 0.07128476 0.08788103 0.1069487 0.06462619
0.08273596 0.08103947 0.08902247 0.06101576 0.06759301
0.07175679 0.06401494 0.08582118 0.07380594 0.08463259
0.0695666 0.08928535 0.06465 0.0813852 0.07269554
0.07239028 0.06313726 0.07500324 0.07698912 0.07661954
0.07140908 0.06320226 0.08062419 0.08061164 0.08184418
0.0579529 0.07527922 0.0693997 0.08732252 0.06959946
0.1007275 0.07035518 0.06447197 0.07614107 0.08543012
0.06843507 0.07294591 0.06837019 0.06249791 0.08233972
0.06722108 0.06103248 0.07062695 0.07139797 0.0757146
0.09385515 0.071344 0.07391656 0.07367691 0.08242569
0.06286586 0.08555123 0.06707823 0.0737576 0.06768446
0.06258263 0.07386003 0.07239425 0.07662339 0.07207192
0.06975349 0.07225125 0.08679708 0.06956721 0.08231158
0.07852908 0.0632604 0.09226426 0.07703921 0.05551571
0.06569939 0.06921684 0.07269239 0.08579284 0.06853958
0.07853246 0.07326493 0.07083061 0.07037377 0.07350119
0.08699775 0.07308979 0.0752009 0.0989219 0.0784487
0.05877709 0.08244756 0.06936915 0.07797598 0.06909878
0.08940284 0.07260542 0.07611035 0.07217871 0.07712856
Average StdErrors for Betas: 
0.06110556 0.05939047 0.06667473 0.05978211 0.06049075
0.06025285 0.05330457 0.06172561 0.05410166 0.06366798
0.05476189 0.05973826 0.06017246 0.05941552 0.05645027
0.06100013 0.05788773 0.05966076 0.05415179 0.05809044
0.05869243 0.05217009 0.0606587 0.0585114 0.05479228
0.05643828 0.05336539 0.05513234 0.05711224 0.06040757
0.05838372 0.05344492 0.05817704 0.06371207 0.05728705
0.05694879 0.05993769 0.05580298 0.05869064 0.05752254
0.0556898 0.06123669 0.05479605 0.05318441 0.05274317
0.05461007 0.05164117 0.05300792 0.05655763 0.05986522
0.06226336 0.05640197 0.05677555 0.05498113 0.05173776
0.05240131 0.05580274 0.06077179 0.05822633 0.05478165
0.05329631 0.05444776 0.055572 0.0591033 0.05621215
0.05654816 0.05334385 0.05747628 0.06058561 0.0562089
0.05525914 0.05745386 0.05310262 0.05715466 0.05405579
0.05751388 0.05529813 0.05415509 0.05457037 0.05605498
0.05565354 0.06072923 0.05940236 0.05876644 0.06169807
