Average Estimates for Betas: 
0.03979148 0.06129362 0.1406547 0.2095154 0.004500635
0.001321368 -0.004296763 -0.0001537377 0.004253098 -0.01269967
0.01372437 -0.001794759 -0.00233668 -0.002732392 -0.0004102856
-0.0186273 -0.0117363 0.003884289 -0.004935463 0.005246615
0.00987904 -0.01267976 0.009299661 -0.003391527 -0.003312029
-0.009932755 -0.003813055 0.01235192 0.005223588 0.007447639
-0.01220338 -0.0002188236 0.002999187 0.0004073865 -0.001327194
-0.01006278 -0.008610981 0.006117896 0.0001894031 -0.01043229
0.005593501 -0.0001747639 0.006646001 0.003284155 -0.00113613
-0.01306123 0.002489889 -0.009446793 0.008600576 0.002120639
-0.009930454 -0.00204969 0.0004702109 0.005410445 0.001922302
-0.002582448 -0.0008870259 0.001336799 -0.008346212 -0.003776462
0.002673829 0.009827179 -0.01230722 0.002019978 -0.01255641
-0.009010552 -0.006430412 0.004269791 0.006396031 0.001063931
0.0001809169 -0.004443916 0.002134374 0.005108006 0.0009626878
0.001474743 0.007939419 0.007822816 0.01014337 -0.00270871
-0.003415926 0.004881392 -0.003264338 -0.0005262383 0.001632172
0.004570839 -0.006134625 -0.0008016537 -0.01100355 0.00685299
0.01472766 0.009221978 -0.001150533 0.01923172 -0.0008915797
-0.002237805 0.00285401 0.01232803 0.004827777 -0.002785846
Positive rate for exposures: 
0.15 0.13 0.53 0.77 0.09
0.06 0.02 0.01 0.06 0.06
0.09 0.03 0.05 0.07 0.04
0.07 0.05 0.02 0.06 0.08
0.04 0.05 0.04 0.03 0.05
0.04 0.01 0.11 0.04 0.05
0.03 0.05 0.06 0.07 0.06
0.07 0.06 0.04 0.04 0.08
0.05 0.05 0.07 0.07 0.06
0.06 0 0.05 0.05 0.05
0.06 0.05 0.07 0.02 0.02
0.03 0.04 0.02 0.04 0.09
0.04 0.06 0.05 0.04 0.05
0.02 0.06 0.03 0.06 0.06
0.02 0.02 0.05 0.03 0.08
0.06 0.01 0.05 0.03 0.03
0.02 0.01 0.06 0.02 0.09
0 0.09 0.06 0.02 0.05
0.04 0.05 0.04 0.02 0.1
0.03 0.02 0.07 0.09 0.04
Standard Deviations of Betas: 
0.08503621 0.0745816 0.0816693 0.08609504 0.09381074
0.08100086 0.07022531 0.0676331 0.077247 0.0785922
0.08634487 0.07275535 0.08174562 0.07144135 0.07844202
0.08973311 0.08710391 0.07104417 0.07930468 0.09254731
0.07717931 0.08594395 0.07604589 0.0733386 0.08259362
0.07732591 0.06683687 0.09740293 0.08497431 0.0709176
0.07030931 0.07646535 0.08371714 0.06943456 0.09258464
0.09005809 0.07908394 0.07935176 0.07258601 0.07454462
0.07947745 0.07041753 0.08393101 0.08402228 0.07878938
0.08350621 0.05966159 0.076397 0.07871598 0.08233796
0.08539994 0.07485982 0.08842429 0.07325895 0.0667174
0.07354638 0.07537055 0.07570663 0.07919194 0.08328284
0.08400529 0.08533844 0.07643403 0.06901556 0.07888002
0.06711321 0.06244594 0.07098811 0.0810357 0.07633019
0.08123873 0.07776372 0.07625517 0.07066372 0.07962238
0.08444076 0.07135837 0.08244002 0.07491471 0.077235
0.07442925 0.07726472 0.0691086 0.06901457 0.08300401
0.06434615 0.08136291 0.08027819 0.06787829 0.08718095
0.07951547 0.0789186 0.08245529 0.07371594 0.08882549
0.08092819 0.06842836 0.07714945 0.09060767 0.069313
Average StdErrors for Betas: 
0.07745502 0.07449388 0.07509209 0.07750242 0.07829956
0.07664019 0.07674653 0.07529391 0.07622369 0.07697823
0.07420056 0.07682273 0.07655421 0.07323596 0.07567858
0.07887995 0.07791516 0.07427443 0.0764087 0.07621706
0.07536542 0.07892128 0.07435478 0.07482779 0.07817956
0.07467334 0.07542872 0.07630885 0.07742926 0.07386104
0.07642654 0.07513966 0.07778784 0.07629168 0.07750166
0.07761665 0.07694726 0.0757425 0.07457891 0.07640206
0.07798448 0.07754282 0.07615826 0.07480033 0.07705922
0.07808684 0.07727683 0.07874695 0.07716919 0.07744043
0.07768455 0.07497745 0.07616485 0.07413871 0.07532161
0.07390753 0.0774223 0.07780113 0.07535974 0.07797216
0.07529241 0.07589919 0.07696049 0.07662292 0.07919244
0.07693921 0.0762449 0.07453489 0.07553101 0.07564588
0.07698755 0.07721674 0.0754328 0.07376767 0.07734441
0.07784354 0.07852231 0.07824528 0.07711788 0.07681206
0.07885772 0.07689292 0.07660635 0.07584124 0.07821073
0.07923083 0.07469982 0.07757287 0.07822108 0.07785083
0.0767749 0.07451258 0.07729582 0.07698613 0.07888358
0.07799867 0.07464515 0.07749922 0.07606263 0.07663922
Q-value positive rate for exposures: 
0 0.03 0.11 0.34 0.01
0.02 0 0 0.01 0
0 0 0 0 0
0 0.01 0.01 0 0.01
0 0 0 0 0.01
0 0 0.01 0.01 0
0 0 0.01 0 0
0 0 0 0 0.01
0 0 0 0 0.01
0 0 0 0 0
0 0.01 0 0 0
0.01 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0.01 0 0 0 0
0 0 0.01 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0 0 0.01 0
Precision/Recall/F1 based on p-values:
0.2556634 0.395 0.3104126
Precision/Recall/F1 based on Q-values:
0.7058824 0.12 0.2051282
Power at FPR threshold of 0.05: 
0.15 0.13 0.53 0.77
