Average Estimates for Betas: 
0.04159447 0.0563853 0.1338194 0.1897863 -0.007008992
0.003758782 -0.007449388 -0.007162273 -0.003041808 -0.01571222
0.01378129 -0.003809068 -0.004284336 -0.01072241 0.005997057
-0.02000977 -0.01418403 0.001918448 0.007253457 0.006797524
0.01300227 -0.01153472 0.01085504 -0.004187031 0.002811253
-0.0167561 0.007675381 0.01896934 0.01714249 0.004218236
-0.01274584 -0.006150811 0.007363978 0.003689228 -0.005042177
-0.008990467 -0.0107157 0.006075637 -0.00161737 -0.02415382
-0.006467024 -0.002303183 -0.0009239762 -0.002888141 -0.003509722
-0.02264435 -0.005602662 -0.005287631 0.008823114 0.0122119
-0.009578448 0.002619016 -0.002216139 0.01344392 -0.001244784
-0.005298122 -0.001440833 -0.009373848 -0.0112784 0.006048446
-0.004394566 0.01576461 -0.01622957 -0.001476851 -0.01336801
0.001879358 -0.001254469 0.004960757 0.01690292 0.007175833
-0.007310906 -0.006824324 0.001648015 -0.0004353844 0.002515493
0.004336515 0.00778399 0.00810379 0.009931772 -0.006135136
-0.01218856 0.006794789 0.002611252 0.0002276881 0.008202388
0.003753855 0.002237127 -0.0003380887 -0.009700724 0.0149252
0.01003298 0.01209402 -0.006844873 0.01531042 0.0003719694
-0.008103721 0.01024216 0.01727444 0.008809761 -0.01468729
Positive rate for exposures: 
0.13 0.11 0.44 0.66 0.08
0.07 0.03 0.03 0.07 0.07
0.06 0.04 0.04 0.06 0.04
0.06 0.12 0.04 0.06 0.09
0.04 0.05 0.06 0.03 0.07
0.04 0.02 0.08 0.04 0.03
0.05 0.05 0.07 0.08 0.09
0.06 0.06 0.04 0.09 0.11
0.07 0.05 0.04 0.05 0.07
0.08 0.02 0.06 0.07 0.04
0.09 0.06 0.08 0.05 0.05
0.06 0.05 0.01 0.02 0.07
0.05 0.09 0.06 0.05 0.05
0.03 0.05 0.09 0.05 0.05
0.04 0.05 0.03 0.05 0.05
0.06 0.01 0.07 0.02 0.03
0.05 0.02 0.03 0.04 0.1
0.04 0.03 0.04 0.02 0.03
0.06 0.08 0.03 0.04 0.08
0.06 0.04 0.06 0.1 0.05
Standard Deviations of Betas: 
0.09951539 0.08739144 0.09654565 0.1148066 0.1334059
0.09716574 0.1001244 0.08680954 0.08482894 0.08931993
0.09534753 0.09870642 0.09326663 0.09847913 0.1016083
0.0953185 0.1161297 0.08393927 0.1032559 0.107039
0.09856269 0.08913267 0.09294989 0.08697686 0.09500409
0.1000946 0.09001249 0.1087144 0.09511297 0.07249727
0.08995812 0.1123521 0.0907843 0.08526763 0.1093661
0.0995059 0.09342497 0.09581441 0.1155673 0.1018453
0.1180049 0.08998128 0.1026341 0.09284652 0.09968529
0.1093945 0.08640455 0.1136533 0.1092137 0.09179811
0.1075499 0.0894539 0.0943845 0.09724362 0.1054881
0.08691444 0.09983013 0.09382559 0.08750991 0.1170982
0.08811301 0.1006925 0.09839085 0.08489347 0.1087968
0.0889879 0.08051107 0.09906254 0.09498294 0.08973305
0.09686684 0.09835184 0.08884783 0.08864016 0.09386451
0.1019334 0.07533682 0.09862269 0.08833296 0.08864423
0.1025278 0.08631979 0.08559724 0.08027212 0.09224414
0.0783184 0.08828757 0.08566711 0.08874902 0.1063911
0.1073179 0.09137553 0.09542313 0.0948571 0.1274263
0.1055593 0.09626063 0.102708 0.1125781 0.08922097
Average StdErrors for Betas: 
0.08885462 0.08811157 0.08333987 0.08700186 0.092137
0.08678401 0.09187852 0.08879498 0.08807325 0.09084291
0.0830711 0.08989389 0.09156796 0.08264655 0.0887679
0.09127403 0.09157892 0.08478657 0.08749595 0.08990376
0.08864777 0.09286388 0.08703991 0.08043518 0.08855053
0.08805548 0.0868277 0.08428385 0.08806655 0.08337707
0.08608926 0.08764138 0.08852007 0.0858084 0.0933027
0.08796242 0.08919281 0.0922064 0.08511825 0.09037305
0.09225183 0.08814214 0.09259241 0.08736528 0.08923132
0.0906664 0.08976186 0.09472425 0.08836976 0.09129494
0.08769279 0.0858564 0.08748752 0.08698988 0.09096562
0.08650119 0.08628953 0.09056707 0.08455463 0.0930465
0.08526717 0.08676032 0.09078594 0.08894328 0.09632686
0.0892646 0.09092788 0.08661811 0.08976309 0.09492887
0.0929469 0.09170547 0.08600853 0.08408319 0.08788088
0.0931432 0.08852187 0.08736529 0.09217106 0.087294
0.09065438 0.08788829 0.0879267 0.08703575 0.09024027
0.08741094 0.09080246 0.08436278 0.09274604 0.09499947
0.09085091 0.08713665 0.08632486 0.09216319 0.09350051
0.09362342 0.09380234 0.09240608 0.0949585 0.09034213
Q-value positive rate for exposures: 
0 0.02 0.13 0.28 0.01
0.02 0 0 0 0
0.01 0 0 0 0
0 0.01 0.01 0 0.01
0 0 0 0 0
0.01 0 0.01 0 0
0 0 0.01 0 0
0 0 0 0 0.01
0 0 0 0 0.01
0 0 0 0 0
0 0 0 0.01 0
0.01 0 0 0 0.01
0 0 0 0 0
0 0 0 0 0.01
0.01 0 0 0 0
0 0 0.02 0 0
0.01 0 0 0 0.01
0 0.01 0 0 0
0 0 0 0 0.02
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2052067 0.335 0.2545109
Precision/Recall/F1 based on Q-values:
0.641791 0.1075 0.1841542
Power at FPR threshold of 0.05: 
0.12 0.11 0.42 0.65
