Average Estimates for Betas: 
-0.2484788 0.1392999 -0.7200738 0.6067927 -0.09979663
-0.2631264 -0.2638112 0.1888323 -0.08330378 -0.4275909
-0.01925903 0.1611242 -0.167066 0.03091873 -0.2016377
0.02621177 -0.04583939 -0.007211625 0.3921912 -0.08133164
0.5382141 -0.1678587 -0.3026099 -0.3623871 -0.1398649
1.055246 0.3866015 0.215119 0.2228633 -0.07066828
1.237809 -0.6483065 0.4702244 -0.1382987 -0.2071316
-0.4632822 -0.2963295 0.1245979 -0.5493992 -0.2762043
-0.06086222 0.4402959 -0.3013316 -0.1390523 -0.09153172
-0.1318079 -0.3749347 -0.4433819 0.2374267 0.3121716
-0.4570018 0.1233526 -0.2734475 -0.2525605 -0.2099056
-0.1952426 0.4520005 0.1426822 0.04119704 0.7765384
0.244377 -0.189731 0.4769151 0.05477076 -0.08168622
-0.4437651 -0.09153546 -0.6072732 0.9045937 0.225922
0.2676501 0.1878253 -0.0461107 0.104515 -0.8052002
0.2328873 0.04291434 0.04970593 -0.43396 -0.7501942
0.1140246 0.7624783 0.16586 -0.3567392 0.5073384
-0.7785986 0.7323157 -0.6565958 0.2576895 -0.3644571
-0.192733 0.04730699 -0.3538709 0.3537052 -0.0601084
0.03634179 -0.3218663 -0.3087194 -0.3816098 -0.5283886
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
4.602806 4.641185 4.159583 3.88795 4.203378
3.761367 5.237918 3.59808 3.772032 3.444779
3.443656 3.85974 4.009483 3.555852 3.952845
5.566111 3.445941 3.839041 4.69484 4.522619
2.96978 4.111288 4.519451 3.581242 3.093477
4.293473 3.690739 4.562163 3.707582 4.252008
4.71566 3.686626 5.16088 3.642397 4.999474
4.039812 4.294431 2.960482 3.626495 2.609046
4.445777 4.032078 4.193236 3.239366 4.724845
3.315835 3.642779 3.973445 5.03239 3.658656
3.832603 2.55355 4.274436 3.568256 4.004873
4.457043 4.235061 4.223332 4.554289 3.54744
3.019935 4.160617 3.463368 4.649985 5.130614
3.201025 3.594368 4.511419 4.314524 3.395698
3.162984 4.41716 4.389016 4.487101 4.308984
3.883321 3.086227 4.467056 5.199603 4.683078
5.287557 4.196236 4.835314 3.384399 4.833066
4.106015 4.489108 4.704548 4.734702 3.272986
3.353413 3.687923 4.258036 3.256593 4.396872
3.541591 3.681732 3.654575 4.521533 5.015649
Average StdErrors for Betas: 
428.7004 288.2358 315.5296 443.9791 636.1154
307.9316 391.9286 313.0655 263.8085 253.9088
182.1519 205.8766 296.6792 366.8926 269.583
321.1141 243.196 268.9237 348.0799 357.9433
194.057 241.6514 380.7691 267.6658 307.4628
231.007 271.54 292.5358 463.5775 259.2739
264.0412 179.2914 353.7171 297.4571 401.3144
403.0184 215.7196 225.9062 194.7002 198.1422
313.6294 273.8808 313.0469 189.5258 325.726
222.9156 203.1632 402.0617 360.0845 250.247
268.3571 168.9544 389.0422 295.8211 262.7686
294.1089 287.2025 331.6662 194.3274 228.4805
264.2105 260.2247 210.9735 327.1175 218.8236
214.4375 336.2399 319.0847 291.2319 250.2597
258.9521 273.9503 220.2442 352.8594 326.1116
246.2398 294.33 259.8002 357.5753 347.0266
376.3254 227.33 260.4917 250.1847 359.5253
313.4203 282.4995 269.4589 292.9006 187.3762
192.5443 312.8259 304.5152 181.3812 316.7767
254.0992 286.079 247.7274 272.9514 273.7826
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0.03092784 0.02061856 0.06185567 0.06185567
