Average Estimates for Betas: 
0.005925048 0.01548476 0.0392229 0.05097903 0.001213861
0.005809103 -0.005233287 -0.00515756 -4.207901e-05 -0.0005961491
-0.003335145 -0.002642339 -0.002460243 -0.003408676 0.008985848
-0.001546618 0.003222717 0.002368012 0.002230627 0.006688277
-0.001507813 5.470933e-05 6.994807e-05 0.0003620361 -0.0009075775
0.00231399 0.000850631 -0.002940795 -0.002156197 0.003673896
-0.002748562 -0.004944381 -0.00160505 -0.004780058 -0.0005920014
-0.003462243 0.002832127 -0.0002906354 -0.002454024 0.0007422527
-0.002473694 0.0003472311 -0.003522902 -0.00245566 0.00195685
0.001278996 -0.0006374098 0.003083971 0.007142268 0.002978896
-0.002131637 -0.00131323 0.0002226166 0.0003474553 -0.003124475
0.0008417959 -0.001050429 0.0007383776 -0.003229006 -0.002107496
-0.0007421292 -0.002249899 -0.006340949 -0.005034199 -0.0002817955
0.00241684 0.0007275929 -0.002433985 -0.001417587 0.004943385
0.0003710965 0.0003947442 0.007217132 0.002950412 -0.001353864
0.002770599 0.002254348 -0.0001702979 -0.000252588 -0.002949207
-0.001911269 -0.00258482 -0.007172105 -0.002128268 -0.006267167
0.003743005 -0.004352963 -0.002582357 -0.0005818143 -0.002836304
-0.002274149 -0.008918422 -0.0007520166 0.001221449 0.001592942
-0.005197961 0.0005019674 -0.007782683 0.001434489 0.007626965
Positive rate for exposures: 
0.1717172 0.2424242 0.4242424 0.5050505 0.1616162
0.1414141 0.1616162 0.1313131 0.1919192 0.1414141
0.1818182 0.1515152 0.1212121 0.1818182 0.1717172
0.2121212 0.1414141 0.1717172 0.1919192 0.1616162
0.1212121 0.1313131 0.1616162 0.2020202 0.1111111
0.1414141 0.1111111 0.1515152 0.2222222 0.1717172
0.1717172 0.09090909 0.1515152 0.1010101 0.1818182
0.1414141 0.1010101 0.1313131 0.1919192 0.1414141
0.06060606 0.2121212 0.1818182 0.1717172 0.1515152
0.2323232 0.2020202 0.1313131 0.1616162 0.1616162
0.1818182 0.1010101 0.1717172 0.1111111 0.1818182
0.1818182 0.1010101 0.06060606 0.1616162 0.1313131
0.2121212 0.1717172 0.1717172 0.1616162 0.1313131
0.1111111 0.1717172 0.1414141 0.2222222 0.1414141
0.1515152 0.09090909 0.1717172 0.2121212 0.1616162
0.1414141 0.1616162 0.1515152 0.1111111 0.1212121
0.1111111 0.1111111 0.1313131 0.1818182 0.1111111
0.1313131 0.2222222 0.1717172 0.1616162 0.1212121
0.1414141 0.1616162 0.2121212 0.1010101 0.1717172
0.1212121 0.2020202 0.1616162 0.1414141 0.1212121
Standard Deviations of Betas: 
0.03371196 0.0403016 0.03916729 0.04317275 0.03485635
0.03324472 0.0348491 0.0335275 0.03722208 0.03480982
0.03703367 0.0336435 0.03464521 0.03801956 0.03425881
0.03872072 0.03520943 0.034405 0.04045754 0.03473831
0.0334824 0.0333195 0.03579072 0.03662959 0.03104271
0.03517487 0.0325055 0.0388427 0.03724637 0.03531319
0.0358433 0.03089226 0.03532417 0.03542306 0.03472073
0.03379661 0.03317779 0.03518836 0.03745014 0.03475423
0.02906775 0.03762041 0.03860796 0.03513259 0.03236989
0.04226772 0.03758857 0.0346112 0.03480764 0.03548164
0.03844562 0.03253339 0.03549807 0.03183142 0.03501475
0.03704481 0.03272456 0.03002827 0.03473936 0.03560518
0.03951027 0.03735607 0.03480577 0.0371235 0.03430581
0.03239515 0.03342894 0.03422944 0.03991995 0.03396461
0.03635998 0.03339668 0.0367607 0.03716659 0.03728753
0.0329222 0.03579956 0.03626796 0.02924789 0.03068963
0.03076689 0.02927851 0.03255157 0.03878202 0.03420768
0.0348444 0.03999255 0.03446219 0.03808871 0.03371643
0.03471212 0.03444568 0.03955288 0.03296404 0.03737124
0.0339831 0.03828479 0.03487942 0.03424539 0.03272841
Average StdErrors for Betas: 
0.02542525 0.02544681 0.02526875 0.02539084 0.02541425
0.02536655 0.02540686 0.02543649 0.02529787 0.02542638
0.02544299 0.02544204 0.02538209 0.02549484 0.02536392
0.02534567 0.02541729 0.02540619 0.02545745 0.02540952
0.02529802 0.02542777 0.02549088 0.02539133 0.02523488
0.02528507 0.02552873 0.02534038 0.02540574 0.02523698
0.0254031 0.02544899 0.02558664 0.02534433 0.02541243
0.02549739 0.02541416 0.02532953 0.02532871 0.02546445
0.02544643 0.02539004 0.02519215 0.02526672 0.02527299
0.02542395 0.02537741 0.02539466 0.02559681 0.02532101
0.02546144 0.02550729 0.02545689 0.02536927 0.02534296
0.02545914 0.02546218 0.02553833 0.02542785 0.02535316
0.02529714 0.025307 0.02537136 0.02539491 0.02541721
0.02556289 0.02541139 0.02536613 0.02541513 0.02531471
0.02537857 0.02533175 0.02548568 0.02548607 0.0253085
0.02549505 0.025421 0.02555714 0.02540962 0.0252424
0.02549469 0.02544913 0.02526889 0.02538389 0.02561367
0.02546633 0.02540703 0.02554955 0.02534918 0.02525911
0.02532755 0.0254509 0.0255505 0.02545668 0.02546837
0.02546182 0.02541978 0.02539741 0.02548091 0.02545741
Q-value positive rate for exposures: 
0.01010101 0.1010101 0.1717172 0.2323232 0.02020202
0.03030303 0 0.02020202 0.04040404 0.04040404
0.04040404 0.02020202 0.03030303 0.04040404 0.03030303
0.04040404 0.01010101 0.04040404 0.07070707 0.02020202
0 0.02020202 0.04040404 0.03030303 0.01010101
0.03030303 0.01010101 0.07070707 0.02020202 0.01010101
0.06060606 0.02020202 0.01010101 0.03030303 0.03030303
0.03030303 0.02020202 0.03030303 0.04040404 0.03030303
0.01010101 0.05050505 0.05050505 0.02020202 0.01010101
0.07070707 0.04040404 0.02020202 0.01010101 0.02020202
0.06060606 0.02020202 0.01010101 0.01010101 0.02020202
0.05050505 0.02020202 0.01010101 0.01010101 0.03030303
0.04040404 0.05050505 0.05050505 0.05050505 0.01010101
0.02020202 0.02020202 0.05050505 0.04040404 0.06060606
0.05050505 0.02020202 0.03030303 0.02020202 0.03030303
0.01010101 0.03030303 0.04040404 0.02020202 0.01010101
0.03030303 0.02020202 0.04040404 0.04040404 0.05050505
0.02020202 0.04040404 0 0.03030303 0.04040404
0.03030303 0.03030303 0.05050505 0.02020202 0.04040404
0.01010101 0.06060606 0.03030303 0.03030303 0.02020202
Precision/Recall/F1 based on p-values:
0.08375315 0.3358586 0.1340726
Precision/Recall/F1 based on Q-values:
0.1517857 0.1287879 0.1393443
Power at FPR threshold of 0.05: 
0.03030303 0.1515152 0.2121212 0.3232323
