Average Estimates for Betas: 
0.009718923 0.01717336 0.03237729 0.04475982 0.0005274686
-0.001720026 0.0004276541 -0.005383699 0.000391478 -0.0007026532
-0.00322072 -0.00553778 -0.002817169 0.001367253 0.007901898
-0.002844205 0.001005563 0.0004460198 0.003618752 0.003754256
-0.003039773 -0.004372548 0.002166871 0.002127967 0.001213939
0.003087137 0.00290353 0.0006007168 0.001489734 -0.000786168
-0.001182858 -0.003289256 -0.004700516 0.0003875729 -0.001415829
-0.0032298 0.0003638847 -0.003202317 -0.002174419 -0.003057438
-0.001682744 -0.001014006 -0.002576683 -0.002029341 0.003074472
-0.002104408 0.005476692 0.001285605 0.002185333 0.001229768
-0.00106493 0.003633373 0.003010678 -0.001147203 -0.003000172
-0.0003431798 -0.002941978 0.0003989018 -0.004843237 -0.002274268
-0.00300006 0.001968706 -0.002397163 -0.001886375 0.003117689
0.002661842 -0.00341106 0.001275759 -0.003319707 0.002942037
-0.0006668527 -0.003497185 0.004926732 0.0008129087 -0.002085663
-0.0007248719 0.003622845 -0.0003391067 0.000467721 -0.006790793
-0.003000126 -0.001550407 -0.002591311 -0.001975115 -0.002269064
0.002316335 -0.0003916954 -0.0067185 -0.0005220003 -0.0005097833
-0.001061338 -0.006118302 0.004286518 0.002750276 0.00287036
-0.004472214 -0.001136701 -0.004662667 0.002444678 0.004656888
Positive rate for exposures: 
0.1515152 0.1616162 0.3030303 0.4141414 0.09090909
0.1111111 0.06060606 0.1313131 0.1414141 0.07070707
0.08080808 0.1111111 0.1111111 0.1212121 0.06060606
0.1010101 0.1010101 0.09090909 0.09090909 0.09090909
0.07070707 0.08080808 0.1111111 0.09090909 0.08080808
0.07070707 0.03030303 0.08080808 0.1010101 0.07070707
0.1010101 0.08080808 0.1212121 0.07070707 0.07070707
0.08080808 0.1010101 0.1010101 0.1212121 0.1010101
0.09090909 0.05050505 0.07070707 0.05050505 0.1010101
0.08080808 0.1414141 0.06060606 0.05050505 0.07070707
0.08080808 0.08080808 0.08080808 0.08080808 0.09090909
0.1414141 0.1010101 0.1313131 0.1111111 0.1111111
0.1616162 0.1313131 0.07070707 0.1010101 0.1010101
0.05050505 0.09090909 0.04040404 0.06060606 0.1313131
0.09090909 0.08080808 0.1111111 0.06060606 0.1414141
0.1414141 0.09090909 0.1313131 0.02020202 0.1111111
0.02020202 0.05050505 0.07070707 0.09090909 0.1111111
0.1212121 0.09090909 0.08080808 0.1111111 0.1010101
0.1111111 0.09090909 0.1010101 0.06060606 0.08080808
0.09090909 0.1212121 0.1010101 0.06060606 0.05050505
Standard Deviations of Betas: 
0.03197655 0.02956964 0.03240587 0.03920711 0.03056465
0.03099663 0.02704796 0.03336215 0.03124995 0.02788811
0.03013822 0.03027376 0.03219979 0.03301778 0.02815808
0.03017514 0.02941158 0.03089874 0.02999181 0.0308998
0.02753508 0.02922419 0.0323066 0.02912143 0.02978595
0.02653368 0.02352608 0.02985194 0.03209748 0.03049741
0.02861094 0.02726828 0.03038739 0.02908156 0.02974237
0.03157385 0.03202276 0.03229786 0.03318162 0.02947332
0.0274991 0.0261774 0.02995657 0.02700388 0.02988975
0.02934731 0.03229081 0.02712164 0.02706826 0.02716237
0.0304647 0.02902081 0.02913957 0.02713752 0.03136059
0.03448705 0.03436071 0.0327783 0.03204562 0.02844393
0.03428913 0.03123436 0.03323824 0.02939316 0.02982953
0.02781236 0.02761202 0.02677923 0.02886615 0.03084007
0.03190168 0.02808724 0.03077722 0.02895583 0.03523157
0.03007711 0.03074645 0.03397941 0.02425706 0.03049049
0.02318955 0.02513827 0.0279441 0.02987235 0.03274578
0.03099612 0.03033121 0.02792024 0.03123574 0.03200818
0.02964163 0.0282953 0.03041261 0.02715925 0.02725194
0.02779547 0.03232017 0.03125296 0.02887745 0.02683928
Average StdErrors for Betas: 
0.02599519 0.02608321 0.02624804 0.02648166 0.0259574
0.02590838 0.02597646 0.02599255 0.02595775 0.02597069
0.02601373 0.0260404 0.02590967 0.02611452 0.02594899
0.0258617 0.02603022 0.02599321 0.02598489 0.02604381
0.02585571 0.02594106 0.02607908 0.02589218 0.02582447
0.02598045 0.02607343 0.02595471 0.02598816 0.02584969
0.02603394 0.02602349 0.02606526 0.0259761 0.02594128
0.02610508 0.02599636 0.02593314 0.02601941 0.02601006
0.02600009 0.0258738 0.02583721 0.02585863 0.02582265
0.02597662 0.02599315 0.02595218 0.02611806 0.02587196
0.02603046 0.02599589 0.02598075 0.02601654 0.02595335
0.02600128 0.02608293 0.02604716 0.02595079 0.02591523
0.02592136 0.0259527 0.02596123 0.02598157 0.02597725
0.02608626 0.02597991 0.02599766 0.02604166 0.02584919
0.02594108 0.02594081 0.02598019 0.02601164 0.02595538
0.02601451 0.02595194 0.02611678 0.02599819 0.02589259
0.02600284 0.02600998 0.02596596 0.0259211 0.02606584
0.02600807 0.02602787 0.02607913 0.02594009 0.02593594
0.02590377 0.02598305 0.02608804 0.02605952 0.02603247
0.02605704 0.02601977 0.02597228 0.02603496 0.02608907
Q-value positive rate for exposures: 
0.01010101 0.01010101 0.05050505 0.1515152 0.01010101
0 0 0.02020202 0.01010101 0
0.02020202 0 0.01010101 0 0
0 0 0 0 0.01010101
0 0.01010101 0.01010101 0.01010101 0
0 0 0.01010101 0 0
0.01010101 0 0.01010101 0 0
0.02020202 0 0.01010101 0.01010101 0
0 0 0 0 0.01010101
0.01010101 0 0 0 0
0.01010101 0 0 0 0.02020202
0.01010101 0.03030303 0 0.02020202 0
0.01010101 0 0.02020202 0 0
0 0 0 0.01010101 0.01010101
0 0 0 0 0.01010101
0 0 0 0 0.01010101
0 0 0.01010101 0.01010101 0.01010101
0 0 0 0.02020202 0.01010101
0 0 0.01010101 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.1056995 0.2575758 0.1498898
Precision/Recall/F1 based on Q-values:
0.3384615 0.05555556 0.09544469
Power at FPR threshold of 0.05: 
0.1010101 0.1111111 0.2525253 0.3636364
