Average Estimates for Betas: 
0.008516429 0.01394068 0.02945174 0.03701963 0.0004268581
-0.004509541 -0.0003531439 -0.00462137 0.002144094 -1.869671e-05
-0.001959847 -0.00496273 -0.002470816 -0.001471764 0.006749863
-0.003282019 0.001481005 0.001807485 0.005655392 0.004081721
-0.003060278 -0.002603521 0.0007819484 0.003730367 -0.00165131
0.003243472 0.001009011 -0.002705628 0.001208625 -0.00144738
8.351197e-05 -0.0006266631 -0.004741883 -0.001753614 -0.002709986
-0.005170047 -3.74575e-05 -0.00316377 -0.0002502438 -0.003223681
-0.001354068 -0.001718714 -0.00281963 -0.002416928 0.00228041
-0.001094642 0.006566096 0.002124292 0.002064022 -0.0003056067
-0.0001044934 0.003933822 0.001274404 -0.001812959 -0.004666393
-0.0002266665 -0.0006524753 0.0009858003 -0.00348816 0.0006794781
-0.002269875 -0.0002704845 -0.001753293 -0.001763122 0.004136551
0.003724794 -0.001056007 0.002486536 -0.002100729 0.002631949
-0.001040946 -0.002011239 0.004453385 0.002827708 -0.001884041
-0.001265893 0.001796076 -0.002442811 0.0007689402 -0.006222866
0.000677561 -0.001055981 -0.0007801619 -0.000642399 -0.003348373
0.002159675 -0.001005339 -0.005743148 -0.003067018 -0.0003357031
-0.002855114 -0.004019422 0.004558507 0.00342552 0.003450115
-0.005095881 -0.002148905 -0.004986257 -0.0006937808 0.002696757
Positive rate for exposures: 
0.1212121 0.1616162 0.2121212 0.3333333 0.06060606
0.09090909 0.05050505 0.08080808 0.09090909 0.03030303
0.05050505 0.1111111 0.06060606 0.07070707 0.07070707
0.1010101 0.07070707 0.1111111 0.1010101 0.09090909
0.07070707 0.07070707 0.07070707 0.06060606 0.06060606
0.04040404 0.05050505 0.07070707 0.1111111 0.07070707
0.04040404 0.1010101 0.08080808 0.07070707 0.1010101
0.05050505 0.09090909 0.08080808 0.08080808 0.06060606
0.06060606 0.04040404 0.06060606 0.07070707 0.06060606
0.06060606 0.1010101 0.05050505 0.06060606 0.02020202
0.07070707 0.05050505 0.07070707 0.05050505 0.07070707
0.1010101 0.09090909 0.07070707 0.09090909 0.07070707
0.1313131 0.08080808 0.06060606 0.07070707 0.08080808
0.05050505 0.06060606 0.06060606 0.05050505 0.07070707
0.1111111 0.07070707 0.08080808 0.09090909 0.05050505
0.06060606 0.06060606 0.1414141 0.01010101 0.09090909
0.03030303 0.06060606 0.03030303 0.06060606 0.06060606
0.08080808 0.08080808 0.04040404 0.1010101 0.05050505
0.1010101 0.07070707 0.1212121 0.04040404 0.02020202
0.07070707 0.1313131 0.08080808 0.06060606 0.02020202
Standard Deviations of Betas: 
0.02983287 0.02966652 0.02844088 0.03424971 0.02989308
0.03050641 0.02583302 0.02997646 0.03151854 0.02541773
0.02829234 0.03132995 0.02675146 0.02841538 0.02626439
0.02941982 0.02647224 0.03191057 0.02823738 0.03033398
0.02742821 0.02699595 0.02802628 0.0282735 0.02674584
0.02610745 0.02474948 0.02874151 0.029595 0.02910229
0.02565245 0.02992591 0.02935241 0.02805741 0.02912384
0.02653984 0.02934343 0.03032815 0.03001431 0.02596872
0.02584614 0.02685407 0.02810502 0.02576078 0.02610546
0.0271455 0.02994601 0.02585691 0.02626162 0.02373885
0.02682252 0.02668004 0.02834561 0.02587684 0.02826539
0.03114712 0.03388844 0.02897244 0.03080139 0.0297689
0.03252674 0.0295691 0.03066898 0.02787899 0.02819135
0.02660452 0.02647092 0.02729702 0.02666254 0.02924041
0.03177782 0.02820513 0.02911475 0.02905043 0.02906563
0.02852687 0.02771572 0.03409967 0.02277683 0.02812597
0.02295538 0.02335586 0.02610554 0.02865898 0.02797741
0.02758605 0.02813917 0.02705839 0.03210288 0.0284659
0.03071674 0.0267263 0.02974882 0.02638392 0.02323206
0.02763607 0.03062213 0.02894429 0.02680807 0.02397324
Average StdErrors for Betas: 
0.02613302 0.026314 0.0264755 0.02677194 0.02618945
0.02616455 0.02614968 0.02617869 0.02607036 0.02625193
0.02617038 0.02621796 0.02609516 0.02628274 0.02616579
0.02611799 0.02623956 0.0261097 0.02624429 0.02627608
0.02608605 0.02612831 0.02624838 0.02611656 0.02600688
0.02615134 0.02622745 0.02614284 0.02615275 0.02609592
0.02616908 0.02625698 0.02620071 0.02616143 0.02619013
0.02625175 0.02617781 0.02608102 0.02620491 0.0261652
0.02618777 0.02608779 0.0261051 0.0260141 0.02611631
0.02624369 0.02611033 0.02619652 0.02628755 0.02616348
0.02627362 0.02619617 0.02624788 0.02627786 0.02608806
0.02627802 0.02617432 0.02628672 0.02613252 0.02614082
0.02617548 0.02615848 0.02621609 0.02623365 0.0261211
0.026293 0.02612749 0.02617562 0.02619636 0.02601405
0.02609461 0.02619021 0.02618014 0.02613909 0.02618966
0.02618324 0.02610937 0.02626039 0.02608965 0.02613856
0.026213 0.02615033 0.02614966 0.02622779 0.02620353
0.02621514 0.02627648 0.02624026 0.02613358 0.02606985
0.02611373 0.02619726 0.02627772 0.02622377 0.02623238
0.02619336 0.02621714 0.02620785 0.02619556 0.02626194
Q-value positive rate for exposures: 
0 0.01010101 0.01010101 0.05050505 0
0 0 0 0 0
0.01010101 0 0 0 0
0 0 0 0 0.01010101
0 0 0 0 0
0 0 0 0 0
0 0 0.01010101 0 0
0 0 0.01010101 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01010101
0 0.01010101 0 0 0
0.01010101 0.01010101 0 0.01010101 0
0 0 0 0 0
0.01010101 0 0 0 0
0 0 0.01010101 0 0
0 0 0 0 0
0 0 0 0.01010101 0.01010101
0.01010101 0 0 0 0
0 0 0.01010101 0 0
Precision/Recall/F1 based on p-values:
0.1086093 0.2070707 0.1424848
Precision/Recall/F1 based on Q-values:
0.3181818 0.01767677 0.03349282
Power at FPR threshold of 0.05: 
0.08080808 0.1010101 0.1818182 0.3030303
