Average Estimates for Betas: 
-0.1064564 0.2378739 0.2394819 0.2331028 -0.1692231
-0.2038219 0.4489154 -0.07299565 -0.2389576 -0.08814009
0.4649787 -0.4606444 -0.03681947 -0.7178442 0.0287034
0.4404828 0.1638049 -0.001833924 0.4602986 -0.1749288
-0.421706 -0.2893787 0.3322415 0.1865615 -0.05245043
0.6492118 -0.6546198 0.1021329 0.2678805 -0.1809247
0.03840146 -0.3623647 -0.1304864 -0.1119082 0.3083857
-0.3247523 0.02373537 -0.412444 0.0741642 -0.2527829
0.3294526 0.4441131 -0.1030482 0.1792394 0.2729072
-0.02266336 0.04407537 0.3193207 0.03886222 -0.2332116
0.126374 -0.3326158 0.06758995 -0.2799693 -0.02216482
-0.1674373 0.3178915 -0.3311687 -0.029668 -0.2380499
-0.1902748 0.2495381 -0.2468299 0.3842482 -0.990337
0.3452082 -0.2246038 -0.02690615 0.2544803 -0.1099447
0.009913431 -0.3835649 -0.2443126 0.1460219 -0.5931503
-0.3719696 -0.03810698 -0.5708469 -0.06904576 0.07287776
0.04553365 -0.3322779 0.3451897 0.2476818 0.09625346
0.1242084 0.03042354 -0.2431713 0.04279374 -0.03630472
0.0101159 -0.09078762 0.3200847 0.592814 -0.2408859
0.06866571 0.2859229 0.04107313 0.03165961 0.61953
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
3.548095 3.276983 2.439274 2.813553 3.836905
3.517401 5.014504 2.517252 3.289691 2.38829
2.600106 3.951447 2.406989 4.306055 3.10213
3.483514 2.84648 3.876589 3.040738 3.265607
3.462292 2.834373 2.61502 3.1093 4.238503
2.885061 3.894794 2.933782 3.238047 2.690541
3.954825 2.940837 2.846958 4.532125 3.834102
2.788808 3.479019 2.97359 3.520095 3.173652
3.076397 3.318877 2.808015 2.974976 2.60528
3.135229 3.219763 3.280855 3.03608 2.582073
3.640294 3.805607 2.200213 3.917586 3.912864
3.411853 3.326026 2.523598 3.884273 3.30716
2.650916 4.149588 3.151871 5.025749 3.581178
4.249486 3.392912 2.583745 3.689054 2.953658
2.944679 3.021647 2.669745 3.084916 3.586402
3.065793 2.820936 2.828467 3.610291 3.529112
3.706632 3.727943 3.726845 2.21178 3.664442
3.739569 2.838279 4.231745 3.668167 3.124955
2.897199 4.054755 3.580173 3.494548 4.394158
3.203611 2.173854 3.728993 3.22241 4.472211
Average StdErrors for Betas: 
1587.885 1211.546 929.6353 961.9609 1310.851
845.2716 1612.192 831.7027 1038.006 659.4372
556.6116 1981 955.4797 1216.005 445.0245
1306.881 1124.113 583.59 639.8578 626.3311
1256.512 1285.641 641.1391 1466.777 1272.343
1273.286 1284.865 1128.863 678.9526 489.1016
772.7371 1310.854 1086.419 1172.488 1404.03
683.8531 757.8368 1777.154 1158.628 974.2977
641.3507 925.4731 1114.736 684.4318 556.9134
1112.212 897.7725 854.1954 967.2833 683.6078
1080.132 773.9371 891.7568 1091.66 1476.407
1529.244 1404.926 781.6559 807.7791 1121.829
975.1329 1225.995 692.7766 1143.684 1045.238
1379.678 1601.907 949.7553 896.3073 841.1193
1201.967 1607.722 1228.483 957.3899 1390.852
791.4818 1283.68 743.9429 864.9438 988.1375
782.6933 1490.957 1115.876 444.9182 1076.323
925.8963 1142.347 1235.822 955.1572 868.3708
986.7096 1191.835 872.4804 893.9214 1594.065
940.2042 699.5356 1887.558 1279.403 1067.522
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0.01010101 0.07070707 0.04040404 0.09090909
