Average Estimates for Betas: 
0.01106476 0.01997159 0.03531081 0.05932518 -0.0042792
-0.0008580587 -0.0005553823 -0.001136635 0.0004787351 -0.001409431
0.0005955038 -0.003875014 -0.003494779 0.000204453 -0.001299114
0.002746804 0.003032173 0.001557152 -0.004759713 0.007857683
-0.00366846 -0.0007959552 -0.001930792 -0.005174418 0.001439023
0.005010845 -0.0001271663 -0.003461937 0.004087211 0.0007742345
-0.000558078 -0.0005672813 0.002152921 0.0002768366 -0.001900939
-0.001044596 0.002264754 -0.002431731 0.0001754595 0.005505584
0.003199356 0.002061937 0.004758104 -0.001710467 -0.0002692187
0.001309719 -0.00490095 -0.00237244 0.004090184 0.005954609
-0.0005638007 5.80155e-05 0.005492811 0.004246884 0.003476869
-0.002264643 0.001390194 -0.0009148183 0.004864815 0.0002966396
-0.001342752 -0.0005247427 -0.001552209 0.004423917 0.002362354
0.004913112 -0.002207406 -0.005372165 -0.002459984 0.0004947393
0.00235738 0.003708697 0.001838637 0.003589812 -0.002724069
0.002916934 0.002274403 0.004198615 0.001583555 -0.00623319
4.549394e-05 -0.001749841 0.001315416 0.00276116 0.00456223
0.001636995 0.003586483 0.005437019 -0.001633163 0.001898093
0.0007580714 0.00532911 -0.001852244 0.002329777 0.002624376
-0.0001889718 -0.0008703091 -0.005005976 0.001872317 -0.0003186449
Positive rate for exposures: 
0.17 0.2 0.38 0.74 0.13
0.1 0.09 0.13 0.16 0.22
0.1 0.14 0.12 0.12 0.1
0.15 0.22 0.16 0.18 0.12
0.11 0.13 0.13 0.1 0.14
0.14 0.18 0.12 0.13 0.11
0.13 0.17 0.21 0.2 0.2
0.08 0.12 0.14 0.15 0.09
0.14 0.08 0.07 0.11 0.06
0.17 0.11 0.2 0.14 0.13
0.17 0.17 0.15 0.09 0.13
0.15 0.19 0.16 0.17 0.16
0.13 0.09 0.16 0.14 0.08
0.17 0.11 0.14 0.15 0.14
0.15 0.13 0.12 0.1 0.12
0.13 0.2 0.1 0.11 0.15
0.18 0.17 0.17 0.17 0.15
0.12 0.15 0.18 0.13 0.12
0.08 0.22 0.19 0.12 0.11
0.12 0.16 0.18 0.19 0.19
Standard Deviations of Betas: 
0.03087363 0.02866148 0.02713888 0.03453868 0.02835
0.02769859 0.02691367 0.02846441 0.03164027 0.0336937
0.02677931 0.02779891 0.02773257 0.02915773 0.02673527
0.03071804 0.03327619 0.0311313 0.0306981 0.0265203
0.02787861 0.02982897 0.02746883 0.02871353 0.02815456
0.02877717 0.03207116 0.0275904 0.03011606 0.02970333
0.02823441 0.03235519 0.03154258 0.03057211 0.02867235
0.02446428 0.02855943 0.02829735 0.02823885 0.02651249
0.03137162 0.02587669 0.02523013 0.02546664 0.02471559
0.03039844 0.0264322 0.03354146 0.02776959 0.0254752
0.03002449 0.02965255 0.03046382 0.02667028 0.02678682
0.02802146 0.03204083 0.02969177 0.02920981 0.02985025
0.03071896 0.02811108 0.03203007 0.03008902 0.02523871
0.03192332 0.02651386 0.02817539 0.03024988 0.02871824
0.02867102 0.02942356 0.02782638 0.02661135 0.02864195
0.02808572 0.03287366 0.02650692 0.02690863 0.0298917
0.03000769 0.03303774 0.03440515 0.03059834 0.03005212
0.02934634 0.0282009 0.03211646 0.02712876 0.02838547
0.02650034 0.03339177 0.03062778 0.02804222 0.02682666
0.02846532 0.03047219 0.03173107 0.03100993 0.03186961
Average StdErrors for Betas: 
0.02198945 0.02185963 0.02196543 0.02189946 0.0216382
0.02201291 0.0222252 0.02204851 0.02197926 0.0219758
0.02201893 0.02200377 0.02186134 0.02190206 0.02200584
0.02181874 0.02180316 0.02183795 0.02204452 0.02205314
0.02205136 0.02188978 0.02191078 0.02190169 0.02202245
0.02193097 0.02190066 0.02195519 0.02208338 0.02184691
0.02196646 0.02195178 0.02194442 0.02189796 0.02179525
0.0218363 0.02188991 0.02204075 0.02192335 0.02201536
0.02198117 0.02197229 0.02193187 0.02193116 0.02210138
0.02204187 0.02196304 0.0219106 0.02194105 0.02193915
0.02194737 0.02186584 0.02199392 0.02211829 0.02202327
0.02192018 0.02196944 0.02184803 0.02201805 0.02179164
0.0219083 0.02206633 0.02202589 0.02209094 0.02191561
0.02209241 0.02193531 0.02186898 0.02185508 0.02190215
0.0218467 0.02199287 0.02177867 0.02188063 0.02175437
0.02180295 0.02202857 0.02200787 0.02206378 0.02213671
0.02197336 0.0218326 0.021983 0.02194889 0.02188473
0.02196361 0.02184041 0.02203206 0.02192043 0.02174864
0.02198953 0.02193717 0.02188517 0.02172162 0.02184813
0.02198508 0.02198423 0.02181917 0.02182917 0.02199626
Q-value positive rate for exposures: 
0.05 0.05 0.13 0.4 0.01
0.01 0.02 0 0.05 0.05
0 0.03 0.04 0.02 0.02
0.06 0.02 0.03 0.03 0.03
0.01 0.03 0.02 0.02 0.02
0.01 0.04 0.01 0.04 0.02
0.03 0.05 0.01 0.02 0
0 0 0.02 0.01 0
0.04 0.02 0.01 0.01 0.01
0.02 0 0.03 0 0
0.03 0.01 0.03 0.01 0.02
0.02 0.04 0.01 0.02 0.02
0.03 0.03 0.03 0.04 0.01
0.02 0.01 0.01 0.05 0.02
0.04 0.03 0.01 0.01 0.02
0.02 0.04 0.02 0.01 0.01
0 0.04 0.07 0.06 0.04
0.05 0.01 0.03 0.02 0.02
0.03 0.04 0.03 0.02 0.02
0.03 0.01 0.04 0.02 0.03
Precision/Recall/F1 based on p-values:
0.09946595 0.3725 0.1570074
Precision/Recall/F1 based on Q-values:
0.2226148 0.1575 0.1844802
Power at FPR threshold of 0.05: 
0.06 0.1 0.23 0.53
