Average Estimates for Betas: 
0.007889859 0.02249533 0.03305625 0.04530134 -0.002718234
0.001076527 0.003947839 0.002092684 0.00306585 0.0003316098
-0.00129093 -0.001212071 -0.001567144 -0.002642128 -0.001986972
0.001007715 0.001899128 0.0002019774 0.003871383 0.002786383
-0.001224777 0.001479198 -0.004996208 -0.001121442 -0.0001545009
0.004150467 -0.0005526348 -0.004364234 0.003692705 -0.0006319227
0.002640305 0.002885091 0.003377819 0.0002617196 0.000268045
0.002796876 0.001837149 -0.0004770501 -0.001921813 0.006375304
-0.0002233956 -0.0005975209 0.0003069797 0.003158881 -0.001263708
-0.001878867 0.0001511954 -0.004616297 0.00281998 0.002234517
0.004034814 -0.0004978167 0.004028112 0.00219318 0.005353454
0.004590583 0.00387457 0.002121224 0.001498412 0.0002396072
-0.0004099042 -2.419343e-06 -0.0006309303 0.004851861 0.002864195
0.0004938436 -0.001807133 -0.002369258 -0.002510846 -0.001348714
0.003156686 -0.001682617 0.00156334 0.004333591 -0.003669338
0.003989046 0.001707297 0.001707254 -0.001901337 -0.008038827
-2.297726e-05 -0.002614583 -0.001882917 0.001460127 0.0009098204
0.005066794 0.002795323 0.002842832 -0.002004395 0.001727357
0.001511869 0.001953946 -0.006140041 0.002862316 0.001683677
-0.00245627 8.705924e-05 -0.0008478176 0.002150575 -0.001176383
Positive rate for exposures: 
0.07 0.21 0.22 0.45 0.15
0.09 0.07 0.05 0.05 0.09
0.05 0.1 0.08 0.07 0.06
0.06 0.08 0.09 0.07 0.1
0.07 0.09 0.07 0.09 0.08
0.06 0.1 0.08 0.11 0.09
0.08 0.13 0.09 0.07 0.11
0.03 0.11 0.08 0.1 0.06
0.05 0.11 0.07 0.08 0.04
0.09 0.08 0.14 0.04 0.12
0.1 0.07 0.06 0.03 0.04
0.05 0.12 0.1 0.07 0.06
0.11 0.09 0.12 0.11 0.08
0.13 0.06 0.08 0.11 0.04
0.1 0.04 0.01 0.11 0.14
0.12 0.14 0.06 0.05 0.1
0.12 0.11 0.09 0.06 0.07
0.11 0.1 0.1 0.1 0.12
0.06 0.09 0.06 0.04 0.06
0.08 0.12 0.11 0.07 0.13
Standard Deviations of Betas: 
0.0292636 0.03108682 0.02959564 0.03450701 0.03320744
0.03195421 0.02756773 0.02557945 0.03018766 0.03046604
0.02722662 0.03017162 0.02892782 0.03039777 0.02815497
0.02874933 0.03096054 0.0292255 0.02868013 0.0297025
0.02705242 0.03006613 0.02802246 0.02837407 0.02820603
0.02809019 0.03089299 0.02877267 0.03253739 0.02871079
0.02985166 0.03262923 0.03191479 0.02983462 0.02982887
0.02419535 0.02839259 0.02922616 0.02914839 0.02693737
0.02748099 0.02975984 0.02855882 0.02926904 0.02532592
0.028948 0.02652097 0.0330375 0.02589538 0.03041142
0.02948484 0.02890793 0.02989263 0.02828063 0.02819696
0.02935777 0.03315866 0.03149346 0.02975722 0.0279228
0.03272093 0.02732312 0.03399561 0.03333796 0.02902349
0.03357156 0.02723849 0.02789473 0.03138584 0.02672487
0.02787709 0.02757978 0.02541508 0.02961572 0.0337945
0.0296594 0.03224754 0.0249706 0.03052857 0.03168413
0.03183202 0.03249139 0.02948984 0.02880502 0.02790302
0.0309112 0.03061194 0.03078333 0.03061997 0.03113392
0.02695465 0.03127029 0.02883744 0.02666537 0.02691227
0.03003826 0.03160806 0.0315304 0.02992431 0.03239732
Average StdErrors for Betas: 
0.02590111 0.02589927 0.026196 0.02650928 0.02561675
0.02592778 0.02607175 0.02586165 0.02585051 0.02592243
0.02587436 0.02587843 0.02575751 0.02581332 0.02588904
0.02580513 0.02581352 0.02575134 0.02583921 0.02587681
0.02601527 0.02583161 0.0258057 0.02576253 0.02594773
0.02582226 0.02581025 0.02587141 0.02593473 0.02579738
0.02584968 0.02585337 0.02590405 0.02582954 0.02566829
0.02578627 0.02576498 0.02592293 0.02585484 0.02586542
0.02586645 0.02592469 0.02592243 0.02590303 0.0259362
0.02592914 0.02589083 0.0258134 0.02588151 0.02583965
0.02587272 0.02584479 0.02590252 0.0259985 0.02590001
0.02583096 0.02582128 0.02579363 0.02583086 0.02572371
0.02585945 0.0259931 0.02591953 0.0259673 0.02574714
0.02591124 0.02580062 0.02575299 0.02579371 0.02586279
0.02572311 0.02586209 0.02567822 0.02579458 0.02571309
0.02572361 0.0258342 0.0259055 0.02588414 0.02600743
0.0258644 0.02577276 0.02578845 0.0259173 0.02583591
0.02582828 0.02576308 0.0259222 0.02577554 0.02571432
0.02583946 0.02586235 0.0258489 0.02569593 0.02581271
0.02590627 0.02588029 0.02574383 0.02574007 0.02589156
Q-value positive rate for exposures: 
0.01 0 0.03 0.11 0.01
0 0 0 0 0
0 0 0.01 0.01 0
0.01 0 0 0 0
0 0 0 0 0
0 0.02 0.01 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.01 0 0
0 0 0 0 0
0.01 0 0.01 0 0
0.01 0.02 0.01 0.01 0.01
0.01 0.01 0.02 0.02 0
0.02 0 0.01 0.03 0
0 0 0 0 0
0.01 0.01 0 0.01 0
0.01 0.01 0 0.01 0
0.01 0 0 0.01 0.01
0 0.01 0.01 0 0
0.02 0 0 0 0.01
Precision/Recall/F1 based on p-values:
0.1052049 0.2375 0.1458173
Precision/Recall/F1 based on Q-values:
0.2631579 0.0375 0.06564551
Power at FPR threshold of 0.05: 
0.04 0.16 0.16 0.34
