Average Estimates for Betas: 
0.004287525 0.02045919 0.032305 0.03799845 -0.001428696
2.181746e-05 0.001590332 0.002274049 0.001135448 -0.001856739
-0.00177871 0.0004895445 -0.001076832 -0.00220853 -0.003457859
7.23998e-05 0.001147919 -0.000294519 0.004797673 0.002061172
0.001905757 -0.001340347 -0.002039391 0.003116357 -0.0002379863
0.003483548 0.001113398 -0.003735774 0.00622189 0.00307478
0.003287604 0.002619758 0.003417154 0.0008522949 0.002010454
0.002185629 0.0009068381 -0.0006956719 -0.002231274 0.004416324
0.0005893803 0.002230185 0.002684966 0.004735789 0.0002797429
6.178624e-05 -0.0006814541 -0.005131592 0.002573835 0.000187885
0.004588159 0.001216475 0.00212616 0.004427577 0.003291552
0.003809533 0.001516694 0.002139235 0.002199764 -0.0008341152
0.0005779692 0.0002498059 -0.002857078 0.004577625 0.0006714558
-0.0003943703 -0.001945009 -0.002967215 -0.004473499 -0.0007540429
0.003845913 -0.0008213306 0.001052295 0.003782698 -0.002141744
0.002745684 -0.001921622 0.002673249 -0.00111398 -0.006977314
0.0009384201 0.0008295053 -0.004926616 0.002524786 3.648117e-05
0.00192344 0.004887652 0.002948028 -0.001570718 0.004351088
0.001452538 0.003358277 -0.005483911 0.001444441 0.001456488
-0.0003010998 -0.001101272 0.001298415 0.004106568 0.001251551
Positive rate for exposures: 
0.03 0.18 0.2 0.33 0.09
0.07 0.08 0.03 0.05 0.03
0.03 0.08 0.02 0.04 0.03
0.06 0.1 0.09 0.05 0.12
0.07 0.06 0.06 0.09 0.04
0.04 0.08 0.06 0.1 0.06
0.1 0.08 0.08 0.06 0.09
0.07 0.06 0.06 0.04 0.02
0.04 0.1 0.03 0.06 0.05
0.08 0.06 0.06 0.02 0.1
0.07 0.09 0.05 0.03 0.09
0.09 0.05 0.08 0.08 0.03
0.1 0.06 0.12 0.1 0.08
0.09 0.09 0.08 0.08 0.04
0.06 0.04 0 0.04 0.08
0.09 0.11 0.05 0.07 0.09
0.08 0.08 0.09 0.05 0.07
0.07 0.07 0.07 0.06 0.1
0.05 0.07 0.05 0.04 0.04
0.05 0.07 0.09 0.08 0.09
Standard Deviations of Betas: 
0.02551779 0.03086002 0.02687525 0.03166915 0.02955964
0.02988324 0.0280917 0.02386334 0.02805611 0.02593187
0.0246038 0.02757541 0.02241614 0.02771079 0.02725963
0.02772056 0.02963391 0.02716654 0.02589728 0.03116781
0.02670786 0.0264544 0.02660506 0.02771543 0.02578913
0.02568962 0.02846804 0.02874076 0.02927993 0.02638568
0.02923274 0.02893851 0.02949845 0.02796815 0.02629357
0.02761276 0.02660553 0.02733612 0.02802425 0.02523361
0.02604686 0.02876097 0.02724293 0.0283783 0.0247978
0.03033604 0.0261926 0.02898266 0.02415818 0.02957053
0.02919646 0.02853583 0.02782257 0.02721867 0.02890589
0.02950531 0.02961609 0.02824867 0.03122888 0.0242282
0.02957842 0.02550472 0.03047548 0.03077323 0.02806045
0.0305259 0.02725474 0.02665794 0.02776061 0.02505156
0.02678584 0.02491881 0.02386942 0.02693019 0.03099328
0.02683797 0.02886093 0.02392646 0.02864965 0.02911633
0.02908402 0.02897536 0.02852449 0.02730999 0.02459195
0.02710355 0.02890226 0.02822498 0.02750025 0.03073054
0.02547954 0.02872058 0.02706648 0.02498684 0.02521836
0.02784302 0.02837626 0.03052606 0.02842643 0.02911916
Average StdErrors for Betas: 
0.02606348 0.02609298 0.02639552 0.02670503 0.02586487
0.02611634 0.02620599 0.02605995 0.02605338 0.02609967
0.02606005 0.02608002 0.02599679 0.02609186 0.02615678
0.02596909 0.02603057 0.02598428 0.02611376 0.02601673
0.02616666 0.02607526 0.02599416 0.02603149 0.02614553
0.02608103 0.02602917 0.02606511 0.02610013 0.02593651
0.0260036 0.02603263 0.02609271 0.02598645 0.02594105
0.02608307 0.02603537 0.02606785 0.02604914 0.02606005
0.02612231 0.02609301 0.02608759 0.02604897 0.02612626
0.02609575 0.0260976 0.02605073 0.02603048 0.02602232
0.02604009 0.02597224 0.02606356 0.02619143 0.02611417
0.02604731 0.02602594 0.02598862 0.02610801 0.02597979
0.02608553 0.02617676 0.02612241 0.02615225 0.02596005
0.02618391 0.02605625 0.02596798 0.0260303 0.02597665
0.02591235 0.02611898 0.02598931 0.0260397 0.02591353
0.02596908 0.02609535 0.02607902 0.02613378 0.02619848
0.02605881 0.02604007 0.02607867 0.02608034 0.02607301
0.02610814 0.02605134 0.02609917 0.02605111 0.02589219
0.02607705 0.02599733 0.02602751 0.02591953 0.02595678
0.02604645 0.02604256 0.02599543 0.02593863 0.0260645
Q-value positive rate for exposures: 
0 0.01 0.01 0.04 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0.01 0
0 0.01 0 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.01 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.1037868 0.185 0.1329739
Precision/Recall/F1 based on Q-values:
0.5 0.015 0.02912621
Power at FPR threshold of 0.05: 
0.02 0.15 0.17 0.33
