Average Estimates for Betas: 
-0.3489726 -0.04380341 -0.2961067 0.1276852 0.04976376
0.5217377 0.4667238 -0.2465403 -0.007536497 0.3448991
0.3609438 0.1059141 0.7725977 0.2200895 0.07514481
-0.3309355 0.265064 -0.623362 -0.2927845 0.208119
0.5248171 -0.6065646 -0.1405219 0.01782122 0.3499362
-0.124782 -0.1216317 0.3044575 0.1406968 0.3078556
0.5230433 -0.06887523 -0.2413804 -0.02543798 -0.3016102
-0.1676628 0.3104949 -0.002595211 -0.351987 0.06232476
-0.09665546 0.1231988 -0.5562216 0.5665549 -0.04693776
-0.1555853 -0.02212471 0.05321387 0.4566302 0.08968318
0.328755 0.05696292 -0.00372249 0.0354599 0.5210193
-0.1270505 -0.02587821 0.2127498 0.4639598 -0.5961377
-0.2718104 0.2235699 -0.1367119 -0.02491739 -0.2724804
-0.198134 -0.1412108 0.2085441 -0.1507295 -0.2688028
-0.1488761 0.09950935 0.132111 -0.1768131 0.003208874
-0.3064029 -0.248861 -0.108254 0.4803579 0.2644874
0.1327785 -0.09629393 0.2042843 -0.132683 -0.03034618
0.07559144 0.8734738 0.1979175 0.1228203 0.4473583
0.05291267 0.01819735 0.01528798 0.2480701 0.3328531
0.07816748 0.2019331 0.6072419 0.3924555 0.3296928
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
1.226456 2.785923 2.959744 2.763369 3.047433
3.552932 2.561668 2.407899 1.186175 3.132011
3.167177 1.982882 3.751013 3.347299 3.306139
2.667041 3.594941 4.230684 3.22638 3.235003
3.95789 3.553793 2.174103 2.544791 3.554384
2.643955 2.829416 2.373224 2.437087 2.184102
3.329807 3.128175 2.178709 2.157485 2.649079
1.789957 2.322273 2.875303 2.436988 1.888927
2.604753 2.66831 2.545957 2.676476 3.270801
3.117118 3.276742 3.222827 3.106854 3.428475
2.563992 3.159311 2.830573 2.280937 2.524864
2.019191 2.721595 3.303782 2.860837 2.845196
2.558877 3.157968 2.604394 1.381138 1.897161
2.487478 2.585301 3.755402 2.683998 3.099338
2.783651 2.699383 2.146943 3.076117 2.857582
2.386544 3.847298 1.857826 3.041345 2.269228
2.658998 2.130332 3.316717 2.36831 1.778081
1.593912 3.380858 1.68056 2.222646 2.647872
2.568133 3.423826 2.151914 2.19489 2.895991
2.198123 3.794745 3.81257 2.998794 2.787106
Average StdErrors for Betas: 
185.9552 182.7568 207.5766 365.0057 313.6542
402.96 390.0658 272.4193 143.0303 502.1038
254.2948 257.8847 318.3785 402.3515 289.3368
445.058 367.2231 587.9909 440.2973 477.4757
454.1962 478.2616 170.8699 351.1813 307.5647
367.5288 227.7008 345.4804 320.4248 325.8696
550.1871 262.4906 315.6552 336.6474 364.6279
245.7636 310.3066 285.5289 288.2446 158.2152
296.8447 330.5445 311.0514 308.3241 335.8717
348.6878 420.7732 550.7509 434.9785 463.2212
292.9963 373.2936 322.3782 294.4521 325.9483
221.945 329.9109 508.235 455.8483 293.1747
247.1176 390.5421 411.7946 180.4566 240.8059
312.0132 367.5977 427.7693 409.9223 322.1204
436.5525 352.2819 345.1029 350.4506 392.1983
297.7237 409.2586 241.0466 249.3766 237.6395
291.7798 354.9185 338.1613 343.2504 315.4199
246.5832 218.1436 232.9585 245.3973 269.4128
290.6599 259.6725 298.6552 286.3284 353.1073
275.9276 398.4891 530.8813 484.3061 264.9032
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0.03 0.06 0.08 0.12
