Average Estimates for Betas: 
0.008314032 0.02111969 0.03578646 0.05693396 0.001852056
-0.002223547 -0.001032146 0.005617096 0.001520625 0.0008790971
0.001768916 0.0008488426 0.002083188 0.00098777 -6.428492e-05
0.0007925809 -0.0009485339 0.0008760954 -0.001324805 -0.002104331
0.001737727 0.002240996 0.0007298157 0.002134784 0.001177969
-0.0004443569 0.006448731 0.000160361 -0.000532996 0.001297623
-0.003478118 0.003999392 0.001754622 -0.003835508 -0.004104654
-0.0009751608 -0.0041651 0.003968448 -0.001956196 -0.007837252
-0.002345648 -0.001105543 0.002857649 0.006152004 -0.0008432831
0.002429495 -0.002109333 0.001462632 -0.001152034 -0.0009606865
0.0007382859 0.003519653 0.001273807 -0.001866521 0.001960965
-0.003526209 0.0001143498 -0.001945998 -0.006755957 -0.004343371
0.006949556 0.0006274443 0.004340589 -0.000441704 -0.002303423
-0.001954937 -0.004483125 0.001652912 0.001777353 0.003379415
0.00252451 -0.000223384 0.0007951633 -0.0004812765 -0.0002675466
-0.005464208 5.478656e-05 -0.001605531 -0.003695816 -0.0005036178
-0.002726425 0.0001333043 -0.001026097 0.0005296622 0.0002117501
-0.00419761 0.003503534 0.003139525 0.002989586 -7.144952e-05
-0.0005748463 0.002092166 -0.003119505 0.005033235 0.001882681
-0.000587382 -0.001908012 -0.001009952 -0.003522004 -0.004322505
Positive rate for exposures: 
0.12 0.21 0.37 0.59 0.1
0.05 0.16 0.14 0.08 0.06
0.12 0.08 0.17 0.08 0.16
0.07 0.06 0.11 0.12 0.1
0.09 0.11 0.11 0.06 0.15
0.07 0.13 0.07 0.09 0.1
0.11 0.1 0.07 0.14 0.11
0.12 0.12 0.12 0.09 0.15
0.1 0.12 0.13 0.08 0.1
0.05 0.05 0.15 0.15 0.13
0.14 0.14 0.06 0.14 0.1
0.13 0.11 0.08 0.09 0.13
0.11 0.13 0.16 0.1 0.1
0.11 0.16 0.1 0.11 0.15
0.09 0.13 0.12 0.08 0.09
0.13 0.08 0.09 0.08 0.1
0.16 0.04 0.19 0.09 0.12
0.09 0.09 0.08 0.12 0.11
0.07 0.1 0.09 0.12 0.11
0.12 0.07 0.12 0.15 0.11
Standard Deviations of Betas: 
0.02720593 0.02765685 0.02865332 0.03217932 0.02700662
0.02530525 0.02863604 0.0293826 0.02531812 0.02521139
0.02850038 0.02627494 0.02834469 0.02445063 0.02889832
0.02622875 0.02366592 0.02543684 0.0276043 0.0266712
0.02567234 0.02497607 0.0274889 0.02412385 0.03064724
0.02592125 0.02547888 0.02380559 0.02731048 0.02652651
0.02513015 0.02688036 0.02185801 0.02805482 0.02717951
0.02776181 0.02560462 0.0275512 0.02560805 0.02754627
0.02586172 0.0280493 0.02764042 0.02231549 0.02647885
0.02286832 0.02512405 0.02912945 0.02775207 0.02647735
0.02816389 0.03012818 0.02487876 0.02709362 0.02735283
0.02870083 0.02684712 0.02564619 0.0249197 0.02681864
0.02791928 0.03042194 0.03177447 0.02867407 0.02620416
0.02726561 0.03020238 0.02704427 0.02891879 0.02939166
0.023567 0.0283287 0.02867998 0.02442209 0.02520877
0.02763641 0.02580017 0.0273619 0.02509782 0.02701175
0.03273813 0.02305616 0.03090856 0.02565162 0.02590558
0.026907 0.02543317 0.0254849 0.02735512 0.02842304
0.0247587 0.02737471 0.02815485 0.02766014 0.02666553
0.02528741 0.0271096 0.02683048 0.02896153 0.02699983
Average StdErrors for Betas: 
0.02199482 0.02183815 0.0219565 0.02186675 0.02202409
0.02182263 0.0218106 0.02199347 0.02209889 0.02212839
0.02185427 0.0219187 0.02199188 0.02192649 0.02187167
0.02202256 0.02200585 0.0220724 0.02205785 0.02209789
0.02196535 0.02203779 0.02172325 0.02195613 0.02202289
0.02181752 0.02199818 0.02192965 0.02208335 0.02198753
0.02192257 0.02193443 0.02171602 0.02197017 0.02177231
0.02175701 0.0219053 0.02180628 0.02187011 0.02181598
0.02190053 0.0218485 0.02190244 0.02197253 0.02212518
0.02203302 0.02188248 0.02186179 0.02191693 0.02193439
0.02184027 0.02201248 0.0217453 0.02179061 0.02185745
0.02192533 0.02195597 0.02202923 0.02193779 0.02194883
0.02192882 0.0218876 0.02195903 0.02192603 0.02186482
0.02193839 0.02196378 0.02199173 0.02184383 0.0219853
0.02188064 0.02202661 0.02186041 0.02188767 0.02195843
0.02181308 0.02198903 0.02183692 0.02204717 0.02193119
0.02185764 0.02191578 0.02199749 0.02187422 0.02190592
0.02187206 0.02181328 0.02186839 0.02201644 0.02199669
0.02204604 0.02193791 0.02195435 0.02190621 0.02195647
0.02204677 0.0220291 0.02201773 0.02178534 0.02204782
Q-value positive rate for exposures: 
0.03 0.02 0.13 0.35 0.01
0.01 0.03 0.02 0 0
0 0 0.02 0 0
0.01 0 0 0 0
0 0.01 0.02 0.01 0.03
0 0.01 0 0 0
0.02 0.01 0 0.01 0.01
0.01 0 0.02 0 0
0.02 0 0.01 0 0
0 0 0.01 0 0
0.01 0.02 0 0.01 0
0.03 0.02 0.03 0.01 0
0.01 0.01 0.05 0.02 0.02
0.02 0.02 0 0.01 0.02
0 0.02 0.04 0 0
0.01 0.01 0.01 0 0.01
0.05 0 0.02 0.01 0
0.01 0 0 0.01 0.03
0 0 0.01 0.01 0
0 0.02 0 0.01 0
Precision/Recall/F1 based on p-values:
0.1111111 0.3225 0.1652787
Precision/Recall/F1 based on Q-values:
0.3732394 0.1325 0.195572
Power at FPR threshold of 0.05: 
0.08 0.12 0.28 0.52
