Average Estimates for Betas: 
0.008334979 0.02091444 0.03572503 0.05695244 0.001787369
-0.002183692 -0.001043297 0.005608476 0.001760224 0.0008614559
0.00173043 0.0008305784 0.002086638 0.0009887787 5.054732e-05
0.0007521385 -0.0008599159 0.0008558898 -0.001380435 -0.002089978
0.00179015 0.002109352 0.0006945558 0.002138339 0.001322285
-0.0006199846 0.006454046 1.659785e-05 -0.0005695852 0.001265927
-0.003548884 0.003995586 0.00172601 -0.003950658 -0.004121661
-0.0009923789 -0.004129392 0.003975502 -0.001943306 -0.007831152
-0.002345217 -0.001052617 0.002757695 0.006027897 -0.0009113702
0.002481213 -0.002123177 0.001394388 -0.001122403 -0.0009903235
0.0006691916 0.003556844 0.001500126 -0.001889182 0.001935527
-0.003528926 -9.024246e-05 -0.001798955 -0.006759801 -0.004638093
0.006922634 0.0005745016 0.004404096 -0.0004627856 -0.002283724
-0.001965374 -0.004570802 0.001634224 0.001932178 0.003394667
0.002585948 -0.000253462 0.0007189907 -0.0004597086 -0.0002727991
-0.005402801 -1.915403e-05 -0.001677304 -0.003698999 -0.0004267168
-0.002699557 0.0001815695 -0.001309417 0.0005263301 0.0002742411
-0.004175759 0.003778749 0.003129684 0.00291595 -8.519601e-05
-0.0005137125 0.00202402 -0.003068081 0.004879776 0.001909007
-0.0005890318 -0.002051543 -0.0009565222 -0.003419707 -0.004363223
Positive rate for exposures: 
0.12 0.2 0.37 0.59 0.1
0.05 0.16 0.14 0.08 0.06
0.12 0.08 0.16 0.08 0.15
0.07 0.06 0.11 0.12 0.1
0.09 0.11 0.11 0.06 0.15
0.07 0.12 0.07 0.09 0.1
0.11 0.1 0.06 0.14 0.11
0.12 0.12 0.12 0.09 0.15
0.1 0.12 0.13 0.07 0.1
0.05 0.05 0.15 0.15 0.13
0.14 0.14 0.06 0.14 0.1
0.13 0.11 0.08 0.09 0.13
0.11 0.13 0.16 0.1 0.1
0.11 0.16 0.1 0.11 0.15
0.09 0.13 0.13 0.08 0.09
0.13 0.08 0.09 0.08 0.1
0.16 0.04 0.19 0.09 0.12
0.09 0.09 0.08 0.12 0.11
0.07 0.1 0.1 0.12 0.11
0.12 0.07 0.12 0.14 0.11
Standard Deviations of Betas: 
0.02724195 0.02763524 0.02869956 0.03230696 0.02707768
0.02531254 0.02859785 0.02929019 0.02542809 0.025186
0.02851263 0.02633195 0.02841741 0.02447042 0.02871295
0.02624051 0.02370394 0.02549109 0.02757934 0.02665034
0.02578653 0.02508031 0.02751459 0.02413157 0.03069395
0.02606265 0.02551864 0.02386354 0.02731072 0.02657171
0.02519621 0.02691809 0.02176446 0.02809593 0.02717141
0.02770995 0.0256667 0.02751349 0.02556682 0.02754908
0.02591925 0.02801906 0.02763373 0.02209396 0.02653532
0.02282463 0.02515169 0.02913744 0.0278324 0.02650187
0.02818801 0.03010981 0.02487178 0.02707485 0.02732591
0.02875927 0.02705389 0.02578513 0.02491675 0.0266986
0.02801807 0.0304144 0.03172772 0.02863126 0.02623732
0.02724174 0.03022386 0.02706877 0.02881683 0.02941181
0.02357158 0.02827046 0.02861346 0.02440185 0.0252161
0.02760706 0.02581877 0.02745774 0.02517206 0.02699978
0.03270209 0.02309685 0.03101902 0.02568073 0.0258554
0.02687922 0.02560027 0.0254664 0.02755073 0.0283515
0.02480499 0.02731014 0.0282121 0.02767927 0.02670016
0.02523847 0.02705193 0.02682619 0.02891313 0.02694312
Average StdErrors for Betas: 
0.02199537 0.02185413 0.02195702 0.02186861 0.0220253
0.02182278 0.02181284 0.02200706 0.02212965 0.02213094
0.02185576 0.02193082 0.02200604 0.02192703 0.02188351
0.02202329 0.02200767 0.02207419 0.02205923 0.02209996
0.02196967 0.02204774 0.02174492 0.02195713 0.02203992
0.02183567 0.02200059 0.02194563 0.02209847 0.02198901
0.02192377 0.02193826 0.02171809 0.0219986 0.02177367
0.02175893 0.02191792 0.02181948 0.02187577 0.02181772
0.02190184 0.02184897 0.02190361 0.02200302 0.02212608
0.02203394 0.02188402 0.02186486 0.0219319 0.0219363
0.02185641 0.02201442 0.0217837 0.02179317 0.02185951
0.02192581 0.02197633 0.02206207 0.02193986 0.02198676
0.02194151 0.02190149 0.02196059 0.02192712 0.02186589
0.02194108 0.02196509 0.02199227 0.02185657 0.02198624
0.02188151 0.02202681 0.0218633 0.02189067 0.02196052
0.02181374 0.0220089 0.02184225 0.02204922 0.02194716
0.02185832 0.02191725 0.02204167 0.02187471 0.02190853
0.02188967 0.02182851 0.02188297 0.02203578 0.0219985
0.02204773 0.02194076 0.0219742 0.02191804 0.0219733
0.02205019 0.02204417 0.02201883 0.0218005 0.02204989
Q-value positive rate for exposures: 
0.03 0.02 0.13 0.35 0.02
0.01 0.03 0.02 0 0.01
0 0 0.02 0 0
0.01 0 0 0 0
0 0.01 0.02 0.01 0.03
0 0.01 0 0 0
0.02 0.01 0 0.01 0.01
0.01 0 0.02 0 0
0.02 0 0.01 0 0
0 0 0.01 0 0
0.01 0.02 0 0.01 0
0.03 0.02 0.03 0.01 0
0.01 0.01 0.05 0.02 0.02
0.02 0.02 0 0.01 0.02
0 0.02 0.04 0 0
0.01 0.01 0.01 0 0.01
0.05 0 0.02 0.01 0
0.01 0 0 0.01 0.03
0 0 0.01 0.01 0
0 0.02 0 0.01 0
Precision/Recall/F1 based on p-values:
0.1107266 0.32 0.1645244
Precision/Recall/F1 based on Q-values:
0.3680556 0.1325 0.1948529
Power at FPR threshold of 0.05: 
0.08 0.12 0.28 0.52
