Average Estimates for Betas: 
0.009042251 0.01590682 0.02821587 0.04462665 0.006746068
-0.0008467145 -5.57826e-05 0.002344855 0.002589091 0.001051267
0.001576519 -0.002251346 -0.001748915 0.0005082728 0.002871745
-0.001703072 -0.002027318 5.033972e-05 -0.0007390152 -0.002050309
0.003171439 0.003033133 -0.0008724703 0.004569728 -0.0002194693
-0.001977344 0.003325475 -0.004538232 -0.001396242 -0.0004835186
-0.001310152 0.001789054 0.001917818 -0.006238428 -0.0007198386
-0.0002357245 -0.00307099 0.002335841 -0.00144698 -0.009083414
-0.003765189 -0.0003947163 0.001780101 0.001683955 -0.0005039219
0.001700537 -0.003306245 0.001248424 -0.002564687 0.00083328
0.004026291 0.003074563 -0.0008091489 0.0007909989 -0.0008150687
0.001087789 -0.0009593038 -0.0003951128 -0.003580979 -0.005193357
0.004756909 0.0007538587 0.00205001 -0.001116051 -0.004569984
0.0007275212 -0.001411409 -0.0007613745 0.0002912535 -9.264803e-05
0.002171254 -0.001616459 -0.0002517283 0.0006242437 -0.001223032
-0.00447775 4.935234e-06 -0.001514792 -0.00268204 0.0004504472
-0.001420458 -0.001629696 0.0009781794 0.003326683 0.0005791182
0.0007037926 0.005543343 0.002540602 0.0001392937 -0.000675595
-0.001355776 0.001825408 -0.0009779894 0.00265326 0.001506069
-0.003402141 0.0003501192 -0.001832146 -0.0004291756 0.002454911
Positive rate for exposures: 
0.12 0.13 0.24 0.39 0.03
0.07 0.1 0.06 0.06 0.03
0.06 0.04 0.03 0.05 0.13
0.08 0.04 0.03 0.07 0.05
0.06 0.08 0.07 0.08 0.06
0.05 0.05 0.05 0.08 0.05
0.04 0.06 0.02 0.08 0.07
0.02 0.03 0.03 0.04 0.11
0.04 0.14 0.07 0.07 0.05
0.04 0.06 0.04 0.04 0.12
0.07 0.07 0.14 0.05 0.06
0.08 0.1 0.06 0.07 0.08
0.06 0.04 0.11 0.1 0.05
0.05 0.05 0.04 0.05 0.1
0.05 0.08 0.05 0.09 0.07
0.06 0.08 0.03 0.11 0.05
0.13 0.05 0.05 0.1 0.05
0.04 0.03 0.07 0.04 0.04
0.1 0.03 0.07 0.07 0.05
0.07 0.05 0.05 0.11 0.06
Standard Deviations of Betas: 
0.0292744 0.02845153 0.03215098 0.03247837 0.02711308
0.02861826 0.031002 0.0287026 0.02638364 0.02468834
0.02706111 0.02594694 0.02486838 0.0251032 0.03140312
0.02831072 0.02500057 0.02556296 0.02706167 0.02667897
0.02603848 0.0280289 0.02854381 0.02677424 0.02952153
0.02604376 0.02430445 0.02609619 0.02954411 0.02745798
0.02785867 0.02601808 0.02437108 0.02859081 0.0256804
0.02500761 0.02364553 0.02540997 0.02632389 0.02976542
0.02412242 0.03233259 0.02795884 0.02557852 0.02670331
0.02437667 0.02683181 0.02634716 0.02441895 0.03107937
0.02744987 0.02704474 0.02975943 0.02601835 0.02731916
0.02913591 0.02980677 0.02947697 0.02531713 0.02786622
0.02751103 0.02652037 0.03201753 0.03047373 0.0270372
0.02560759 0.02555444 0.02743962 0.02676968 0.0285682
0.02499416 0.02895856 0.02882999 0.0285219 0.02883178
0.02607418 0.02797844 0.02409246 0.0307998 0.02383034
0.03232803 0.02696906 0.02735782 0.0291139 0.02677854
0.02604494 0.02399815 0.02530632 0.0277332 0.02464721
0.03025983 0.02537804 0.03034215 0.02785569 0.02685609
0.02819129 0.02614208 0.02794656 0.03006637 0.02752008
Average StdErrors for Betas: 
0.0259597 0.02598639 0.0262563 0.02659004 0.02591302
0.02580242 0.02581006 0.02593753 0.02600397 0.02609655
0.02584261 0.02584356 0.02591752 0.0258893 0.02585612
0.02593594 0.02590205 0.0259939 0.02594091 0.02594877
0.02582528 0.02600049 0.02568811 0.02583321 0.02592686
0.02579277 0.02593963 0.02590718 0.0259822 0.0258898
0.02590379 0.02585501 0.02572018 0.02594082 0.02582246
0.02570143 0.02586922 0.02576611 0.02577855 0.0257882
0.02584401 0.02575813 0.02587432 0.02595955 0.02598941
0.02588989 0.02583116 0.02580298 0.02588969 0.02596958
0.02580296 0.02592697 0.02575965 0.02570315 0.02581987
0.02585811 0.0259146 0.02596777 0.02583524 0.02588634
0.02584232 0.02587747 0.02588452 0.02583612 0.02584572
0.0258847 0.0258758 0.02591258 0.02582253 0.02597726
0.02581806 0.02596651 0.02583855 0.02588919 0.02590814
0.02573709 0.02593739 0.02574935 0.02593399 0.02590799
0.02575207 0.02589864 0.02591661 0.0258795 0.02590687
0.02591212 0.02575051 0.0258625 0.0259821 0.02592272
0.02599848 0.0259083 0.02588896 0.02586381 0.02587445
0.02594238 0.02592375 0.02596969 0.02581545 0.02593286
Q-value positive rate for exposures: 
0.01 0 0.03 0.1 0
0.01 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.01 0 0.01
0 0 0.01 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0
0.01 0 0 0 0
0 0 0.01 0 0
0 0 0.01 0 0
0 0.02 0.01 0.01 0.01
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0.01 0 0
0 0 0.01 0.01 0
Precision/Recall/F1 based on p-values:
0.1262554 0.22 0.1604376
Precision/Recall/F1 based on Q-values:
0.4516129 0.035 0.0649652
Power at FPR threshold of 0.05: 
0.1 0.09 0.23 0.34
