Average Estimates for Betas: 
0.009010332 0.01612303 0.02804749 0.04473103 0.006271401
-0.0009749879 -0.0001774192 0.002486165 0.002624396 0.001292543
0.001921759 -0.002440789 -0.00180536 0.0001681967 0.002990315
-0.001746192 -0.002250192 0.0001567379 -0.0006456291 -0.002350362
0.003532393 0.003156494 -0.0008598377 0.004662475 -0.0003574951
-0.001833593 0.003285652 -0.004567105 -0.001552798 -0.0002151095
-0.001237559 0.002159499 0.001689762 -0.006192465 -0.0007395382
-0.0003941458 -0.003320641 0.001839281 -0.001553024 -0.009293379
-0.003458524 -0.0006122477 0.001799677 0.001682164 -0.0003410908
0.001569669 -0.002876791 0.001505531 -0.002775145 0.0008579339
0.003799793 0.003048257 -0.0005102725 0.001006089 -0.0008907198
0.001146971 -0.001128811 -0.0004881375 -0.003486266 -0.005466919
0.004749855 0.0008531499 0.002062443 -0.001023789 -0.004442439
0.0008170844 -0.001513976 -0.001120239 0.0001450186 1.957271e-05
0.002200588 -0.001746467 -0.0004169556 0.0004128409 -0.00129419
-0.004643571 0.000101585 -0.0017422 -0.002695868 2.57153e-05
-0.001420391 -0.001836131 0.0007560559 0.003256321 0.0004007671
0.0006407207 0.005765599 0.002452339 2.340222e-05 -0.0009537919
-0.001527196 0.001663449 -0.001025859 0.002641361 0.001335432
-0.003313299 0.0004334882 -0.001963381 -3.769398e-05 0.002524601
Positive rate for exposures: 
0.12 0.13 0.24 0.39 0.03
0.07 0.1 0.07 0.06 0.03
0.06 0.04 0.03 0.04 0.13
0.08 0.04 0.03 0.06 0.05
0.06 0.08 0.07 0.09 0.06
0.05 0.05 0.05 0.08 0.06
0.05 0.06 0.02 0.08 0.08
0.02 0.04 0.04 0.04 0.13
0.04 0.15 0.07 0.07 0.05
0.04 0.06 0.04 0.04 0.12
0.07 0.07 0.14 0.05 0.05
0.07 0.09 0.06 0.06 0.08
0.06 0.04 0.11 0.09 0.05
0.05 0.03 0.05 0.05 0.1
0.05 0.08 0.05 0.09 0.07
0.06 0.08 0.02 0.11 0.05
0.13 0.05 0.04 0.11 0.05
0.04 0.03 0.07 0.04 0.04
0.1 0.03 0.07 0.07 0.05
0.06 0.05 0.05 0.1 0.06
Standard Deviations of Betas: 
0.02939618 0.02845445 0.03214131 0.03281795 0.02720805
0.02846714 0.03086935 0.02888829 0.02677663 0.02463185
0.02690329 0.02588469 0.02455499 0.02515985 0.03157466
0.02815853 0.02500618 0.02516528 0.02676259 0.02649724
0.02568922 0.02807396 0.02828773 0.02683141 0.02973122
0.02624055 0.02408806 0.02642106 0.02954256 0.0272169
0.02786141 0.0260435 0.02472622 0.02862577 0.02573363
0.0252242 0.02374987 0.02552667 0.02644824 0.03019881
0.02439411 0.03244353 0.02791227 0.02553834 0.02646922
0.02428827 0.02671995 0.02626141 0.0246428 0.03109251
0.02767068 0.02706259 0.02980798 0.0261848 0.02715683
0.02908926 0.02993743 0.02953342 0.02549601 0.02834353
0.02738091 0.02622663 0.03205745 0.03039066 0.02697108
0.02579112 0.02537545 0.02761677 0.02688942 0.02848632
0.025104 0.02894668 0.02896619 0.02866714 0.02866674
0.02583922 0.02804416 0.02400518 0.0308722 0.02379473
0.03228997 0.02710388 0.02717749 0.02943164 0.02663723
0.02647377 0.02399826 0.02561183 0.02772247 0.02453932
0.03023089 0.02535002 0.03062528 0.02784097 0.02688916
0.02800708 0.0260165 0.02794018 0.03034868 0.02771551
Average StdErrors for Betas: 
0.02594397 0.02598147 0.02624025 0.02658757 0.02590726
0.02581558 0.02582448 0.0259545 0.02604872 0.02609196
0.02584301 0.02584774 0.0259338 0.02588704 0.02586622
0.02594719 0.02589948 0.0260061 0.02593757 0.02596408
0.02583149 0.02600709 0.02571576 0.02582234 0.02593489
0.02581397 0.02594073 0.02590332 0.02600428 0.0258919
0.0258875 0.02584726 0.02570683 0.02596009 0.02582023
0.02572596 0.02586577 0.02578189 0.02580681 0.02577413
0.02583585 0.02577638 0.02586699 0.02598265 0.02601132
0.02589301 0.02582254 0.0257964 0.02591389 0.02597094
0.02582652 0.02593361 0.02579129 0.02572655 0.02582045
0.02587874 0.02592744 0.02598994 0.02585608 0.02591683
0.02585507 0.02588425 0.02587152 0.02585198 0.0258448
0.02588925 0.02587209 0.02590588 0.02583502 0.02596553
0.02581714 0.02597566 0.02584928 0.02587667 0.0259152
0.02573377 0.0259388 0.0257638 0.02594221 0.02592124
0.02575566 0.02589998 0.02596409 0.02589348 0.02588632
0.02594574 0.02575416 0.02586308 0.0259829 0.02593425
0.02599629 0.02592319 0.0258803 0.02586844 0.02589755
0.02594992 0.02594421 0.02598961 0.02582589 0.02592169
Q-value positive rate for exposures: 
0.01 0 0.03 0.1 0
0.01 0 0 0 0
0 0 0 0 0.01
0 0 0 0 0
0 0 0.01 0 0.01
0 0 0.01 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0
0.01 0 0 0 0
0 0 0.01 0 0
0 0 0.01 0 0
0 0.01 0.01 0.01 0.01
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0.01 0 0
0 0 0.01 0.01 0
Precision/Recall/F1 based on p-values:
0.1264368 0.22 0.1605839
Precision/Recall/F1 based on Q-values:
0.4516129 0.035 0.0649652
Power at FPR threshold of 0.05: 
0.09 0.11 0.23 0.34
