Average Estimates for Betas: 
-0.02815167 0.2780212 -0.2440691 1.553871 -0.8517996
-0.2542413 -0.1537477 -0.4744364 -0.4937726 0.2417425
0.4030561 -1.189158 0.5510915 0.2447616 -0.6944287
0.2616761 0.6104022 -0.4865024 -0.9350192 -0.02929481
-0.6703845 0.5295216 -0.2701084 -0.3999631 -0.08520877
-0.417091 1.002381 0.1514085 0.1023935 0.4465335
0.1436203 0.2391066 0.5060723 0.4262771 0.2988454
0.8184998 0.2297775 -0.4481381 0.2314337 -0.7573422
0.4904481 0.1932831 -0.2166208 0.5057597 -0.06138465
-0.338276 -0.2848705 -0.1005323 0.1961679 -0.8095386
-0.02020583 0.2051708 -0.4233009 -0.5935573 -0.3448779
-0.9525091 0.3441448 0.2120433 0.2891628 0.6406598
-0.2899002 0.4295829 -0.2021222 0.7105688 -0.1701514
0.3106587 -0.5996148 -0.2788973 -0.1641486 -0.7631644
-0.09522832 -0.8118067 -0.5969861 0.9111161 0.3168855
0.1082413 -0.3120546 -0.2851388 -0.6018188 -0.02649915
-0.273474 0.3566314 0.5472521 0.2003368 -0.2803346
0.6575109 0.2647807 1.080332 0.5545246 -0.1905446
0.4007298 0.5207398 -0.1217877 0.5935326 -0.2134208
-0.1164679 0.3877864 -0.3845913 0.3582586 -0.364287
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
5.61621 4.426795 4.470557 4.551069 5.842888
4.15899 4.694654 5.160227 3.448265 3.612322
5.271104 5.6007 4.466725 3.522978 3.993349
3.632533 4.362408 5.809734 4.421738 3.860035
4.659581 3.696475 4.020645 4.763093 3.766506
3.73693 4.700669 4.591837 5.356095 6.013759
5.50516 4.486614 3.698451 4.004452 3.16485
4.507945 4.19112 5.105354 3.417713 4.692941
4.213545 4.312978 3.217865 5.105864 4.609752
5.598262 3.648996 4.87022 4.589803 4.875034
4.638956 3.137043 5.147745 4.015672 4.276824
4.263973 4.660358 3.82497 4.072003 5.256199
4.293986 5.453525 4.625168 4.837827 4.573501
4.912375 5.373657 4.729409 5.153631 5.31712
3.469019 5.013991 4.926717 3.936965 4.500528
4.831918 5.833704 4.363537 5.235653 4.172889
4.306417 3.216528 4.114997 4.824701 3.859675
4.644921 4.225674 4.545903 4.562311 4.225534
3.26056 4.563688 3.578697 4.147784 4.928838
5.77632 4.65634 4.396423 4.931142 4.646324
Average StdErrors for Betas: 
402.819 292.2875 297.4294 421.6365 472.0379
321.0076 321.5523 795.0487 212.9535 262.7993
296.7085 393.7195 412.3141 196.8366 659.3201
521.3601 398.5308 307.6562 345.3924 333.9977
723.7689 465.8782 339.8982 692.454 497.8308
303.5754 766.818 395.3082 678.733 549.4059
648.4208 416.5853 443.4273 282.8256 490.9295
286.7304 310.6404 792.912 379.3242 411.5452
238.2311 289.8474 275.6884 305.7189 343.6932
434.5962 211.3453 594.4652 358.0163 386.8105
260.7817 520.49 575.984 257.3859 403.7087
306.7871 493.2206 299.9042 442.7892 496.271
343.6372 362.2107 416.7311 358.3424 418.0967
826.3011 680.9674 554.3964 945.9413 271.5626
424.0228 900.0356 482.153 497.9242 374.1936
615.0973 703.0443 451.4096 544.7044 386.5823
400.599 303.2738 372.9998 365.1961 657.2039
457.1594 647.5842 437.4801 498.8136 354.1202
335.7087 340.6606 329.5125 718.9134 419.6817
514.738 482.2508 455.1191 308.5402 808.9544
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0.05 0.04 0.06 0.06
