Average Estimates for Betas: 
0.006475695 0.02228072 0.04528133 0.0532705 -0.003185923
0.003613444 -0.001189534 0.0009606632 0.004233208 -0.003969153
0.0001782871 -0.00326775 -0.0005249834 -0.003521989 -0.0001473899
0.0001669208 -0.001913965 -0.0008161927 -0.002680011 2.376939e-05
0.001315492 0.001557625 -0.0002443952 0.0009605904 0.001917721
0.003641156 0.001803146 0.004947498 0.0006682963 -0.004723211
-0.00348681 -0.002649262 -0.001498355 0.006617945 -0.003301001
0.00400361 0.001786169 0.002088908 -0.002043267 -0.0001617557
0.0003629851 -0.0002348115 0.003349958 -0.001702952 0.005831636
0.001673422 0.0002282407 -0.001731497 -0.0009432187 -0.0006175966
-0.002575566 0.004503961 -0.001034677 -0.0005195093 -0.0002335809
-0.002318585 -0.0026933 0.0003457077 0.005253194 0.001812171
-0.00239054 -0.001456429 -0.004818178 -0.00203755 -0.003801359
-0.001284496 0.004999994 0.004635852 -0.002632136 0.001912539
0.0001140257 -0.001025159 0.001611964 -0.004600508 0.0006372026
0.002121341 0.003227243 0.003076804 -0.0004052838 -0.001960229
0.002535052 -0.002869021 0.001621008 -0.0002384533 0.0004120678
-0.001872908 -0.001961777 0.001631786 -0.0003927993 -0.001113068
0.001588143 -0.001081015 -0.001784395 0.002454606 -0.006017234
0.001342669 0.0004195819 -0.003681677 -0.002098675 0.003826462
Positive rate for exposures: 
0.14 0.21 0.44 0.56 0.12
0.16 0.12 0.11 0.15 0.15
0.11 0.08 0.18 0.17 0.09
0.15 0.14 0.1 0.13 0.13
0.09 0.11 0.09 0.12 0.16
0.14 0.17 0.16 0.14 0.1
0.12 0.12 0.1 0.13 0.11
0.19 0.11 0.13 0.14 0.1
0.13 0.17 0.11 0.12 0.14
0.14 0.16 0.2 0.14 0.12
0.14 0.13 0.09 0.04 0.11
0.13 0.13 0.11 0.1 0.09
0.15 0.16 0.12 0.11 0.07
0.1 0.13 0.13 0.17 0.18
0.1 0.1 0.11 0.1 0.14
0.09 0.1 0.09 0.12 0.09
0.15 0.15 0.12 0.13 0.1
0.15 0.13 0.17 0.07 0.26
0.23 0.11 0.12 0.15 0.08
0.14 0.12 0.1 0.1 0.1
Standard Deviations of Betas: 
0.03561301 0.03298998 0.03080685 0.03327763 0.03297275
0.03463768 0.0324172 0.03110436 0.03397216 0.03442158
0.03174495 0.0304474 0.0376562 0.03477834 0.03232945
0.03534745 0.03185491 0.03238926 0.03389668 0.03242135
0.03221913 0.02969535 0.03116105 0.03167228 0.03271155
0.0330736 0.0378833 0.03226938 0.03430694 0.03527564
0.03210795 0.0345117 0.0314668 0.03223369 0.03253735
0.03616398 0.03151139 0.03334101 0.03448671 0.03418756
0.03276914 0.03673633 0.03268451 0.03417805 0.03320089
0.03585277 0.03497179 0.0338471 0.03493454 0.03339742
0.03436744 0.03184514 0.03033359 0.02767179 0.03270291
0.03228383 0.03298464 0.0309885 0.03048664 0.02997744
0.03279793 0.03344493 0.03321256 0.03339 0.02883703
0.03063667 0.03196718 0.03095514 0.0345615 0.03458178
0.03376998 0.02803993 0.03150598 0.03172394 0.0329008
0.03099703 0.0305283 0.03121134 0.03497414 0.02668365
0.03386009 0.03429587 0.03320294 0.03117761 0.0304699
0.03360385 0.03347793 0.03451372 0.0307472 0.04033541
0.03994915 0.03196368 0.0321458 0.03292538 0.03297853
0.03524075 0.03106239 0.03263407 0.02960243 0.03215532
Average StdErrors for Betas: 
0.02549754 0.02552262 0.0253613 0.02554791 0.0253388
0.0255493 0.02559613 0.02547259 0.02551243 0.02543255
0.0255268 0.02536237 0.02540738 0.02529604 0.02543625
0.02544282 0.02544279 0.02560408 0.02546908 0.02554608
0.02540817 0.02531819 0.02529274 0.02555054 0.02533933
0.02564048 0.02551337 0.02550097 0.02548029 0.0255304
0.02550848 0.0254734 0.02548095 0.02558564 0.0253858
0.02551632 0.02552626 0.02544075 0.02531809 0.02559834
0.02533492 0.02547412 0.02538749 0.02545687 0.02563401
0.02545527 0.02545909 0.02540701 0.02544358 0.02530449
0.02550582 0.02537784 0.02558112 0.0255423 0.02548561
0.02540253 0.02526699 0.02543657 0.02541589 0.0252892
0.0255318 0.02540783 0.02547485 0.02530124 0.02548516
0.02542336 0.0255668 0.02563229 0.02546036 0.02535541
0.0254783 0.02542242 0.02559833 0.02535984 0.02531071
0.02546918 0.02558554 0.0252518 0.02545472 0.0254102
0.02546807 0.02535127 0.02537809 0.0254191 0.02547369
0.02545179 0.0255336 0.02530825 0.02554422 0.02557932
0.02549402 0.02538247 0.02540048 0.02526978 0.0254354
0.02552006 0.02540283 0.02555882 0.02557397 0.02542054
Q-value positive rate for exposures: 
0.04 0.04 0.14 0.23 0.02
0.01 0.02 0 0.01 0.01
0.01 0.02 0.03 0.01 0.02
0.02 0.02 0 0.03 0.01
0.03 0 0.01 0 0.02
0 0.03 0.01 0.01 0.04
0.01 0.02 0.02 0.02 0.02
0.01 0.01 0.01 0.02 0.03
0.03 0.01 0.01 0.02 0.02
0.03 0.02 0 0.04 0.01
0.01 0 0.01 0 0
0.01 0.01 0 0.01 0.01
0 0 0 0.05 0
0.01 0.01 0 0.01 0.02
0.03 0.01 0.01 0.01 0.01
0.01 0.01 0.01 0.01 0
0.03 0.02 0.02 0 0.01
0.01 0.02 0.02 0.02 0.03
0.03 0.01 0.01 0.02 0.01
0.01 0.02 0.02 0.01 0.02
Precision/Recall/F1 based on p-values:
0.09992598 0.3375 0.1541976
Precision/Recall/F1 based on Q-values:
0.2486188 0.1125 0.1549053
Power at FPR threshold of 0.05: 
0.07 0.11 0.26 0.42
