Average Estimates for Betas: 
0.006476851 0.02207784 0.04530084 0.0530427 -0.003089145
0.003466184 -0.001148407 0.000957004 0.004212592 -0.004100265
0.000158592 -0.003252425 -0.0005132432 -0.003562353 -0.0001783833
0.0001523785 -0.001964271 -0.0009471862 -0.002757292 4.337135e-05
0.001444021 0.001525136 -0.0002800697 0.000956632 0.002224381
0.003509059 0.001856087 0.005002587 0.0006894008 -0.004639042
-0.003433006 -0.002679592 -0.001498396 0.006678187 -0.003340198
0.003965089 0.001830672 0.002102358 -0.002067781 -0.0002200851
0.0004800082 -0.0001946813 0.003367235 -0.001661916 0.005748284
0.00177227 0.0002068159 -0.001887341 -0.0009316223 -0.0007065171
-0.00260818 0.004510452 -0.001038678 -0.0006780616 -0.0002533517
-0.002273767 -0.002783308 0.000308046 0.005263766 0.001804695
-0.002407126 -0.001624106 -0.004775013 -0.001975325 -0.003874507
-0.001422602 0.004993006 0.004677463 -0.002617946 0.001992151
0.0001497249 -0.001027672 0.001669893 -0.004541826 0.0006549618
0.002151968 0.003139128 0.003046351 -0.0004086025 -0.001838985
0.002609986 -0.002944655 0.001609618 -0.0001753941 0.0004733543
-0.002102335 -0.001943432 0.001592006 -0.0003463639 -0.001138138
0.001657767 -0.001050878 -0.001731115 0.002432011 -0.006009576
0.001511513 0.0002840443 -0.003652225 -0.002108884 0.003825433
Positive rate for exposures: 
0.14 0.21 0.44 0.56 0.12
0.15 0.12 0.11 0.15 0.15
0.11 0.09 0.18 0.17 0.09
0.16 0.14 0.1 0.13 0.13
0.09 0.11 0.09 0.12 0.16
0.14 0.17 0.16 0.14 0.1
0.12 0.12 0.1 0.13 0.11
0.19 0.11 0.13 0.14 0.1
0.13 0.17 0.11 0.12 0.14
0.15 0.16 0.21 0.14 0.12
0.14 0.13 0.09 0.04 0.11
0.13 0.13 0.11 0.1 0.09
0.15 0.15 0.12 0.11 0.07
0.1 0.13 0.13 0.16 0.18
0.1 0.1 0.11 0.1 0.14
0.1 0.1 0.09 0.12 0.09
0.15 0.15 0.12 0.13 0.1
0.14 0.13 0.17 0.07 0.26
0.23 0.11 0.12 0.15 0.08
0.14 0.12 0.1 0.1 0.11
Standard Deviations of Betas: 
0.03564411 0.03305968 0.03082328 0.03284312 0.03293453
0.03470408 0.03242472 0.03112291 0.03393549 0.0344052
