Average Estimates for Betas: 
0.002047269 0.01947466 0.0355306 0.04107134 0.0007774112
0.004432329 -0.0007427659 0.003237932 0.001543334 0.001341586
-0.0004691142 -0.004642246 -0.002756281 0.0001299197 -0.001009076
-0.003204765 -0.001963565 0.002212059 -0.006021452 0.00232761
-0.001442041 0.0004241973 8.328785e-05 0.003459165 0.004376238
-0.002466672 0.000139398 -3.388351e-05 -0.001055887 -0.001093671
-0.00265754 0.0001615646 -0.0004155868 -0.0008018357 0.0008369902
-0.001013862 -0.0002743871 -0.0016823 -0.003325769 0.003372177
0.001200567 0.002669265 -0.001559341 0.0007113349 0.00454221
0.003800055 -0.0003999193 -0.004960371 0.002648251 -0.001083481
-0.001115412 -0.002955985 0.0004408749 -0.003247737 0.001204735
-0.001747942 0.0003272633 0.003481205 0.003921429 -0.0008085979
-0.001770713 -0.006890681 -0.003744061 -0.001644962 -0.003655807
0.0004044574 0.000192323 0.003415718 -0.005658004 -0.0004760744
-0.0002194356 -8.672288e-05 -0.003899977 -0.004502906 0.001347589
-0.0001107507 0.003040799 0.0007203433 0.004375254 0.0004253244
0.002168186 -0.004971896 0.001765916 -0.003196508 -0.0001139099
0.001247275 -0.001613 0.002888604 0.004051933 0.002492786
0.002955104 0.0008244701 -0.001962731 0.002484431 -0.002554291
0.003159688 -0.0006971928 -0.0001254983 -0.002567204 0.0007518519
Positive rate for exposures: 
0.05 0.08 0.33 0.37 0.04
0.07 0.09 0.05 0.05 0.07
0.04 0.06 0.06 0.08 0.06
0.06 0.07 0.1 0.11 0.04
0.03 0.07 0.11 0.06 0.06
0.09 0.05 0.06 0.04 0.1
0.03 0.07 0.04 0.06 0.08
0.06 0.05 0.07 0.1 0.1
0.05 0.08 0.07 0.07 0.1
0.07 0.07 0.06 0.08 0.06
0.02 0.02 0.07 0.07 0.07
0.08 0.08 0.05 0.08 0.05
0.08 0.13 0.07 0.09 0.01
0.09 0.03 0.03 0.11 0.07
0.08 0.03 0.03 0.06 0.04
0.05 0.1 0.07 0.06 0.09
0.05 0.04 0.1 0.09 0.07
0.13 0.03 0.07 0.1 0.16
0.09 0.07 0.05 0.06 0.07
0.03 0.07 0.08 0.11 0.04
Standard Deviations of Betas: 
0.02767883 0.02638313 0.03115161 0.02970293 0.02941525
0.03006392 0.02997981 0.02814781 0.02561255 0.0270706
0.02582868 0.02812748 0.03013969 0.02981241 0.02637471
0.02505423 0.02887479 0.03006386 0.0283215 0.02572851
0.02521318 0.03004267 0.03220545 0.02725043 0.02828019
0.02940332 0.02601804 0.02715659 0.02587027 0.02987551
0.02459353 0.02872897 0.02643382 0.02746586 0.02767824
0.02808827 0.02540286 0.02905449 0.03133167 0.03078101
0.0281383 0.03096739 0.02914503 0.02909078 0.03078722
0.02957286 0.02819314 0.026169 0.03022194 0.02856263
0.02362524 0.02558314 0.02793943 0.0257689 0.02762222
0.02895163 0.02877713 0.02745838 0.02972062 0.02617066
0.02753256 0.0316137 0.02943937 0.02870836 0.02257499
0.03066847 0.02423822 0.02635258 0.02914257 0.03074895
0.02838449 0.02379299 0.02866982 0.02624498 0.0271473
0.02571798 0.02950456 0.02867373 0.02779048 0.02879321
0.03070776 0.02727841 0.02955366 0.0277801 0.02628575
0.03394341 0.02789243 0.02796805 0.0313177 0.0342663
0.03160866 0.02861026 0.02692343 0.02910567 0.02653323
0.02513598 0.02770475 0.02836345 0.03085107 0.02616585
Average StdErrors for Betas: 
0.02621606 0.0263529 0.02656097 0.02691968 0.02609632
0.02623213 0.02625822 0.02615792 0.02614279 0.02617499
0.02619495 0.02614645 0.0262199 0.02607629 0.02619844
0.02620145 0.02614895 0.02624823 0.02618949 0.0262
0.0261425 0.02606516 0.02605578 0.02622658 0.02612452
0.02630218 0.02622944 0.02617074 0.02620185 0.02624632
0.02620946 0.02620899 0.02619436 0.02624067 0.02601886
0.02627323 0.02622019 0.0261079 0.02609044 0.02633853
0.02606451 0.02619429 0.02612445 0.02620762 0.02634329
0.02617804 0.02608654 0.02613024 0.02620425 0.02610958
0.02624966 0.026172 0.02623895 0.02625536 0.02623658
0.02612853 0.02604438 0.02622557 0.02615439 0.02609851
0.02625377 0.02612648 0.02618149 0.0260718 0.02621953
0.02617795 0.02622077 0.02631572 0.02614119 0.02611814
0.0262179 0.02608063 0.02624469 0.02610609 0.02604365
0.02618464 0.02629523 0.02600974 0.02621096 0.02605329
0.02623431 0.02608338 0.02611488 0.02614876 0.02620842
0.02617484 0.02620791 0.02613403 0.02625924 0.02633074
0.02624146 0.026141 0.02612107 0.02601429 0.02621496
0.02627034 0.02611969 0.02621665 0.02626377 0.02616527
Q-value positive rate for exposures: 
0 0.01 0.02 0.03 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0 0 0
0 0 0 0.01 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0 0 0.01
0 0 0 0 0
0.01 0 0 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.113079 0.2075 0.1463845
Precision/Recall/F1 based on Q-values:
0.4285714 0.015 0.02898551
Power at FPR threshold of 0.05: 
0.05 0.08 0.27 0.34
