Average Estimates for Betas: 
0.002046604 0.0190789 0.03562648 0.04068756 0.001021727
0.00463978 -0.0009142273 0.00332997 0.0014547 0.001299893
-0.0004730376 -0.004592535 -0.002686847 0.0002122538 -0.0009162194
-0.003201647 -0.001663305 0.002014232 -0.00597435 0.002226685
-0.001220734 0.0005493016 -9.774895e-05 0.003630549 0.004282435
-0.00267383 0.000201625 -0.0001278342 -0.0009490385 -0.001349156
-0.002789335 0.0003401943 -0.0004347182 -0.0009094832 0.0009939275
-0.001044914 -0.0003441647 -0.001772519 -0.003550695 0.003514273
0.001165951 0.002640526 -0.001365138 0.0006894967 0.004464378
0.003659614 -0.0004771238 -0.004758759 0.002749536 -0.001089467
-0.001105923 -0.003196403 0.0003213233 -0.003067737 0.001137335
-0.001672265 0.0003766484 0.003188504 0.003912382 -0.0007213316
-0.001742639 -0.006751519 -0.003889338 -0.001273858 -0.003819588
0.0002697329 4.433797e-05 0.003315623 -0.005737227 -0.0002727098
-0.0002066899 -0.0002598045 -0.003852517 -0.004477007 0.001258874
0.0002513205 0.003392061 0.0005903431 0.004326135 0.0002259433
0.002219377 -0.004997895 0.001727466 -0.003048293 9.882656e-06
0.001029408 -0.001566337 0.003182683 0.004194428 0.002705004
0.002945568 0.0007094307 -0.002034202 0.002668651 -0.002474642
0.003414725 -0.0005846011 1.407191e-05 -0.00242183 0.0007011702
Positive rate for exposures: 
0.05 0.08 0.34 0.37 0.04
0.07 0.11 0.05 0.05 0.07
0.03 0.06 0.06 0.08 0.06
0.06 0.07 0.1 0.11 0.04
0.03 0.07 0.11 0.06 0.05
0.08 0.05 0.06 0.04 0.1
0.03 0.07 0.04 0.06 0.07
0.06 0.05 0.07 0.1 0.1
0.05 0.08 0.07 0.07 0.1
0.07 0.07 0.06 0.08 0.06
0.02 0.02 0.07 0.07 0.07
0.07 0.08 0.05 0.08 0.05
0.07 0.12 0.06 0.09 0.01
0.09 0.03 0.04 0.11 0.07
0.08 0.03 0.03 0.06 0.04
0.06 0.08 0.08 0.06 0.09
0.05 0.04 0.1 0.09 0.07
0.14 0.03 0.07 0.1 0.16
0.1 0.08 0.05 0.07 0.07
0.04 0.08 0.08 0.1 0.04
Standard Deviations of Betas: 
0.02793248 0.02643869 0.03112281 0.02937153 0.02974701
0.03006299 0.03014515 0.0278552 0.02584786 0.02713798
0.02555352 0.02793822 0.03023995 0.02942992 0.02653857
0.02500825 0.02880392 0.0302048 0.02830894 0.02591484
0.02528554 0.03016208 0.03183915 0.02725305 0.02796102
0.02925505 0.02593046 0.02699817 0.02576849 0.02981434
0.02478332 0.02863426 0.0266525 0.02760204 0.0277876
0.02820118 0.02524717 0.02908944 0.03133634 0.03074781
0.02813547 0.03086897 0.02880818 0.02914517 0.03093935
0.029661 0.0283218 0.02647388 0.03037495 0.02864089
0.02349449 0.02538729 0.02807497 0.02578481 0.0274613
0.02883482 0.02883838 0.02746963 0.02949054 0.0261029
0.02747077 0.03151189 0.0292049 0.02890759 0.02258473
0.03095475 0.024649 0.02659312 0.02905104 0.0306947
0.02839363 0.02381656 0.02895722 0.02597922 0.02717291
0.02593962 0.02929362 0.0286439 0.02753494 0.02881809
0.03085705 0.02728903 0.02946353 0.02789533 0.02648692
0.03419739 0.02784837 0.02804972 0.03115713 0.03422975
0.03163559 0.02845165 0.02719206 0.02928142 0.02642387
0.02519502 0.02789079 0.02834126 0.03057137 0.02650451
Average StdErrors for Betas: 
0.02622062 0.02635942 0.02656559 0.02692049 0.02613579
0.02623929 0.02625997 0.026128 0.02614489 0.02619021
0.02618411 0.0261503 0.0262104 0.02608533 0.0262113
0.02620131 0.02614598 0.02624937 0.02619511 0.02619924
0.0261589 0.02607076 0.02605794 0.02623251 0.02611244
0.02631248 0.02624499 0.0261588 0.02622342 0.02624615
0.02621672 0.02621555 0.02619905 0.02624693 0.02603473
0.02625126 0.02621286 0.02610839 0.02609553 0.02633874
0.02607529 0.02618726 0.02614622 0.02622056 0.02638656
0.02618715 0.02608473 0.02614192 0.0262249 0.02611077
0.0262616 0.02617589 0.02624726 0.0262891 0.0262368
0.02614326 0.02604745 0.02622173 0.02615736 0.02611478
0.02624125 0.02616722 0.02618796 0.02608963 0.02624715
0.02618634 0.02622403 0.02632064 0.02614785 0.02610623
0.02621585 0.02607574 0.02626547 0.02613175 0.02605902
0.02622567 0.02629518 0.02600365 0.02622387 0.02607469
0.02621818 0.02609623 0.02612165 0.02615101 0.02620333
0.02618563 0.0262177 0.02613635 0.02626527 0.02633142
0.02623796 0.02615011 0.02612071 0.02601464 0.02621263
0.02627754 0.02615472 0.02622757 0.02625835 0.02617449
Q-value positive rate for exposures: 
0.01 0.01 0.02 0.03 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0 0 0
0 0 0 0.01 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0 0 0 0 0.01
0 0 0 0 0
0.01 0 0 0 0
0 0 0 0.01 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.1142857 0.21 0.1480176
Precision/Recall/F1 based on Q-values:
0.4666667 0.0175 0.03373494
Power at FPR threshold of 0.05: 
0.05 0.08 0.28 0.33
