Average Estimates for Betas: 
-0.1659485 -0.5750411 0.2418448 1.079415 -0.128161
-0.1449076 -0.5354814 0.3844517 1.540291 0.4494741
-0.9407301 -1.38804 0.1599978 -1.120702 0.1402433
-0.7458023 -0.3054622 -1.684608 0.5285054 0.04037984
0.292625 -0.5493604 -0.5502171 0.9285439 -0.4474932
0.5656104 0.5117262 -1.277908 -0.2217965 -0.2362877
0.01021041 -0.5952439 -0.7281006 0.2164077 1.076898
0.2718316 0.3542622 0.07796075 0.9200962 -1.356249
0.0568521 -0.1933138 3.391532 0.5532122 0.04020301
-0.7213266 -0.5499946 -0.04584436 -0.7425251 1.498827
0.8869776 0.8120853 -0.972078 0.2411205 0.02071426
0.989567 -0.9770635 1.171824 0.1183481 -0.7251955
1.842307 -2.499783 0.009666276 -0.3181862 0.2428899
0.6188749 0.05815836 1.03751 -0.5488557 0.02758509
0.6187635 0.2940774 -0.03409875 1.192853 0.7278959
0.4405185 1.317784 0.1525128 0.03566698 1.064515
-0.07790067 1.057247 -0.443408 -0.34903 -0.4078486
1.623441 -0.006862857 1.533874 -0.4108987 -0.6308587
1.388494 0.09134408 1.831516 1.683006 -0.1400331
1.406173 -1.151913 -0.6492344 0.06220666 0.3709719
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
1.010515 1.525289 1.680063 2.738253 1.397793
1.972595 1.620506 3.359897 5.214941 1.359162
2.212802 3.765449 1.794028 3.622862 0.9984387
3.736331 1.228659 3.814126 1.531531 1.258013
4.325532 1.3513 3.049773 2.95824 1.144183
1.43838 2.67306 3.58022 1.987834 1.708508
2.367337 1.17562 3.712785 0.8450097 3.202378
0.954204 3.585304 0.5780634 1.735038 3.199769
1.47069 1.578642 8.089508 3.685619 1.073942
1.284152 2.884002 0.9426737 2.821836 3.077821
3.352183 2.249947 2.149569 1.711289 2.345005
2.634138 3.848947 2.945301 0.6054244 1.709271
7.975169 7.2934 1.811407 1.295541 1.52805
2.206676 2.155774 2.520904 1.502552 3.079279
1.736205 1.708499 0.8526258 3.42333 1.569419
1.334011 5.282987 2.342798 2.472611 2.649742
1.486578 4.470249 1.618318 1.104276 1.282669
5.923127 3.650012 5.782604 1.324748 1.32371
4.566471 1.726994 6.208906 4.986669 1.190555
6.119522 4.701492 2.817065 6.927896 2.528407
Average StdErrors for Betas: 
253.0883 342.1283 366.4083 461.5941 76.9287
412.0434 75.4596 742.3709 456.6393 365.4356
621.4051 278.9556 421.1665 174.1051 180.2797
350.314 320.3137 470.0246 228.3541 304.0114
750.3768 289.1876 819.7752 197.4813 252.4765
167.7376 446.9577 442.506 384.0388 375.4197
226.5669 102.2797 185.3872 153.0248 886.5233
228.809 782.322 52.53618 360.2217 881.6973
247.4071 250.1437 1793.706 463.9814 89.39036
232.0522 492.9401 136.7553 746.852 648.2326
469.8603 434.6706 339.4244 160.9946 386.0371
175.2815 214.7207 561.092 99.18515 278.5657
451.1779 736.2101 365.2639 101.2377 135.6735
534.6745 466.4976 308.0826 304.9198 626.0266
404.5804 117.4742 161.0976 495.6169 203.6505
358.2238 224.9931 497.6928 426.0701 570.0285
330.5407 182.2389 98.02157 299.4869 75.80825
266.7061 827.5106 266.6845 366.2834 397.1352
516.8887 273.6813 421.2408 1167.143 225.5824
336.5127 1249.93 177.2036 1490.894 618.1562
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0 0.07692308 0.1538462 0.2307692
