Average Estimates for Betas: 
0.03287854 0.06710432 0.1526649 0.2242932 -0.001364934
0.01316513 -0.011571 0.008608783 0.004960364 0.004878827
-0.01026055 0.0007450876 0.006958712 0.002836652 -0.002019899
0.001649268 -0.003758261 0.001348236 -0.0002694341 -0.003713493
-0.01263942 -0.006337658 -0.001314006 -0.006999158 -0.004516443
0.002095604 0.01662577 0.005157874 0.0006519839 -0.01515405
-0.00513441 0.004837649 -0.008297064 -0.005754469 -0.003961009
-0.0004247245 -0.005173283 0.003377734 -0.002563461 0.002529679
0.008587198 0.00478593 0.003550035 0.01207361 0.006348133
0.005052221 -0.007897986 0.006240375 0.005744389 -0.01490287
0.002419927 -0.01132251 0.000798434 -0.01314042 0.001557826
0.008461365 0.009272805 0.00144057 0.002923482 -0.01140073
0.01715001 -0.001303051 0.002646816 -0.0002941416 -0.004164954
0.005758891 0.01865055 0.002010194 0.006421183 -0.005971745
0.01150436 -0.009782641 -0.001081598 0.009485625 -0.01482469
0.001929863 0.004623442 -0.006725601 0.01135799 -0.01396993
-0.008440068 -0.0109141 0.00335948 -0.01308931 -0.002967735
-0.008632667 -0.00117493 -0.007366246 0.009501872 -0.005689271
0.006953194 -0.00780961 -0.001105583 -0.0274268 -0.006236014
0.009474627 -0.0108453 0.00649899 -0.00559591 0.002826455
Positive rate for exposures: 
0.05882353 0.2156863 0.7254902 0.9411765 0.01960784
0.03921569 0.05882353 0.1176471 0.05882353 0
0.03921569 0.03921569 0.1176471 0.03921569 0.01960784
0.03921569 0.01960784 0.05882353 0.03921569 0.03921569
0.1176471 0.01960784 0.05882353 0.01960784 0.01960784
0.05882353 0.07843137 0.01960784 0.1176471 0.01960784
0.01960784 0.03921569 0.01960784 0.03921569 0.01960784
0.01960784 0.03921569 0.05882353 0.05882353 0.05882353
0.03921569 0.05882353 0.05882353 0.05882353 0.09803922
0.05882353 0.03921569 0 0 0.1176471
0.01960784 0.05882353 0 0.01960784 0.03921569
0.03921569 0.05882353 0.09803922 0.09803922 0.09803922
0.09803922 0.01960784 0.01960784 0.07843137 0.03921569
0.05882353 0.01960784 0.03921569 0.01960784 0.07843137
0.05882353 0.05882353 0.01960784 0.01960784 0.01960784
0.07843137 0.07843137 0.09803922 0.07843137 0.03921569
0.05882353 0.05882353 0.09803922 0.03921569 0.01960784
0.03921569 0.01960784 0.01960784 0.05882353 0.03921569
0.05882353 0.01960784 0.03921569 0.09803922 0.03921569
0.05882353 0.07843137 0.01960784 0.03921569 0.05882353
Standard Deviations of Betas: 
0.05376992 0.04859472 0.0557372 0.06561475 0.04627875
0.061039 0.06096224 0.07476576 0.06424929 0.05277304
0.05436831 0.05942483 0.06746844 0.06451458 0.05706279
0.05858603 0.05131199 0.06152913 0.06008898 0.05770372
0.07317468 0.05783995 0.0613641 0.04875507 0.04835394
0.05887148 0.06264735 0.05640709 0.06491768 0.0537086
0.05792376 0.05653809 0.04284797 0.05589467 0.05205813
0.05229538 0.06018325 0.06162872 0.06138084 0.05619406
0.05707905 0.06214475 0.05115226 0.05562533 0.05629719
0.06272065 0.05508695 0.05687532 0.05052207 0.06458123
0.05134666 0.06630429 0.05108007 0.05766189 0.06668083
0.04751858 0.05729746 0.06220572 0.05915685 0.06430333
0.05851777 0.06222589 0.06080271 0.06945125 0.04936898
0.06751935 0.05442842 0.06173057 0.06033468 0.06061696
0.06138504 0.06639672 0.05406839 0.05018235 0.04993453
0.06880799 0.07608244 0.06187975 0.05973129 0.06235132
0.05690131 0.06043763 0.07044208 0.05606393 0.05770349
0.05183829 0.06035075 0.04866964 0.0669709 0.06128274
0.05353015 0.05583683 0.05132596 0.06061052 0.06013583
0.0557668 0.05594844 0.06451283 0.056803 0.06847327
Average StdErrors for Betas: 
0.0563525 0.05905884 0.05763679 0.05792688 0.05686599
0.05719502 0.05470857 0.05876635 0.05712584 0.05718711
0.05650199 0.05894307 0.05829823 0.05953727 0.06083609
0.05964311 0.05618976 0.05671217 0.05673435 0.05859866
0.05888246 0.05681624 0.0590026 0.05611635 0.05860509
0.05813212 0.0574664 0.05781001 0.05715592 0.05851005
0.05645918 0.05688312 0.05599148 0.05688067 0.05569084
0.05520789 0.05943882 0.05642456 0.05832022 0.05904389
0.05871559 0.0579986 0.05678796 0.05761748 0.05541669
0.06098208 0.05688603 0.06013526 0.05697386 0.05918682
0.05817725 0.06082577 0.0583863 0.05878996 0.05890248
0.05841809 0.057547 0.05777452 0.06116425 0.0579335
0.05778795 0.05822642 0.05658042 0.05840499 0.05856691
0.05850959 0.05939624 0.06095174 0.05878007 0.05815748
0.05986944 0.05702733 0.05790653 0.05645566 0.05705884
0.05579731 0.05839278 0.05929902 0.05903793 0.05757706
0.05371426 0.05655401 0.05857461 0.05727873 0.0564813
0.05585151 0.05756081 0.05547584 0.06050773 0.05828975
0.05595173 0.05663962 0.05601353 0.06066249 0.05683302
0.06007111 0.05721938 0.06054176 0.05922947 0.05948433
Q-value positive rate for exposures: 
0 0 0.2941176 0.7058824 0
0 0 0 0.01960784 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01960784 0 0.01960784 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.01960784 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01960784 0 0 0
0 0 0 0.01960784 0
0 0 0 0 0
0 0.01960784 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2928994 0.4852941 0.3653137
Precision/Recall/F1 based on Q-values:
0.8793103 0.25 0.389313
Power at FPR threshold of 0.05: 
0.05882353 0.2156863 0.7254902 0.9411765
