Average Estimates for Betas: 
0.02853464 0.05573567 0.1535968 0.2117504 0.001694491
0.009509724 -0.008997884 0.01296429 0.0008916648 0.002936985
-0.01302313 0.006711076 0.006221768 -0.001200295 -0.007720143
0.0006082312 -0.002104669 0.01415205 -0.0028301 -0.009521114
-0.01359401 -0.01151343 -0.01270002 0.006282167 -0.01602726
-0.003070756 0.01343892 0.003663713 -0.003939074 -0.01707266
0.001859133 0.007778239 -0.01792395 -0.01352846 -0.01321881
-0.005375878 -0.002830569 0.008071024 -0.003913468 -0.001386044
0.01186923 0.01485712 0.006079688 0.008492032 -0.0001948354
0.01154896 -0.01179471 -0.002052131 0.0006919252 -0.01485896
0.008059322 -0.0005461316 -0.003903388 -0.008166109 8.960663e-05
0.007043695 0.005673162 -0.002160115 0.001080265 -0.01038788
0.02008349 -0.003756003 0.0005426529 -0.0006603259 -0.001294805
0.006768446 0.01583145 -0.002554647 0.003072847 -0.006339873
0.01438457 -0.01357607 -0.00750106 0.004090629 -0.01177463
-0.002257371 0.004155894 -0.01432878 0.01481307 -0.0117608
-0.0007745842 -0.01623394 -0.02073361 -0.01557706 -0.0066087
-0.004321689 0.001490373 -0.006536659 0.005762411 -0.009925449
0.01307878 -0.01112398 0.01004753 -0.02389726 -0.01944179
0.0001742348 -0.01183224 0.001700092 -0.01175815 0.002746627
Positive rate for exposures: 
0.07843137 0.1568627 0.7058824 0.8431373 0
0.07843137 0.05882353 0.1764706 0.03921569 0.03921569
0.05882353 0.07843137 0.07843137 0.01960784 0.03921569
0.01960784 0.05882353 0.07843137 0.05882353 0.07843137
0.1176471 0.03921569 0.07843137 0.03921569 0.07843137
0.05882353 0.03921569 0.05882353 0.03921569 0.01960784
0.03921569 0.05882353 0.01960784 0 0.03921569
0.03921569 0.01960784 0.03921569 0.03921569 0.03921569
0.05882353 0.07843137 0.05882353 0.03921569 0.01960784
0.03921569 0.05882353 0 0.01960784 0.09803922
0.01960784 0.03921569 0.03921569 0.03921569 0.05882353
0.01960784 0.09803922 0.09803922 0.07843137 0.05882353
0.07843137 0.03921569 0.05882353 0.07843137 0.01960784
0.03921569 0.05882353 0.01960784 0.05882353 0.09803922
0.01960784 0.07843137 0.01960784 0.01960784 0.05882353
0.05882353 0.05882353 0.07843137 0.01960784 0.01960784
0.07843137 0.03921569 0.05882353 0.01960784 0.03921569
0.03921569 0.05882353 0.03921569 0.07843137 0.03921569
0.05882353 0.05882353 0.01960784 0.01960784 0.07843137
0.05882353 0.03921569 0.09803922 0.05882353 0.03921569
Standard Deviations of Betas: 
0.06590987 0.06752262 0.05545589 0.09181541 0.0465166
0.06869357 0.06820482 0.0972261 0.07419267 0.06535063
0.07899443 0.071602 0.06881694 0.07141859 0.06317569
0.07190215 0.06428711 0.07594032 0.07488736 0.0816257
0.09248233 0.07707126 0.07601367 0.08463206 0.07219097
0.06478697 0.06816086 0.06109694 0.07074368 0.05044283
0.07157766 0.07407399 0.06684627 0.05786451 0.07889081
0.07095736 0.07364165 0.06756332 0.07254743 0.06498229
0.07297022 0.07206562 0.07084099 0.05951737 0.05752356
0.06902395 0.07203232 0.06552907 0.06607108 0.07344827
0.05458781 0.06953071 0.0632015 0.06886079 0.08374446
0.05595913 0.08178565 0.07731177 0.06401192 0.07124155
0.0805736 0.0792783 0.07495409 0.07994698 0.05450433
0.06187318 0.06747852 0.07054937 0.06717066 0.07064072
0.06341746 0.07610044 0.05443252 0.06826011 0.06812264
0.0680523 0.08553447 0.06874822 0.06374932 0.07507334
0.07380817 0.05677884 0.07788286 0.05978544 0.06626921
0.05123367 0.07687408 0.06083096 0.08216432 0.06837651
0.06303937 0.0859621 0.06776346 0.06508708 0.08286461
0.06752012 0.06324738 0.08289371 0.0655316 0.07326606
Average StdErrors for Betas: 
0.06280977 0.06658014 0.06294317 0.065582 0.06103745
0.06597402 0.06437724 0.06703045 0.06825757 0.06090162
0.06323517 0.06807268 0.06693148 0.0674714 0.06522796
0.06823989 0.06168517 0.06684947 0.06509687 0.06779025
0.07082553 0.06586481 0.0681037 0.06913915 0.06461596
0.06265015 0.06558082 0.0658257 0.065185 0.06599393
0.06533377 0.06274502 0.06744282 0.06419854 0.06735427
0.06588231 0.0716313 0.06119932 0.06692958 0.06732677
0.06882619 0.06705444 0.06438353 0.06824391 0.06017762
0.06991483 0.06444196 0.06980383 0.06373043 0.06634846
0.06595453 0.07023587 0.06645803 0.06645145 0.06674916
0.06749821 0.06348401 0.06270647 0.06627833 0.06719216
0.06592644 0.06573134 0.0633228 0.0660411 0.0645754
0.0629136 0.06544019 0.06937321 0.06616371 0.06254689
0.07000607 0.06253378 0.0629382 0.06744162 0.06419283
0.06325593 0.06471908 0.07396857 0.06714043 0.06696927
0.06511471 0.0625793 0.0685488 0.06460819 0.06132813
0.06383984 0.06577553 0.06664706 0.0680715 0.06510299
0.06405831 0.0685739 0.06577678 0.0693318 0.06735217
0.06674145 0.06778134 0.06846031 0.06648461 0.06654099
Q-value positive rate for exposures: 
0 0 0.1960784 0.6078431 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01960784 0 0 0
0 0 0 0.01960784 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01960784 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01960784 0.01960784 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2676471 0.4460784 0.3345588
Precision/Recall/F1 based on Q-values:
0.8913043 0.2009804 0.328
Power at FPR threshold of 0.05: 
0.07843137 0.1568627 0.7058824 0.8431373
