Average Estimates for Betas: 
0.03012757 0.03962703 0.1608174 0.2133397 0.01016342
0.02596896 -0.01249701 0.02922501 0.01806873 0.01511881
0.001361736 0.003345113 0.03217371 -0.03001783 -0.007270161
-0.003292627 -0.01008054 -0.01291997 -0.008890328 0.02519671
-0.01553824 -0.002793571 0.004231226 0.007906625 -0.02515831
-0.004651908 0.01624213 0.004691895 0.01348309 -0.009476881
0.009110742 0.01267543 0.008558683 0.003529891 0.009098249
0.0008072527 0.0008981132 0.01605554 0.005727423 0.004891371
0.009034049 0.01749326 -0.01510376 0.02357637 0.0162945
-0.009527266 -0.00543318 0.02750551 0.0002672835 -0.03237642
-0.0002541334 -0.01710431 -0.01675879 -0.0367828 -0.008142684
0.01614119 0.01734939 -0.01593119 0.0108642 0.01602303
0.006593386 0.002686858 0.00371097 -0.01737322 0.009321522
0.0310267 0.01236759 0.00999868 0.02016045 -0.008386864
0.003369229 -0.0009750701 -0.02436014 0.02124684 -0.007291293
-0.01326083 0.01157611 0.01125125 0.006768784 -0.009134083
-0.02696526 -0.03075152 -0.01696676 -0.02600576 -0.01729983
-0.002030993 0.009246584 -0.008557167 0.0106009 -0.03202195
-0.00907823 -0.02461428 -0.002550823 -0.0345939 -0.02592074
-0.0008612454 -0.005598427 -0.005960272 -0.02617399 0.003144057
Positive rate for exposures: 
0 0.1111111 0.6111111 0.7777778 0
0.05555556 0.05555556 0.05555556 0.05555556 0
0 0 0 0.05555556 0
0.05555556 0 0 0 0
0.1111111 0.05555556 0 0 0
0 0 0 0.1111111 0
0.05555556 0 0 0 0
0.1111111 0.05555556 0 0.05555556 0
0 0 0 0.05555556 0
0.05555556 0.05555556 0.05555556 0.05555556 0
0 0 0 0 0
0.05555556 0 0 0 0.05555556
0.1111111 0 0 0 0.05555556
0 0 0 0.05555556 0.2222222
0 0.1666667 0 0.05555556 0.1111111
0 0 0 0 0.1111111
0.05555556 0.05555556 0.05555556 0.05555556 0.05555556
0.05555556 0 0 0.05555556 0.05555556
0 0.05555556 0 0.05555556 0.05555556
0 0 0 0 0
Standard Deviations of Betas: 
0.06204051 0.07941558 0.04303815 0.08516019 0.05844866
0.08910023 0.07396978 0.06637592 0.08024542 0.06623898
0.07684994 0.05704482 0.08558015 0.09281096 0.06063449
0.08313949 0.05181921 0.07356141 0.06719763 0.07056812
0.0738272 0.1046549 0.0656615 0.0530958 0.07589865
0.08765044 0.06764972 0.05358474 0.07913955 0.07593255
0.0978009 0.07231303 0.05385328 0.05373386 0.05493214
0.06835125 0.06617567 0.06925686 0.07996989 0.05316746
0.06929673 0.08094107 0.06742037 0.07210957 0.05117552
0.08068506 0.0802769 0.07407414 0.07546597 0.07809086
0.05926031 0.07498315 0.05460689 0.04672657 0.08138974
0.07287041 0.05200005 0.06395257 0.07622904 0.07488235
0.08475438 0.07916936 0.05957469 0.08032142 0.05540593
0.07573131 0.06167269 0.06572481 0.0994296 0.1003977
0.05859657 0.08140457 0.05007054 0.08254169 0.0900179
0.06606913 0.05573533 0.08323741 0.0731831 0.08952765
0.06250407 0.06951586 0.08913363 0.0654636 0.07114508
0.06375874 0.05209288 0.059591 0.06168952 0.06540641
0.06100238 0.08851191 0.04168439 0.08582285 0.06630639
0.06894701 0.03982735 0.06732499 0.0655875 0.07236066
Average StdErrors for Betas: 
0.07250906 0.07473562 0.07676088 0.07678048 0.07449523
0.07264466 0.0728867 0.07718979 0.07536541 0.07389182
0.07504668 0.07779824 0.07630964 0.07970784 0.0755102
0.08036348 0.07645048 0.07410822 0.07498437 0.08037283
0.0737589 0.07529934 0.07988722 0.07397814 0.07669629
0.0776183 0.07877824 0.07360842 0.08004831 0.07515241
0.08063937 0.0785139 0.07638771 0.07166358 0.07191721
0.07323134 0.07575869 0.07511705 0.07709225 0.07621031
0.07664879 0.07983142 0.076112 0.07704595 0.07132305
0.07676677 0.07543133 0.0806112 0.07518344 0.08066935
0.07870309 0.07996121 0.07636257 0.07835226 0.07584834
0.07254477 0.07781888 0.07565898 0.07759389 0.07333877
0.07802182 0.07957633 0.07351181 0.07637077 0.07836467
0.07640746 0.07727419 0.07817603 0.07562102 0.07629685
0.0757117 0.07336751 0.07803444 0.07510249 0.0770082
0.06883934 0.07416729 0.07973825 0.08134879 0.06998073
0.07144528 0.07370237 0.07740658 0.07508152 0.07630265
0.07266733 0.07701805 0.07424193 0.08012087 0.07633536
0.07627977 0.07563561 0.07526321 0.07939151 0.07756841
0.08001943 0.07328235 0.07705481 0.08285361 0.07960373
Q-value positive rate for exposures: 
0 0 0.05555556 0.2777778 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.3506494 0.375 0.3624161
Precision/Recall/F1 based on Q-values:
1 0.08333333 0.1538462
Power at FPR threshold of 0.05: 
0 0.1111111 0.7222222 0.8888889
