Average Estimates for Betas: 
0.02448742 0.02477467 0.1551765 0.1601387 0.004268568
0.01143276 -0.01744469 0.0260443 0.02623957 0.006933463
-0.01047329 0.01074973 0.02429657 -0.00693636 -0.009335711
-7.072212e-05 -0.03206419 0.01824423 0.01016222 0.01427898
0.005263337 0.01208896 -0.02628741 0.0009014941 -0.02736242
0.000838152 0.0082675 0.01114626 0.02143589 -0.01906031
0.012114 0.02917375 0.008673821 -0.01509061 -0.007647975
0.01786547 -0.00401388 0.01315545 0.003680827 -0.01022951
-0.01209801 0.01040598 0.00919666 0.01675673 0.003018854
-0.0146139 -0.02216808 0.0172689 0.00710384 -0.007622577
0.01138865 0.005877492 -0.01380654 -0.03593044 -0.01542231
0.02479279 -0.01022424 -0.01626126 0.01322761 -0.01719863
0.003425934 0.002913917 -0.007484376 -0.02048419 0.03296593
0.03439935 0.01076805 0.01997673 -0.005272432 -0.009084837
-0.01212378 -0.002415365 -0.03851109 -0.008050689 -0.005582897
-0.01637446 0.01439798 0.01850071 0.008067139 -0.01203279
-0.0374542 -0.03859687 -0.01855458 -0.0371765 -0.02695703
0.009006278 0.002672035 -0.004651524 0.0301622 -0.04090341
-0.006196036 -0.02571097 0.02302825 -0.02131525 -0.04077643
-0.02468292 -0.02721431 -0.00160287 -0.0288955 0.01606798
Positive rate for exposures: 
0 0.1176471 0.4117647 0.7647059 0
0.05882353 0 0.05882353 0.05882353 0
0.05882353 0 0.1176471 0 0
0.05882353 0 0.2352941 0 0.05882353
0.1176471 0 0 0 0
0 0 0 0.1176471 0
0.1176471 0.05882353 0 0 0.05882353
0.1176471 0 0 0.05882353 0
0 0.05882353 0 0.05882353 0
0 0.05882353 0 0 0
0.05882353 0 0 0 0.05882353
0.05882353 0 0 0 0
0.1176471 0 0 0.05882353 0
0 0 0 0.05882353 0.05882353
0 0.05882353 0.05882353 0 0.05882353
0 0 0.1176471 0 0
0.05882353 0 0 0 0.05882353
0.05882353 0.05882353 0 0.05882353 0.05882353
0 0.1764706 0.05882353 0.05882353 0
0 0.05882353 0.1176471 0.05882353 0
Standard Deviations of Betas: 
0.06640719 0.1018036 0.06714396 0.1424077 0.06297195
0.1011692 0.06719036 0.08120973 0.1024099 0.07480914
0.07799672 0.0686663 0.1041639 0.07193951 0.07938568
0.1124242 0.08753926 0.1293344 0.05978354 0.1174833
0.1054712 0.0510031 0.07940306 0.07844963 0.07979467
0.07369622 0.07057366 0.07445943 0.1109676 0.06820702
0.1034719 0.07562108 0.0529119 0.07857471 0.09245391
0.09509416 0.05012135 0.0846729 0.07637948 0.07395372
0.05206381 0.1064096 0.08725986 0.06911689 0.06005909
0.07262479 0.08620577 0.09412643 0.07367779 0.07849145
0.06955955 0.07804679 0.06300127 0.09007438 0.1264593
0.07640163 0.05730061 0.05524573 0.06014133 0.07032967
0.09477946 0.09031229 0.06744679 0.09231942 0.07714913
0.04987352 0.08817655 0.06602989 0.09197373 0.09025492
0.05180907 0.0937157 0.06934058 0.07409699 0.1025043
0.08265796 0.09146078 0.1271605 0.07288696 0.05984204
0.06662105 0.04495395 0.06094379 0.08189235 0.08050496
0.08389464 0.09000955 0.05533669 0.0726624 0.06762377
0.08886866 0.1366867 0.1136231 0.1151071 0.08411183
0.06984066 0.0969159 0.1127257 0.100027 0.07611085
Average StdErrors for Betas: 
0.07807058 0.08491276 0.08321241 0.0850818 0.07971292
0.08087857 0.08155335 0.08247553 0.09018926 0.07833017
0.08272001 0.08732343 0.08008186 0.08813454 0.08140767
0.08939314 0.08229114 0.08824054 0.07841126 0.09397533
0.08533906 0.08188521 0.0879483 0.08899052 0.0822664
0.08194724 0.08879208 0.08252537 0.08603933 0.08329621
0.09019604 0.08574002 0.08583932 0.08409747 0.08469773
0.0804723 0.08880527 0.07908872 0.08145282 0.08804114
0.09310896 0.09511654 0.08386316 0.08030858 0.07604162
0.08854651 0.0849393 0.09206587 0.08370199 0.08869358
0.08445787 0.08619441 0.08329992 0.09154425 0.08309313
0.08572168 0.08191699 0.08045086 0.08366588 0.081746
0.09040771 0.08735656 0.0779616 0.08687974 0.08783546
0.08146891 0.08500532 0.09594983 0.08321838 0.08236989
0.08366413 0.07908927 0.08410567 0.08165407 0.08336396
0.07816545 0.08257821 0.09471578 0.09154827 0.08105755
0.0861783 0.08083969 0.08718661 0.08405736 0.08051177
0.08727031 0.08862448 0.08547391 0.08722361 0.08455198
0.08878509 0.08793097 0.08491596 0.09065464 0.09106254
0.08952054 0.08424483 0.08878247 0.08870676 0.08712547
Q-value positive rate for exposures: 
0 0 0 0.1176471 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.05882353
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2894737 0.3235294 0.3055556
Precision/Recall/F1 based on Q-values:
0.6666667 0.02941176 0.05633803
Power at FPR threshold of 0.05: 
0 0.1764706 0.6470588 0.8235294
