Average Estimates for Betas: 
-0.0001120581 0.08490401 0.1382416 0.1603638 0.008053046
-0.007537194 -0.009494239 0.002153582 0.007659348 -0.0336243
-0.03683105 -0.01992803 0.008217234 -0.04294449 -0.03211624
0.02448528 -0.01582606 -0.00961692 0.00827466 0.02548811
-0.01759276 0.02414651 -0.006492036 0.05263404 -0.0243185
-0.02217551 0.06152877 0.0166568 0.008983232 0.01473764
-0.02460725 -0.02619613 0.00619887 -0.02324338 0.02006563
0.006087087 0.003987417 0.02833251 -0.02102126 -0.05593376
0.02704567 -0.09500022 -0.01685011 0.01861059 -0.01896939
-0.02981815 -0.1074484 -0.03232194 0.01231793 -0.01931106
0.001429532 -0.007164208 0.05574943 0.01006127 0.02293202
0.03365538 0.005545418 -0.01615462 0.07268074 -0.07293445
0.0394897 0.04140725 0.002542159 0.02125122 0.03577058
-0.009371446 0.06694424 0.004162959 0.0003341637 0.03772685
0.03180839 0.007132429 0.02907593 -0.06894807 -0.06218113
0.0511085 0.007591745 0.005168755 -0.05143974 -0.007600342
0.04703559 -0.03511702 -0.04120853 0.06827482 0.05276818
-0.002933176 0.03598729 -0.01475164 0.02970192 -0.03907065
-0.001800198 -0.01140228 -0.0149801 0.03518525 0.02870111
-0.0156165 0.08252693 0.00135712 0.02435987 0.02005761
Positive rate for exposures: 
0.3333333 0.3333333 0.5 0.6666667 0.1666667
0.3333333 0.3333333 0.1666667 0.1666667 0.1666667
0.1666667 0 0 0 0.1666667
0.1666667 0 0.1666667 0 0.1666667
0 0 0 0 0.1666667
0.1666667 0.1666667 0.1666667 0.5 0.1666667
0.3333333 0.3333333 0 0 0.1666667
0.1666667 0 0.1666667 0.1666667 0.5
0 0 0.1666667 0 0
0 0.5 0 0.1666667 0.1666667
0.1666667 0 0.3333333 0 0
0 0.1666667 0 0.5 0.3333333
0 0.1666667 0 0 0
0 0.3333333 0 0 0.1666667
0 0 0.1666667 0.6666667 0.3333333
0.1666667 0 0 0 0
0.1666667 0.1666667 0.1666667 0.1666667 0
0 0 0 0.1666667 0.3333333
0 0.1666667 0.3333333 0 0
0 0.3333333 0 0 0
Standard Deviations of Betas: 
0.1438735 0.0590833 0.0627893 0.1378658 0.06872144
0.1471596 0.1185178 0.09260761 0.1128382 0.06836938
0.08209647 0.04829318 0.04417897 0.04263418 0.1277633
0.1350563 0.06430402 0.1146922 0.1091268 0.1228235
0.07799931 0.06202785 0.05927068 0.06861671 0.08485643
0.1059119 0.02958857 0.08516789 0.2126862 0.1189451
0.1025574 0.1059965 0.05149705 0.05502384 0.1166847
0.1027222 0.04960582 0.114221 0.05968623 0.1212985
0.08717392 0.1353778 0.1189308 0.044721 0.05014424
0.0392186 0.3517339 0.04780267 0.08617808 0.128006
0.1023879 0.05985929 0.09970969 0.04679633 0.04831546
0.06760037 0.08956772 0.04272163 0.1230502 0.09016338
0.05703774 0.07106727 0.03857639 0.03526544 0.06005908
0.07415707 0.1635436 0.06632391 0.06784898 0.08618975
0.09748307 0.06741835 0.1030569 0.1268018 0.09232308
0.1119137 0.05466534 0.06575874 0.06368277 0.05805288
0.03937747 0.06376379 0.09179609 0.06420257 0.04197854
0.05031731 0.0546269 0.04850511 0.08395565 0.08666264
0.06519723 0.06899283 0.1191369 0.1219394 0.04369803
0.04924021 0.09329502 0.08661236 0.05511013 0.07007415
Average StdErrors for Betas: 
0.07005302 0.0687159 0.07073365 0.07888675 0.06619451
0.06732894 0.06811625 0.07745585 0.07668262 0.06196386
0.06055853 0.06631685 0.05939228 0.05865089 0.07590961
0.068428 0.06268168 0.06415773 0.06729583 0.0647187
0.06614119 0.06122373 0.06273883 0.07056168 0.07170353
0.07571319 0.06121013 0.06642536 0.08067565 0.07434863
0.06364795 0.06900722 0.06260434 0.0727208 0.07273711
0.05680684 0.05857084 0.07322915 0.06315683 0.06531027
0.07419465 0.0873123 0.06042088 0.05645995 0.06197618
0.06309085 0.09733856 0.06378423 0.05855245 0.06859156
0.08433436 0.06596842 0.06786081 0.06448987 0.05891545
0.06128205 0.06078336 0.05728751 0.06129735 0.09486053
0.06463585 0.06790759 0.0582733 0.06156751 0.07016277
0.0702172 0.08364708 0.05313679 0.06086417 0.06983132
0.07561977 0.06558423 0.06212319 0.06411686 0.06718139
0.09294303 0.06734491 0.06622438 0.06438727 0.07021872
0.0622394 0.06010552 0.06836315 0.0736189 0.06312343
0.05362335 0.06324886 0.08298745 0.07527715 0.06132298
0.06630483 0.06784338 0.07752353 0.08187867 0.05497256
0.05596693 0.0651341 0.08312391 0.06541319 0.06732573
Q-value positive rate for exposures: 
0 0 0.1666667 0.3333333 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.1666667
0 0 0 0 0
0 0 0 0.1666667 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.1666667 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.1341463 0.4583333 0.2075472
Precision/Recall/F1 based on Q-values:
0.5 0.125 0.2
Power at FPR threshold of 0.05: 
0 0.1666667 0.3333333 0.3333333
