Average Estimates for Betas: 
-0.2435379 0.262629 0.5135419 1.257279 0.2211537
0.2007713 1.086689 -0.1149569 -0.2468582 0.3623209
-0.512391 0.152493 -0.03556016 -0.1301126 0.4044375
0.3064883 0.2181216 -0.1503533 0.6042242 -0.6001789
-0.03722877 0.08408341 0.4209269 0.1079194 -0.3194068
0.1471247 0.3877732 0.2674875 0.02751794 0.2087296
-0.3677344 -0.3063434 -0.3928505 0.2476103 0.4520144
0.01999967 -0.2199267 0.5862466 0.2681565 -0.07446997
0.3720374 -0.8607091 0.1529325 -0.82494 0.4634536
-0.3999142 0.03268735 0.2937513 -0.1091378 -0.1643015
0.3180953 -0.09840006 0.5333644 -0.2721758 -0.1410579
-0.2331513 -0.1795471 0.5658741 0.1571946 -0.4244356
-0.3688931 0.2952833 -0.3774658 0.5602967 -0.0897358
0.2899597 0.2207361 0.519975 -0.226048 -0.7170838
-0.5232405 0.2100898 0.6444372 -0.0837528 -0.4322734
0.3654582 0.6491869 -0.2213634 0.2917171 0.1392759
-0.1064413 0.548064 -0.1742728 0.3986934 0.4083337
-0.2800892 -0.9114569 0.02096106 0.1936879 0.1674891
0.4394715 0.1924065 0.2510006 0.6358698 0.1468171
0.05612827 0.05975779 -0.5630429 -0.3022241 -0.2545492
Positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Standard Deviations of Betas: 
1.668723 1.815929 1.57072 4.645368 2.233167
1.451233 4.239242 1.455301 1.133991 2.713154
1.847989 2.25245 1.296814 1.912122 2.799556
3.062796 0.9305961 1.300619 2.047246 2.036989
0.8945517 1.761904 1.77431 1.047735 1.09984
2.64974 1.353532 1.35448 2.081456 1.77908
1.899934 1.456488 1.098171 1.067936 2.22366
0.900979 1.622759 4.029082 2.0611 1.929345
2.019549 2.027683 2.696373 3.034192 2.585205
2.038863 1.356134 1.882601 2.008553 1.319813
2.139408 1.615171 2.907 1.18703 2.314108
2.02587 1.485736 3.414041 1.329878 3.381997
2.1836 3.667231 0.8925515 3.052862 3.017223
1.269262 0.8890868 2.475484 1.893842 3.518729
2.074788 1.748731 3.213517 1.676901 2.153713
2.394623 2.446757 1.140242 3.064861 2.054126
1.223946 1.409052 2.40906 2.22368 3.100081
2.126873 2.442986 1.684875 2.127745 1.547534
1.869884 1.325892 2.046417 2.90854 1.242827
1.070133 1.606958 1.617958 2.040403 1.092242
Average StdErrors for Betas: 
167.639 99.80279 130.8276 840.4253 241.072
180.2074 673.9873 177.8199 58.28334 472.9048
326.3785 350.5151 185.5497 378.3229 477.6866
453.1178 142.527 232.796 314.7565 251.0081
121.7182 83.14469 195.7664 152.2429 144.4723
132.2977 111.5217 102.7095 287.1525 233.2687
131.691 61.341 98.46535 71.30442 370.616
81.5041 224.9648 117.9011 325.1088 298.652
106.6442 317.8128 148.3372 453.3779 461.1566
274.6433 83.88054 83.69256 309.0452 175.2591
184.9932 184.9678 506.9236 52.03903 345.1157
347.8405 101.2443 618.6903 183.7802 502.2233
286.0204 629.0445 128.2295 560.7125 151.8316
116.6948 156.6697 439.3864 205.6633 344.8406
356.2996 290.9589 422.1175 224.3862 348.2226
314.5605 263.5459 96.24196 519.3025 103.4589
218.7145 150.8468 305.7042 187.9622 452.2205
312.3915 458.7968 227.7177 281.2875 264.5943
132.7151 177.401 353.4885 512.8003 58.62271
39.70962 109.2281 265.4404 286.6334 99.68105
Q-value positive rate for exposures: 
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
NaN 0 NaN
Precision/Recall/F1 based on Q-values:
NaN 0 NaN
Power at FPR threshold of 0.05: 
0 0.09677419 0.09677419 0.1290323
