Average Estimates for Betas: 
0.04305469 0.06838979 0.1443007 0.2018376 -0.008277378
-0.007042726 0.003426959 0.003726506 -0.006812796 -0.001504475
-0.005976367 -0.01096598 -0.009690641 -0.01103748 -0.002202992
0.00168689 0.002347859 0.008336666 0.005018213 0.01563383
0.005836496 0.003286259 -0.001780124 0.005701583 0.00866657
-0.01244993 -0.007018997 -0.002231505 0.00887361 -0.01362701
0.008500896 0.0007941946 0.006110708 -0.006767051 0.0104621
-0.003908622 0.00664567 -0.01509903 0.0006560165 -0.0009080053
-0.009445728 -0.003157291 -0.0015078 -0.008605898 0.009880795
-0.0008411445 -0.01818427 -0.001313989 -0.01505747 0.0009830619
0.002974871 0.002867758 0.001683942 -0.01069101 0.002140428
0.006609179 -0.005885013 -0.002179334 0.005329613 -0.0138786
-0.0009310773 0.01093459 -0.002327601 0.002045711 0.009076123
-0.003597592 0.004552601 -0.007708057 -0.008881401 0.0042366
0.007105668 0.002154442 0.007362326 -0.003742414 -0.00325959
0.00319626 0.004464497 0.00761912 0.01051609 0.005673806
0.01311259 0.008860879 0.0008212213 0.0071426 0.007661221
0.00372101 0.00305602 -0.002922145 -0.00300645 -0.01072358
-0.0005344949 0.004273671 -0.01279409 0.007719829 0.002914023
0.00694314 0.01211076 0.01468092 -0.01524832 -0.007195684
Positive rate for exposures: 
0.1 0.16 0.59 0.75 0.1
0.1 0.08 0.03 0.09 0.07
0.05 0.09 0.02 0.05 0.03
0.06 0.06 0.04 0.04 0.05
0.04 0.03 0.03 0.01 0.02
0.07 0.05 0.06 0.02 0.04
0.08 0.05 0.02 0.05 0.07
0.08 0.02 0.06 0.05 0.06
0.04 0.06 0.01 0.03 0.04
0.02 0.06 0.08 0.04 0.07
0.08 0.02 0.09 0.08 0.07
0.07 0.04 0.04 0.04 0.06
0.06 0.04 0.03 0.05 0.06
0.03 0.05 0.03 0.07 0.06
0.1 0.08 0.05 0.04 0.07
0.03 0.08 0.03 0.05 0.1
0.1 0.02 0.04 0.06 0.09
0.06 0.08 0.03 0.1 0.03
0.07 0.09 0.05 0.04 0.04
0.08 0.03 0.1 0.06 0.05
Standard Deviations of Betas: 
0.07880719 0.07174407 0.09173403 0.09190152 0.08641523
0.0827799 0.07504239 0.0749525 0.08392668 0.0905896
0.08298323 0.08482154 0.06765569 0.07415658 0.06647895
0.07036909 0.07639544 0.07450334 0.07527233 0.0836718
0.0696429 0.07142021 0.08029932 0.06730805 0.07090741
0.0711682 0.07358688 0.07326833 0.06886324 0.0723832
0.08756991 0.06922436 0.06674498 0.07349882 0.09158191
0.08617331 0.06906755 0.07628988 0.08195549 0.07727991
0.07082455 0.07762951 0.07084648 0.06949147 0.0774989
0.06625303 0.07924662 0.071752 0.07001154 0.08025506
0.07770524 0.06647566 0.07646553 0.07770596 0.08639037
0.07192701 0.07458016 0.06714524 0.07124591 0.07880891
0.08045509 0.06393946 0.08689097 0.07715217 0.080036
0.07455239 0.0822483 0.07812926 0.07976027 0.08840946
0.0920327 0.08606956 0.07847771 0.07346857 0.08795493
0.07728715 0.07995136 0.07524479 0.07995205 0.08636988
0.08081189 0.07117694 0.07823025 0.07725048 0.08632983
0.07759508 0.0911644 0.07697989 0.08709359 0.07604548
0.07936657 0.09674058 0.0744634 0.0781455 0.07247898
0.09072389 0.06990937 0.08554013 0.07702605 0.07571506
Average StdErrors for Betas: 
0.07483156 0.07184632 0.07406252 0.07390401 0.07893101
0.07480307 0.0735947 0.07967546 0.07706018 0.07692882
0.07459781 0.07645582 0.07209696 0.07394823 0.07613353
0.07581442 0.07397887 0.07348436 0.07651898 0.07831738
0.07447057 0.07765452 0.07739143 0.07660691 0.07592303
0.07248856 0.07392459 0.07604144 0.07477197 0.07439698
0.07396735 0.07451225 0.0762644 0.07382846 0.07614793
0.07443983 0.07658943 0.07396921 0.07576924 0.07789932
0.07532531 0.07497565 0.07556911 0.07401025 0.07234003
0.07348473 0.0751223 0.07174416 0.07349542 0.07554147
0.07437408 0.07670921 0.07221548 0.07400652 0.07545226
0.07110597 0.07607131 0.07347313 0.07192144 0.07592454
0.07671085 0.07576659 0.07491349 0.07258335 0.07442104
0.07684656 0.07561845 0.07599132 0.0779902 0.0761444
0.07620256 0.07709454 0.07522413 0.0746833 0.07378012
0.07499964 0.07375978 0.07504137 0.07661629 0.07593137
0.07258586 0.07383732 0.07761772 0.07690215 0.07642474
0.07603473 0.07651455 0.07585474 0.07514935 0.07403976
0.07407422 0.07620921 0.07884337 0.0753338 0.07512467
0.07738729 0.07554544 0.07567893 0.07513456 0.07252305
Q-value positive rate for exposures: 
0.01 0.01 0.16 0.32 0.02
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.01 0 0 0
0 0 0 0 0.01
0.01 0 0 0 0
0.01 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.01
0.01 0 0 0 0
0 0 0 0 0.01
0.01 0.01 0 0 0
0 0 0 0 0.01
0.01 0 0 0 0
0 0 0 0.02 0
0 0.01 0 0 0
0 0.01 0 0 0.01
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2339181 0.4 0.295203
Precision/Recall/F1 based on Q-values:
0.7352941 0.125 0.2136752
Power at FPR threshold of 0.05: 
0.1 0.15 0.59 0.75
