Average Estimates for Betas: 
0.08250626 0.06910814 0.1761841 0.2662621 0.03169637
-0.003526591 -0.02556169 -0.02377124 -0.001361702 0.01190312
-0.02372911 -0.02490419 0.004338856 -0.003716328 0.002755213
-0.002787933 -0.01178421 -0.008220197 0.03159553 -0.0100792
-0.02055925 -0.001652797 0.00571934 0.01920587 0.00544893
-0.01784859 0.02805876 -0.02758838 0.01246854 -0.02447202
-0.02257552 0.005524733 0.006257907 0.006571857 0.03361764
0.00483385 0.02620988 -0.01388873 -0.01484477 -0.004923556
0.02469638 -0.02213799 -0.01325204 -0.0108212 -0.01575743
0.007949019 0.01488694 -0.0004360954 -0.01631443 0.02335039
0.02175757 0.02176254 0.0001536226 -0.006316369 0.02145709
0.01870557 -0.01720668 0.01860395 0.01524191 -0.01425911
0.01512669 0.008690922 0.0002311532 -0.008737909 0.01162539
-0.003372296 -0.01257316 0.004096419 -0.01089525 0.008099419
-0.007741 0.009170311 0.004846086 -0.00639102 0.07191027
0.01795682 0.03469283 0.02501957 0.01326707 -0.02668532
-0.001521236 -0.01869032 -0.01951745 -0.00408431 0.0005153153
-0.003972817 -0.005207583 0.02266932 0.008201718 0.01612941
-0.001086486 0.00786999 0.02282313 0.03109322 -0.005820386
0.01165905 -0.009444964 0.00946026 -0.01251195 0.02073324
Positive rate for exposures: 
0.6666667 0.3333333 1 1 0.1666667
0 0.1666667 0 0.1666667 0
0 0.1666667 0.1666667 0 0.3333333
0.1666667 0.1666667 0.3333333 0.3333333 0
0.1666667 0 0 0 0.5
0.1666667 0.1666667 0.1666667 0 0.1666667
0.3333333 0.1666667 0 0 0.1666667
0 0.1666667 0 0 0.1666667
0 0.1666667 0 0 0
0 0.1666667 0.3333333 0.1666667 0
0 0.1666667 0 0.1666667 0
0.1666667 0.1666667 0 0.3333333 0.1666667
0 0 0 0 0
0 0.1666667 0.1666667 0 0.3333333
0 0 0.1666667 0.3333333 0.5
0 0.1666667 0.1666667 0.1666667 0.1666667
0.1666667 0 0.1666667 0 0.1666667
0.1666667 0.3333333 0 0.1666667 0
0 0.1666667 0.1666667 0 0
0 0.1666667 0 0 0
Standard Deviations of Betas: 
0.02857136 0.06148385 0.04731533 0.04600811 0.03841343
0.02345741 0.05236301 0.04187777 0.07188747 0.02510607
0.01178713 0.05347998 0.04062125 0.03204535 0.06317698
0.05602035 0.04805483 0.0790532 0.06938804 0.03178472
0.04580168 0.02488658 0.03521806 0.03241989 0.06277976
0.05045025 0.04423095 0.05797848 0.02755811 0.06989966
0.06914753 0.04943878 0.02632962 0.03484831 0.03378353
0.03952921 0.06199337 0.01038269 0.01867446 0.04765342
0.02765433 0.02770427 0.02515593 0.02770132 0.02742585
0.03954597 0.03309566 0.0684079 0.04570631 0.0414407
0.02200053 0.05232208 0.04247025 0.05909543 0.01519279
0.06976111 0.04791912 0.04198947 0.0563213 0.06566057
0.0187561 0.01701933 0.01026059 0.03012016 0.01886982
0.03085114 0.04972318 0.06827717 0.02453356 0.06771394
0.05602445 0.02981962 0.04028956 0.06954916 0.06952925
0.02772386 0.04418265 0.03744062 0.0549251 0.0772564
0.04363625 0.01330014 0.078394 0.01223709 0.05329865
0.05149138 0.05850186 0.01733861 0.05050472 0.03939004
0.04094682 0.04749873 0.0599538 0.0227451 0.02687229
0.01525699 0.04817944 0.024858 0.0302295 0.02234602
Average StdErrors for Betas: 
0.03400485 0.03333377 0.03626636 0.03532308 0.03201463
0.0353846 0.03639578 0.03833968 0.03811311 0.03329016
0.03566451 0.03635367 0.03240203 0.03006745 0.03539054
0.03383631 0.0344261 0.03620053 0.03682728 0.0327077
0.03382402 0.03445941 0.03558751 0.03602147 0.0365075
0.03873594 0.032571 0.03641866 0.03687929 0.04039665
0.03545513 0.03979807 0.03158835 0.0392005 0.03659102
0.03133814 0.03433927 0.03819398 0.03448394 0.03569332
0.03784208 0.03302966 0.03272929 0.032898 0.03376324
0.03326582 0.03605226 0.0330149 0.03189897 0.03673262
0.0364926 0.03618838 0.03289456 0.03562204 0.03202896
0.03379627 0.03072119 0.0319944 0.03271721 0.0401764
0.03769352 0.03582063 0.03214054 0.03487341 0.03553465
0.03703527 0.03713599 0.03272752 0.03391397 0.03440579
0.03804704 0.032466 0.03315879 0.0366064 0.03577454
0.03575058 0.03683918 0.03839028 0.03414362 0.03733902
0.03537685 0.03040865 0.03659833 0.03461976 0.03446291
0.03445188 0.0323826 0.0359137 0.03743468 0.03682829
0.03553836 0.03694389 0.03976505 0.03863498 0.03206203
0.03338638 0.03628795 0.03549402 0.0381297 0.0332244
Q-value positive rate for exposures: 
0.1666667 0.3333333 0.8333333 1 0
0 0 0 0.1666667 0
0 0 0 0 0
0 0 0.1666667 0.1666667 0
0 0 0 0 0
0 0.1666667 0 0 0
0.1666667 0 0 0 0
0 0.1666667 0 0 0
0 0 0 0 0
0 0 0.1666667 0 0
0 0.1666667 0 0.1666667 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.1666667
0 0 0 0.1666667 0.1666667
0 0 0 0 0
0 0 0.1666667 0 0
0.1666667 0.1666667 0 0 0
0 0 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2222222 0.75 0.3428571
Precision/Recall/F1 based on Q-values:
0.4827586 0.5833333 0.5283019
Power at FPR threshold of 0.05: 
0.5 0.3333333 1 1
