Average Estimates for Betas: 
0.04260983 0.05625134 0.136121 0.1882965 -0.009114581
-0.005587099 0.001413893 -0.0006213492 -0.01069044 0.003876301
0.001080878 -0.00700208 -0.00862484 -0.002541339 0.001557258
0.004806251 0.005647312 0.01534682 0.009021191 0.01965953
0.006754335 0.006036516 0.00240929 0.016094 0.008121316
-0.01157847 -0.01316585 0.003912154 0.01176369 -0.01286117
0.01447306 0.002143887 0.003203911 -0.01231623 0.02229105
0.003960463 0.001180942 -0.01705942 0.01088201 0.005656696
-0.001328987 -0.003640161 0.001770098 -0.01248863 0.01575556
0.005947659 -0.0176401 -0.002134522 -0.01186684 0.01455749
0.000351855 0.0018797 0.007055582 -0.009688924 -0.00462126
0.003769413 -0.01154935 0.001788583 0.005042259 -0.0243513
0.003954253 0.008860507 -0.01152419 -0.002347092 0.007292996
0.0009782811 0.01091674 -0.0164503 -0.009097448 0.004394188
0.003700919 -0.002772659 0.0003272561 0.001736066 -0.01614752
-0.008780407 0.01492515 -0.004732209 0.004855714 0.007903976
0.02110716 -0.001454978 0.003876318 0.0009531521 0.01217257
-0.002305994 -0.003226191 -0.0008058081 -0.004884964 -0.01512286
-0.000838404 0.007495161 -0.007936209 0.002815209 -0.0003598102
0.004805092 0.009311598 0.0126815 -0.008950112 -0.01112932
Positive rate for exposures: 
0.07 0.08 0.5 0.67 0.06
0.07 0.07 0.06 0.05 0.05
0.04 0.04 0 0.06 0.03
0.06 0.07 0.05 0.08 0.03
0.03 0.02 0.02 0.02 0.03
0.05 0.04 0.03 0.04 0.03
0.06 0.05 0.03 0.02 0.08
0.06 0.03 0.05 0.07 0.04
0.06 0.07 0.03 0.03 0.07
0.02 0.05 0.04 0.07 0.06
0.06 0.02 0.09 0.06 0.06
0.05 0.03 0.03 0.03 0.03
0.06 0.03 0.07 0.05 0.05
0.05 0.06 0.05 0.04 0.05
0.1 0.1 0.04 0.03 0.08
0.02 0.05 0.04 0.07 0.07
0.1 0.03 0.03 0.09 0.07
0.03 0.06 0.06 0.05 0.05
0.08 0.09 0.05 0.06 0.05
0.07 0.04 0.11 0.08 0.06
Standard Deviations of Betas: 
0.09877045 0.09569947 0.1062482 0.1098172 0.1040337
0.1001342 0.07861397 0.1109043 0.09590952 0.09728714
0.0881327 0.1117497 0.07605416 0.1046712 0.09794457
0.08657812 0.09566468 0.0925894 0.08909084 0.08817372
0.08284861 0.07864768 0.08462943 0.08594972 0.08354355
0.08332833 0.0865079 0.08266271 0.08513135 0.0870886
0.1047505 0.09125741 0.07198129 0.09103226 0.1102746
0.09951328 0.08212463 0.1021197 0.1077777 0.1017596
0.09357478 0.1073145 0.07762103 0.07939295 0.07911806
0.07420906 0.09962562 0.08905559 0.08944249 0.1076791
0.09330923 0.07713281 0.1092349 0.08987179 0.105386
0.1009011 0.08539634 0.08919641 0.08830099 0.09622721
0.0916723 0.07569992 0.1118081 0.08278596 0.08782683
0.0851381 0.0934849 0.1099355 0.09877967 0.09119265
0.1081925 0.1120726 0.09004926 0.08907511 0.1038049
0.105634 0.0911417 0.08665648 0.08987111 0.1002268
0.09567614 0.09057572 0.08684018 0.1032438 0.08611999
0.09347681 0.09887116 0.09669726 0.1086982 0.1004478
0.09058269 0.11598 0.086949 0.1056956 0.09124962
0.122436 0.08069996 0.123837 0.1016406 0.1036962
Average StdErrors for Betas: 
0.08878565 0.08652887 0.08461195 0.08534689 0.09605259
0.0897784 0.0833127 0.09652237 0.09187993 0.09191323
0.08487034 0.09283373 0.08416416 0.09112913 0.08967575
0.08953293 0.08741364 0.08747868 0.08675179 0.09185273
0.0893994 0.09217041 0.09020647 0.08634516 0.0864231
0.08802635 0.08818793 0.08967082 0.08419 0.0866628
0.08769421 0.09074352 0.08948307 0.09331443 0.09180134
0.08826926 0.09011737 0.08828724 0.08911544 0.09368302
0.08697418 0.08792823 0.08992322 0.08468398 0.08072979
0.0914452 0.08921508 0.08732747 0.08742444 0.09254093
0.08720828 0.08690028 0.0861171 0.08828315 0.08577531
0.09012437 0.08822214 0.09010757 0.08346215 0.09047122
0.08942906 0.08747116 0.09105021 0.08613675 0.08604804
0.09123075 0.09037997 0.09277044 0.09197106 0.08774848
0.09243937 0.0929461 0.09224868 0.08870987 0.08809459
0.09327567 0.08798234 0.09013904 0.08820792 0.0936046
0.08306334 0.0872475 0.09109373 0.09122983 0.08888916
0.08728568 0.09332919 0.09076308 0.09174502 0.08740997
0.08452268 0.09231779 0.09092872 0.08570329 0.0884633
0.09021059 0.08966195 0.08723006 0.08723029 0.08646556
Q-value positive rate for exposures: 
0.01 0.01 0.16 0.24 0.01
0 0 0 0 0
0 0 0 0 0
0 0 0.01 0 0
0 0 0 0 0
0 0 0 0 0.01
0.01 0 0 0 0.01
0.01 0 0 0 0
0 0 0 0 0
0 0.01 0.01 0 0
0 0 0 0 0.01
0.01 0 0 0 0
0.01 0 0.01 0 0.01
0 0.01 0 0 0
0.01 0 0 0 0.01
0 0 0 0 0
0 0 0 0.01 0.01
0 0.01 0 0 0
0 0.01 0 0 0.01
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2105263 0.33 0.2570594
Precision/Recall/F1 based on Q-values:
0.6666667 0.105 0.1814255
Power at FPR threshold of 0.05: 
0.07 0.08 0.48 0.67
