Average Estimates for Betas: 
0.02445892 0.04397142 0.1504129 0.1949424 -0.01653143
0.003253739 -0.005355073 0.01804758 -0.01691593 0.0135526
0.010721 -0.007000799 -0.003475248 0.004032799 -0.0001293207
0.002385317 -0.01297974 -0.005319101 -0.01327585 0.01779577
0.003575144 0.008656043 0.02367543 0.0238616 0.01348672
-0.0134846 0.01543026 -0.01149226 0.01286112 -0.003966302
0.0009091324 -0.01668119 -0.004672299 0.006323268 0.001224846
0.003506423 0.01493255 0.0082094 0.01751391 0.02485287
0.001679895 -0.01312421 -0.0130123 0.009249153 -0.01172306
0.007704359 -0.02841333 -0.001869749 -0.004553899 -0.009418813
0.003254942 0.009006015 0.01292479 0.01029148 0.01576061
-0.001722891 -0.008674831 -0.006226415 5.957247e-05 -0.0324253
0.002661851 -0.007583765 -0.01188484 -0.01066116 0.01367908
0.007238609 0.01892079 -0.0165323 0.002400858 0.007059818
0.01832527 -0.005786001 0.027387 -0.008264446 -0.01383578
0.01855605 0.01855397 0.01244395 -0.01422604 -0.00477403
-0.01278782 0.009726492 -0.02077276 0.006169827 0.01517948
0.003273588 0.002021591 0.005491175 0.007285333 0.0007322207
0.02816008 -0.04026416 -0.005698274 0.02150978 -0.01485002
-0.007183041 0.01937561 -0.008070489 -0.02613272 0.002352249
Positive rate for exposures: 
0 0.09677419 0.483871 0.6129032 0.03225806
0.06451613 0 0.06451613 0.06451613 0.1290323
0.09677419 0.06451613 0 0.03225806 0
0.03225806 0 0 0 0.09677419
0.03225806 0 0.03225806 0 0.03225806
0.03225806 0.03225806 0.09677419 0.03225806 0.06451613
0.06451613 0.09677419 0.06451613 0.03225806 0
0.03225806 0.03225806 0.03225806 0.06451613 0.09677419
0.03225806 0 0.06451613 0 0.1290323
0.03225806 0.06451613 0.06451613 0.03225806 0.03225806
0 0 0.03225806 0.06451613 0
0 0.03225806 0.03225806 0.03225806 0.06451613
0 0.03225806 0 0 0.03225806
0.03225806 0.06451613 0.06451613 0 0.03225806
0 0 0.06451613 0.03225806 0.03225806
0.03225806 0.03225806 0 0 0.03225806
0.03225806 0 0 0.06451613 0
0 0.09677419 0.03225806 0.06451613 0
0.03225806 0.1935484 0.03225806 0.03225806 0.03225806
0 0.06451613 0 0.03225806 0.03225806
Standard Deviations of Betas: 
0.06041218 0.06857144 0.08574341 0.07766282 0.0986147
0.09349816 0.06199838 0.08331078 0.0830443 0.1042594
0.1068494 0.09003052 0.0750617 0.07938394 0.07317925
0.07241756 0.05971106 0.07331417 0.07353605 0.09168125
0.07321101 0.06014876 0.08193828 0.07481174 0.08431412
0.0755426 0.08410753 0.09180984 0.08307787 0.07110285
0.1030471 0.07768629 0.07716835 0.08777963 0.06409391
0.07707546 0.08651864 0.07249622 0.08519085 0.110822
0.0764343 0.07140583 0.08778 0.07107398 0.09526689
0.06061717 0.07726977 0.07544696 0.07897453 0.09415743
0.06015344 0.07533339 0.07618251 0.07829476 0.08014973
0.06617904 0.08342614 0.07069627 0.07452543 0.08273216
0.06692345 0.08832537 0.06030247 0.06758216 0.08158843
0.07946479 0.08858497 0.08531132 0.07322001 0.07373056
0.08774782 0.0817789 0.08470191 0.07633895 0.07319086
0.07094913 0.07385856 0.06231363 0.06869571 0.07027328
0.06305979 0.06060835 0.06282277 0.08733727 0.07648854
0.0526952 0.102849 0.07953945 0.09164872 0.06460432
0.08787167 0.1197455 0.06796344 0.06530726 0.09014795
0.06798177 0.08211752 0.07197592 0.064362 0.08894665
Average StdErrors for Betas: 
0.08100292 0.07686101 0.07994206 0.08377623 0.08308724
0.07854171 0.08082153 0.08454168 0.07964582 0.08075498
0.07887484 0.08440665 0.07627194 0.07873397 0.08356316
0.08037793 0.07731425 0.07899729 0.08066961 0.07976901
0.07674956 0.08188783 0.08038073 0.08390966 0.07897635
0.07859874 0.0762914 0.07983375 0.08384984 0.0815472
0.08385999 0.07886633 0.0792196 0.07831396 0.07859368
0.07778633 0.08076282 0.08100397 0.08078549 0.08344724
0.08170316 0.08249498 0.08030829 0.07630523 0.08009803
0.07742122 0.07915694 0.07835138 0.07788757 0.08564494
0.08307759 0.07933241 0.07834766 0.07804823 0.08029974
0.07744985 0.08100255 0.07516301 0.07981077 0.08232038
0.07836914 0.08200715 0.07993453 0.0773289 0.08062729
0.0819882 0.0811098 0.07619536 0.08404077 0.08106096
0.08273814 0.08393619 0.0817167 0.07920001 0.07823316
0.08058261 0.07859052 0.08165941 0.08208956 0.08522317
0.07427355 0.07607394 0.08517376 0.0835686 0.08442811
0.07812748 0.08160637 0.0807918 0.07980669 0.0781927
0.08100695 0.08362084 0.08366222 0.08232231 0.08012033
0.08109284 0.07602539 0.08236243 0.08239531 0.07931047
Q-value positive rate for exposures: 
0 0 0.06451613 0.1290323 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0.03225806
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.03225806 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2551724 0.2983871 0.2750929
Precision/Recall/F1 based on Q-values:
0.75 0.0483871 0.09090909
Power at FPR threshold of 0.05: 
0 0.1290323 0.5483871 0.6451613
