Average Estimates for Betas: 
0.03480126 0.04261114 0.14036 0.1831572 -0.008457413
0.01801056 -0.01365953 -0.002736376 -0.00837369 0.0136409
0.003688988 0.02522546 -0.01002488 0.01759926 0.005915075
0.007510572 -0.003411901 -0.007911519 -8.402606e-05 0.04025611
-0.007255784 0.01414099 0.02607282 0.0223551 0.004722395
-0.007837493 0.01161912 0.005065656 0.03060545 -0.008164821
0.01491545 -0.02287683 -0.007997565 -0.01015266 0.01095212
0.002794193 0.01383408 -0.01320687 0.03165 0.02411263
-0.003541675 0.009944697 -0.02739728 -0.00343081 -0.007408285
0.01005289 -0.03588445 -0.005834553 -0.03339036 0.008686282
0.00917145 0.01290551 0.01203407 0.005768279 -0.001061828
-0.00461536 -0.02085792 0.01014031 -0.0001184759 -0.02631769
0.006445569 -0.001415454 -0.01686307 -4.450542e-05 0.008372587
0.01379507 0.008240452 -0.02416391 -0.02201708 0.01508742
0.01937035 0.009759128 0.03227477 -0.006357343 -0.03972997
0.01068277 0.02141614 0.004876476 0.0001681777 0.002200268
-0.01466133 -0.004882608 -0.01013321 0.008208416 0.01379817
0.002016217 -0.00766841 -0.005061622 0.0003309714 -0.001386475
0.0388485 -0.02874578 -0.009977837 0.02342103 -0.03549858
0.0009538009 0.01380667 0.009354915 -0.02333145 0.003787672
Positive rate for exposures: 
0 0.03225806 0.3870968 0.5483871 0.06451613
0.06451613 0 0 0.06451613 0.06451613
0.06451613 0.06451613 0 0.06451613 0
0 0.06451613 0.03225806 0 0.03225806
0.06451613 0.06451613 0.03225806 0.03225806 0.09677419
0.03225806 0.06451613 0 0 0.03225806
0.09677419 0.06451613 0 0.06451613 0.06451613
0.06451613 0.03225806 0.06451613 0.03225806 0.06451613
0.03225806 0 0 0 0.03225806
0 0.03225806 0.03225806 0.06451613 0.06451613
0 0.09677419 0.03225806 0.03225806 0.03225806
0 0.06451613 0 0.06451613 0.03225806
0 0.09677419 0.06451613 0.06451613 0.03225806
0.03225806 0.06451613 0.09677419 0.03225806 0.06451613
0 0.06451613 0.06451613 0.06451613 0
0.03225806 0.03225806 0 0.03225806 0
0.03225806 0 0 0.03225806 0
0.06451613 0.06451613 0.03225806 0 0.03225806
0.06451613 0.1290323 0 0.03225806 0.06451613
0 0.09677419 0.06451613 0 0.09677419
Standard Deviations of Betas: 
0.08484396 0.09218689 0.1103091 0.09126876 0.1066558
0.1182493 0.06636378 0.1053685 0.09131113 0.102849
0.09345499 0.1208268 0.07619738 0.1113495 0.08706918
0.08514847 0.08967045 0.1161978 0.07415114 0.09301864
0.08535014 0.08402046 0.08341471 0.08600567 0.1249484
0.07983991 0.1038196 0.09211922 0.09295104 0.07875035
0.1187638 0.09556641 0.07722989 0.09276599 0.1089696
0.104333 0.09512318 0.1132158 0.07370572 0.1019142
0.09859973 0.08709136 0.09432234 0.08615795 0.07700843
0.06243026 0.08244035 0.08842688 0.09753822 0.1041102
0.08172163 0.1116669 0.1223153 0.09141572 0.09390096
0.09158362 0.09456759 0.07845238 0.09804073 0.07382662
0.1041762 0.1112609 0.09304798 0.09513358 0.09748563
0.08315409 0.09151531 0.116077 0.08418782 0.09826276
0.08427284 0.09380395 0.1092131 0.08947491 0.08797377
0.08097773 0.09721578 0.05506923 0.09253252 0.070685
0.08216247 0.08205059 0.0890259 0.08510045 0.07952507
0.09845229 0.09385478 0.1015274 0.0873549 0.09309358
0.09344499 0.1462385 0.07456698 0.09616225 0.07965191
0.09693725 0.08735486 0.09857099 0.0712622 0.1304378
Average StdErrors for Betas: 
0.08963713 0.09337983 0.09212142 0.09200823 0.09411432
0.09379519 0.08736785 0.09478647 0.09318947 0.09252421
0.08750488 0.1018857 0.08503514 0.09254197 0.09538366
0.09072261 0.08501291 0.09019771 0.089773 0.08931627
0.09283256 0.09901191 0.09040602 0.09398914 0.08678763
0.08971505 0.09494652 0.0936318 0.09734654 0.09034803
0.09845798 0.09307552 0.09353573 0.09144189 0.09149296
0.09003622 0.09093099 0.09438257 0.09201729 0.09766617
0.0903649 0.0990632 0.09210976 0.08719701 0.08656005
0.08797092 0.09097321 0.0913268 0.09447845 0.1003087
0.09382897 0.08678133 0.08803759 0.08911792 0.08978182
0.09471834 0.09362053 0.08773047 0.08898268 0.09164821
0.0920301 0.09201889 0.09219209 0.08337595 0.09086152
0.09080017 0.08860025 0.08708721 0.09680637 0.09154019
0.09626099 0.09228284 0.09121465 0.09094699 0.0931506
0.09369906 0.09167769 0.09487647 0.09304857 0.09156752
0.08389146 0.08521145 0.09815536 0.09352138 0.09260926
0.08853094 0.09650457 0.09186811 0.09293981 0.09004081
0.09119128 0.102435 0.09978694 0.09633804 0.08920892
0.09087375 0.08153437 0.09458599 0.09397081 0.09094544
Q-value positive rate for exposures: 
0 0 0.06451613 0.03225806 0.03225806
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.03225806 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0.03225806 0 0 0
0 0 0 0 0
Precision/Recall/F1 based on p-values:
0.2027027 0.2419355 0.2205882
Precision/Recall/F1 based on Q-values:
0.5 0.02419355 0.04615385
Power at FPR threshold of 0.05: 
0.03225806 0.03225806 0.516129 0.5806452
