Average Estimates for Betas: 
0.06264531 0.07111041 0.1500445 0.2092203 -0.01115987
-0.001663639 0.00265359 0.003276129 -0.01924952 0.02206155
0.0006210795 0.002469456 -0.001932226 0.01377967 0.007705059
0.01670218 -0.004041837 0.03947329 -0.006668922 0.002599003
0.001594939 0.001109685 0.007556331 -0.002668313 -0.008098649
-0.01226777 -0.007944621 -0.006333741 0.01155677 0.009720839
0.02930474 0.01339352 -0.002451102 -0.02058299 -0.01211379
0.007666954 0.03173935 -0.0122184 0.008800841 -0.005957314
-0.003587084 -0.0071417 -0.008294243 -0.003277561 -0.006467232
0.003487553 -0.01369697 -0.01050958 -0.01722986 0.007163556
0.007651426 -0.009565947 0.001533073 0.01001194 0.003588772
-0.007062304 0.003799353 -0.009671983 0.003693644 -0.01740647
0.009158807 0.0106401 0.006859543 -0.01368643 0.01356495
-0.01099154 0.02176047 -0.008586059 -0.0289453 -0.003769181
0.02342895 -0.0362976 0.005562521 -0.0119034 0.00114693
-0.0176164 0.0001922209 0.0105993 -0.008912574 0.0067566
0.01832115 -0.01142702 0.001656382 -0.004551821 0.01149285
0.0003025022 -0.007601898 0.00079305 -0.02340083 0.001160591
0.03761035 -0.002701776 -0.01318136 0.008012763 0.004707063
-0.01540348 0.003516555 0.02296886 0.006160289 -0.01501102
Positive rate for exposures: 
0.2857143 0.2857143 0.6571429 0.8571429 0.1714286
0.08571429 0.08571429 0.1714286 0.1714286 0.2857143
0.1714286 0.1714286 0.2571429 0.2285714 0.1142857
0.2 0.1428571 0.1714286 0.2857143 0.2571429
0.1714286 0.1428571 0.1142857 0.2571429 0.2
0.1714286 0.1428571 0.08571429 0.1142857 0.2
0.1714286 0.2571429 0.1428571 0.1142857 0.1142857
0.1714286 0.08571429 0.2571429 0.1714286 0.1428571
0.1428571 0.1428571 0.1428571 0.2857143 0.1714286
0.2285714 0.3142857 0.05714286 0.1428571 0.1428571
0.1142857 0.1714286 0.2571429 0.1428571 0.2285714
0.3714286 0.2 0.1142857 0.1142857 0.1428571
0.1428571 0.2 0.2 0.1142857 0.2285714
0.2285714 0.2285714 0.2571429 0.2571429 0.08571429
0.2 0.1428571 0.1142857 0.2857143 0.1142857
0.1142857 0.1428571 0.08571429 0.08571429 0.1142857
0.2285714 0.1142857 0.1714286 0.1428571 0.1428571
0.2 0.2 0.2 0.2285714 0.05714286
0.2857143 0.2857143 0.1142857 0.1714286 0.2
0.2285714 0.1142857 0.1428571 0.1714286 0.1142857
Standard Deviations of Betas: 
0.0812316 0.06076677 0.081695 0.1139164 0.09498422
0.07104583 0.08806801 0.08855635 0.07621113 0.09982122
0.07492362 0.08274766 0.08075861 0.1016935 0.05804484
0.08211068 0.06786617 0.111576 0.09180304 0.09002459
0.09151151 0.0854649 0.05916927 0.1071975 0.0885391
0.07832767 0.07699179 0.07017312 0.07914143 0.08745068
0.09238404 0.08666514 0.07050252 0.06557096 0.07254505
0.08066763 0.05588614 0.08184704 0.08772062 0.09227369
0.06700212 0.07699967 0.07150799 0.08368532 0.07139664
0.07020543 0.09301775 0.05248406 0.07021073 0.075314
0.06595095 0.09229555 0.09371562 0.07153026 0.1014937
0.09038106 0.07820581 0.07435482 0.07688417 0.07724957
0.08175284 0.0950684 0.0866971 0.08379022 0.09365847
0.1025061 0.08471851 0.120373 0.101919 0.08113533
0.07793265 0.08056223 0.09000042 0.084636 0.06665916
0.06862835 0.0780767 0.06518929 0.07955479 0.05889732
0.07687592 0.06484345 0.08386824 0.07366061 0.06942219
0.06402283 0.09088544 0.07221157 0.09174719 0.06614751
0.08405628 0.1047861 0.07788476 0.09389286 0.06775496
0.08772154 0.06579834 0.07167112 0.0850505 0.08765696
Average StdErrors for Betas: 
0.05707451 0.05491729 0.05634112 0.0581868 0.05908609
0.05318445 0.05378851 0.06192497 0.05833481 0.05238825
0.05232418 0.06077185 0.05438912 0.05434037 0.05122392
0.05333294 0.0526662 0.05935281 0.05461478 0.05608436
0.05401682 0.06688328 0.0549676 0.05531637 0.05614378
0.05430745 0.05180353 0.05763831 0.05922412 0.05622611
0.05568925 0.05795237 0.0569374 0.05254665 0.05716242
0.05284519 0.05637144 0.05998595 0.05709629 0.05987824
0.05437807 0.05312728 0.05189319 0.05345404 0.05256579
0.04810168 0.0568795 0.05240117 0.05354481 0.05295255
0.05385936 0.05726849 0.05386715 0.05744468 0.05644676
0.05263247 0.0557118 0.05297872 0.05878078 0.05652913
0.05850011 0.06023006 0.05388226 0.0564723 0.05404625
0.06012865 0.0589089 0.0587302 0.0570633 0.05600691
0.05642786 0.05765705 0.05719217 0.05523473 0.05307361
0.05701934 0.06054802 0.05163023 0.05803639 0.05760547
0.05361608 0.05689161 0.05472858 0.05534285 0.05219048
0.05923849 0.06211273 0.0542226 0.0555329 0.05546408
0.05405634 0.05494626 0.06080941 0.05779272 0.04990758
0.0578038 0.05494387 0.0561393 0.05270139 0.05445262
Q-value positive rate for exposures: 
0.1714286 0.08571429 0.5142857 0.6 0.02857143
0.05714286 0.02857143 0 0.02857143 0.05714286
0.05714286 0.08571429 0.08571429 0.1142857 0.02857143
0.05714286 0.05714286 0.08571429 0.1428571 0.02857143
0.05714286 0.08571429 0.05714286 0.1142857 0.05714286
0.05714286 0.02857143 0.05714286 0.02857143 0.02857143
0.08571429 0.08571429 0.02857143 0.02857143 0
0.08571429 0 0.1428571 0.02857143 0.05714286
0.02857143 0.08571429 0.05714286 0.05714286 0.05714286
0.08571429 0.05714286 0.02857143 0.08571429 0.02857143
0.02857143 0.05714286 0.1142857 0.05714286 0.1142857
0.05714286 0.05714286 0.1142857 0.05714286 0.02857143
0.05714286 0.02857143 0.05714286 0.08571429 0.02857143
0.1142857 0.08571429 0.1428571 0.2 0.02857143
0.05714286 0.05714286 0.05714286 0.1142857 0.02857143
0.02857143 0.05714286 0.02857143 0.02857143 0.02857143
0.08571429 0.02857143 0.05714286 0.02857143 0.02857143
0.05714286 0.05714286 0 0.1142857 0
0.08571429 0.08571429 0 0.05714286 0.08571429
0.05714286 0.02857143 0.08571429 0.05714286 0.05714286
Precision/Recall/F1 based on p-values:
0.1111111 0.5214286 0.183187
Precision/Recall/F1 based on Q-values:
0.194332 0.3428571 0.248062
Power at FPR threshold of 0.05: 
0.1142857 0.08571429 0.5428571 0.6857143
