Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Birth Weight (BW)	Coronary Artery Disease (CAD)	0.204699545037888	0.0680319169803304	0.309230473125426	0.230931527868667	0.456395618752402	0.0598121638311779	0.292081247089486	0.166538261322037	0.295000281702127	0.055485351165056	0.864110297536066
Body Mass Index	Coronary Artery Disease (CAD)	0.483128792363331	0.335565155633631	0.317923891290627	0.311149603653805	0.505075017170586	0.0760130483610716	0.0742337774885188	0.482728394225296	0.0497718800635966	0.338622852890499	0.9999999454357
High Density Lipoprotein (HDL)	Coronary Artery Disease (CAD)	0.281357814786619	0.219442981863581	0.608416725418389	0.999809865863182	0.409349171805598	0.176910647865606	0.605301035855204	0.0696489046935139	0.0414676449103571	0.220720619473139	0.9996809816236
Low Density Lipoprotein (LDL)	Coronary Artery Disease (CAD)	1	0.499282137048371	1	1	1	1	0.999999999976675	0.993007453263397	0.999998496069252	0.956011363200035	1
Triglycerides	Coronary Artery Disease (CAD)	0.999999999870552	0.535922872137592	0.999999999999756	1	0.425223629334996	0.999999999999995	0.998873302247037	0.80622641269368	0.0414676449103571	0.055485351165056	0.999999999740587
Height	Coronary Artery Disease (CAD)	0.403174436421736	0.307932929583685	0.299431250631271	0.14154354454064	0.462215575288514	0.0321562588034786	0.0742337774885188	0.0462079064512407	0.0497718800635966	0.338622852890499	0.999985487474679
Body Fat	Coronary Artery Disease (CAD)	0.115239299267826	0.0276283145736512	0.282504331797803	0.150505120392163	0.414009220193456	0.0399281992357861	0.210154002138469	0.600579300342441	0.0497718800635966	0.371195631363984	0.109888144369124
Fasting Glucose	Coronary Artery Disease (CAD)	0.238252156451453	0.0962192743879696	0.469402588522469	0.654639731706809	0.631587236200733	0.515075258481923	0.334577876103217	0.411750680327908	0.295000281702127	0.220720619473139	0.864110297536066
Systolic Blood Pressure	Coronary Artery Disease (CAD)	1	0.047542445320317	0.999999999878992	1	0.999999379850822	1	0.999999989459443	0.999999904715624	0.911039014950277	0.999626918540901	1
Diastolic Blood Pressure	Coronary Artery Disease (CAD)	0.475968156444895	0.542772369917628	0.282508702368499	0.0184981116157106	0.412176638496044	0.00363018532145032	0.0742337774885188	0.0462079064512407	0.0497718800635966	0.00854275749686817	1
Smoking	Coronary Artery Disease (CAD)	0.999999999999998	0.485744562734373	0.962580712110705	0.99005315915461	0.510571903183665	0.984336075685328	0.996789753520243	0.999517164292241	0.0171396375507833	0.00854275749686817	0.999999289594249
Alcohol	Coronary Artery Disease (CAD)	0.0418575883663734	0.0716591988128702	0.309772850547411	0.263115801790591	0.439812608158025	0.104729164322915	0.334577876103217	0.0462079064512407	0.295000281702127	0.00854275749686817	0.307346434171527
Acetate	Coronary Artery Disease (CAD)	0.47699700426482	0.208081554298442	0.412953145591499	0.41250609922564	0.53297058691716	0.23282151101471	0.0742337774885188	0.225441853313926	0.126559056889009	0.338622852890499	0.864110297536066
Acetone	Coronary Artery Disease (CAD)	0.0670261605694353	0.0320931758250425	0.316904392551226	0.275019092575032	0.482478643320871	0.0961067921851935	0.0742337774885188	0.113560989622314	0.0414676449103571	0.055485351165056	0.218751276056656
Alanine	Coronary Artery Disease (CAD)	0.0418890668975512	0.0627892341599547	0.324895527299039	0.231126826513579	0.462162815699824	0.0656508981151408	0.210154002138469	0.166538261322037	0.295000281702127	0.338612987359732	0.218751276056656
Albumin	Coronary Artery Disease (CAD)	0.666853259691798	0.0356506627961741	0.389810671448283	0.509164356280079	0.48769447414456	0.182962274848963	0.560230827593564	0.791254001704914	0.0497718800635966	0.338622852890499	0.780071580358157
Apolipoprotein B	Coronary Artery Disease (CAD)	0.0470532662840635	0.99988985732368	0.312652761935841	0.114372586083219	0.408897804046935	0.999949556862251	0.0742337774885188	0.411750680327908	0.0497718800635966	0.269569613526356	0.999999999999984
3-hydroxybutyrate	Coronary Artery Disease (CAD)	0.0489137971641627	0.0780576377319135	0.285214689862164	0.198214822226959	0.408682365326899	0.0496791586831309	0.0855475511940308	0.0600963484598076	0.0414676449103571	0.179854976093226	0.864110297536066
Citrate	Coronary Artery Disease (CAD)	0.0532281987660955	0.0296892574380228	0.284865911560867	0.158635741747745	0.423701155223387	0.0322264416371562	0.0742337774885188	0.225441853313926	0.0414676449103571	0.055485351165056	0.21515472641533
Creatinine	Coronary Artery Disease (CAD)	0.106409301965542	0.0289827132048079	0.287273962076974	0.195914195512536	0.448296257545097	0.0446082621624163	0.0742337774885188	0.411750680327908	0.0497718800635966	0.00854275749686817	0.218751276056656
Glutamine	Coronary Artery Disease (CAD)	0.245783635835901	0.193875249588388	0.288325440216504	0.13381487015659	0.409529765886094	0.0315155705085496	0.0742337774885188	0.573523761026633	0.0497718800635966	0.338622852890499	0.218751276056656
Glucose	Coronary Artery Disease (CAD)	0.681204898398973	0.435257738943461	0.37061766074204	0.531492011238277	0.519166907769549	0.132888632830578	0.322033579299647	0.791254001704914	0.0414676449103571	0.220720619473139	0.844489683067405
Glycine	Coronary Artery Disease (CAD)	0.321433384099306	0.130195967027121	0.338644866625094	0.252587761951637	0.460423436080673	0.0603369493173599	0.334577876103217	0.80622641269368	0.295000281702127	0.735631447120338	0.864110297536066
Glycoprotein acetylation	Coronary Artery Disease (CAD)	0.101322564586716	0.375342828710141	0.290897973343998	0.18752250650577	0.443505360735865	0.0333203472513098	0.0742337774885188	0.225441853313926	0.270780739244589	0.00854275749686817	0.8439349070914
Histidine	Coronary Artery Disease (CAD)	0.0704106063049306	0.0741444980334361	0.287072254247981	0.175686698242947	0.411376976715894	0.0456638051265614	0.334577876103217	0.451837121022333	0.295000281702127	0.179854976093226	0.08140847862917
Isoleucine	Coronary Artery Disease (CAD)	0.103142892118022	0.129232083449488	0.292824798223829	0.239069890451331	0.410389006873203	0.0680721267361671	0.269848201842783	0.411750680327908	0.0497718800635966	0.00854275749686817	0.844489683067405
Lactate	Coronary Artery Disease (CAD)	0.27098030660154	0.087944285164562	0.472768694609693	0.790508646817724	0.564202299807692	0.551062287117492	0.605301035855204	0.764284693593779	0.846710877801824	0.956011363200035	0.864110297536066
Leucine	Coronary Artery Disease (CAD)	0.0599744360185114	0.0292673544040297	0.284510084155099	0.180731066815834	0.422312117668161	0.0473407095133342	0.0742337774885188	0.0462079064512407	0.0414676449103571	0.0419014123735707	0.798127501499608
Phenylalanine	Coronary Artery Disease (CAD)	0.094548248916614	0.0780696519694034	0.283320883164341	0.16841687067416	0.409905799380181	0.0427595698590589	0.0742337774885188	0.166737876470003	0.0497718800635966	0.00854275749686817	0.218751276056656
