Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Apolipoprotein A-I	Coronary Artery Disease (CAD)	0.0136661127842246	0.0149485409413617	0.0157553065668277	0.00869483926334769	2.15344105081172e-06	0.00821689918347868	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.0491455193498612
Apolipoprotein B	Coronary Artery Disease (CAD)	0.0125727252707556	0.0253657820578691	0.00778841985292333	1	0.0468354006299735	1	0.0793469404569148	0.0168376883765567	0.0589582164377981	0.0125855512850567	0.999999999993123
Free cholesterol to esterified cholesterol ratio	Coronary Artery Disease (CAD)	0.00996161091179459	0.00534758988936135	0.00215806824372711	0.0025399715903337	0.000362569152776104	0.00234852543141062	0.0793469404569148	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.999999977098357
Free cholesterol	Coronary Artery Disease (CAD)	0.00949642707831388	0.00580634037634309	0.00436395755064933	0.0045573302700519	1.88414628921052e-06	0.00425144951403966	0.216039984542622	0.0168376883765567	0.339900415325202	0.0125855512850567	0.999999749820938
Mean diameter for HDL particles	Coronary Artery Disease (CAD)	0.0152619244064611	0.0171187586992552	0.0159456485286259	0.0165612552583604	2.55355606626484e-06	0.0156213853025821	0.0978822013993538	0.0528926898889581	0.0675675862785674	0.0396014788051038	0.154584104169113
Total cholesterol in IDL	Coronary Artery Disease (CAD)	0.0260827736376974	0.0117033259562729	0.00334312082736488	0.00399108615376687	0.00572115990397559	0.00370205181826866	0.436556604321467	0.0528926898889581	0.518845749110063	0.0396014788051038	0.999999999953716
Free cholesterol in IDL	Coronary Artery Disease (CAD)	0.0403136557890711	0.00832019552077223	0.00210354116538392	0.00452847672177215	0.00166349579509217	0.00419581443552997	0.150590952623607	0.0168376883765567	0.178578341837738	0.0125855512850567	0.999999994264998
Total lipids in IDL	Coronary Artery Disease (CAD)	0.00958102095124247	0.00935782065491397	0.00246206153093176	0.00358058907267234	0.00216122252347706	0.00332105577593056	0.240759071978027	0.0168376883765567	0.339900415325202	0.0125855512850567	0.99999999999416
Concentration of IDL particles	Coronary Artery Disease (CAD)	0.00946118514696881	0.00747406750645963	0.00212723122877301	0.003251309875419	0.00089017375858913	0.00301584228652896	0.0814837370854284	0.0168376883765567	0.0589582164377981	0.0125855512850567	0.999999999965656
Phospholipids in IDL	Coronary Artery Disease (CAD)	0.00971380581071613	0.00661191304879061	0.00213163603160149	0.00343369606547328	0.000549976857647905	0.00318293633284883	0.216039984542622	0.0528926898889581	0.339900415325202	0.0396014788051038	0.999999998454412
Triglycerides in IDL	Coronary Artery Disease (CAD)	0.00953502996606637	0.00542565581735655	0.00216644631104634	0.00317000505964693	5.99344527796308e-06	0.00294112495827714	0.436556604321467	0.0528926898889581	0.518845749110063	0.0396014788051038	0.999998443024968
Total cholesterol in large HDL	Coronary Artery Disease (CAD)	0.0139479809902886	0.0122891245074076	0.0204318761805149	0.0132597842480556	2.54148132483589e-06	0.0125376254310406	0.0501432398100057	0.0168376883765567	0.0543055939383594	0.0125855512850567	0.492205071878753
